file	order	off_verdict	off_ms	off_rung	on_verdict	on_ms	on_rung
UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	off-on	unknown	25127	declined	unsat	907	decided
UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	off-on	unknown	25131	declined	unsat	1508	decided
UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	off-on	unknown	25131	declined	unsat	1508	decided
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	off-on	unknown	25127	declined	unsat	1908	decided
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	off-on	unknown	25131	declined	unsat	2009	decided
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	off-on	unknown	25133	declined	unsat	2008	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	off-on	unknown	25031	declined	unsat	807	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	off-on	unknown	25031	declined	unsat	807	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	off-on	unknown	25032	declined	unsat	808	decided
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	off-on	unknown	25134	declined	unsat	1410	decided
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	off-on	unknown	25135	declined	unsat	1510	decided
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	off-on	unknown	25136	declined	unsat	1410	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	off-on	unknown	25136	declined	unsat	1510	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	off-on	unknown	25136	declined	unsat	1610	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	off-on	unknown	25137	declined	unsat	1711	decided
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	off-on	unknown	25033	declined	unsat	708	decided
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	off-on	unknown	25036	declined	unsat	708	decided
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	off-on	unknown	25037	declined	unsat	708	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	on-off	unknown	25132	declined	unsat	1508	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	on-off	unknown	25133	declined	unsat	1508	decided
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	on-off	unknown	25133	declined	unsat	1509	decided
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	on-off	unknown	25132	declined	unsat	1608	decided
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	on-off	unknown	25133	declined	unsat	1608	decided
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	on-off	unknown	25133	declined	unsat	1608	decided
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	on-off	unknown	24129	declined	unsat	907	decided
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	on-off	unknown	24130	declined	unsat	908	decided
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	on-off	unknown	24231	declined	unsat	907	decided
