file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	unknown	2810	unknown	2911	A	unsat
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2	unknown	24129	unknown	24129	B	unknown
QF_NRA/2019-ezsmt/reverseFolding/30-reverse_folding-0-0.smt2	none	15999	none	16311	A	unknown
QF_NRA/20200911-Pine/1599122164633784000.smt2	unknown	4012	unknown	4111	B	unknown
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Basic_Denominator_Simplifications/BDC_ProveIneq_ISSAC10_ex1d.smt2	sat	108	sat	109	A	sat
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	unknown	24130	unknown	24129	B	unknown
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	unknown	24228	unknown	24427	A	unknown
QF_NRA/LassoRanker/SV-COMP/min_rf_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2	unknown	24831	unknown	24328	B	unknown
QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2	unknown	24229	unknown	24231	A	unknown
QF_NRA/hycomp/ball_count_1d_plain.02.seq_lazy_lemmas_global_5.smt2	unsat	710	unsat	708	B	unsat
QF_NRA/hycomp/ball_count_1d_plain.05.qfree_global_5.smt2	unsat	209	unsat	208	A	unsat
QF_NRA/hycomp/ball_count_2d_hill.01.seq_lazy_linear_enc_global_5.smt2	unsat	809	unsat	809	B	unsat
QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_global_5.smt2	unsat	809	unsat	808	A	unsat
QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_lemmas_global_5.smt2	unsat	909	unsat	1009	B	unsat
QF_NRA/hycomp/ball_count_2d_hill_simple.04.qfree_global_5.smt2	unsat	207	unsat	208	A	unsat
QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_5.smt2	unsat	908	unsat	1008	B	unsat
QF_NRA/hycomp/ball_count_2d_plain.03.qfree_global_5.smt2	unsat	208	unsat	307	A	unsat
QF_NRA/hycomp/ball_count_2d_plain.05.seq_lazy_lemmas_global_5.smt2	unsat	1108	unsat	1209	B	unsat
QF_NRA/hycomp/ball_count_2d_slope.02.seq_lazy_linear_enc_global_5.smt2	unsat	1308	unsat	1409	A	unsat
QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_lemmas_global_5.smt2	unsat	3110	unsat	3411	B	unsat
QF_NRA/kissing/kissing_4_8.smt2	unknown	24328	unknown	24330	A	sat
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0295.smt2	unknown	3911	unknown	3811	B	unsat
QF_NRA/meti-tarski/Chua/1/IL/U/Chua-1-IL-U-chunk-0075.smt2	unknown	108	unknown	108	A	sat
QF_NRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0037.smt2	sat	108	sat	108	B	sat
QF_NRA/meti-tarski/Chua/2/IL/U/Chua-2-IL-U-chunk-0064.smt2	sat	109	sat	108	A	sat
QF_NRA/meti-tarski/Chua/2/VC2/L/Chua-2-VC2-L-chunk-0039.smt2	unsat	109	unsat	108	B	unsat
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	unknown	1908	unknown	2110	A	unsat
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	unknown	4312	unknown	12419	B	sat
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	unknown	3910	unknown	14221	A	sat
QF_NRA/meti-tarski/atan/problem/2/weakT/atan-problem-2-weakT-chunk-0032.smt2	sat	108	sat	108	B	sat
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	unknown	2610	unknown	10518	A	unsat
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0485.smt2	sat	108	sat	108	B	sat
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0174.smt2	unsat	107	unsat	108	A	unsat
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0459.smt2	sat	108	sat	108	B	sat
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0713.smt2	sat	108	sat	108	A	sat
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0081.smt2	unsat	108	unsat	108	B	unsat
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0326.smt2	unsat	109	unsat	108	A	unsat
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0016.smt2	unknown	25029	unknown	25030	B	unsat
QF_NRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0105.smt2	unknown	7917	unknown	11819	A	unsat
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0349.smt2	sat	109	sat	108	B	sat
QF_NRA/meti-tarski/sin/344/3/sin-344-3-chunk-0018.smt2	sat	3610	sat	3611	A	sat
