file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	24129	unknown	24229	A	unknown
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	unknown	22026	sat	10018	B	sat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	unknown	24431	unknown	24329	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__ConvertRec.jar-obl-9__p28030_safety_0.smt2	unknown	24331	unknown	24133	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__LessLeaves.jar-obl-10__p10018_edge_closing_0.smt2	unknown	24231	sat	18428	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__RandomHard.jar-obl-10__p11834_safety_0.smt2	unknown	25134	sat	12119	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	24129	unknown	24231	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	24433	unknown	24129	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5184_terminationG_0.smt2	unknown	11521	unknown	11518	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	unknown	11018	unknown	10916	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	unknown	23729	unknown	23529	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	unknown	11015	unknown	11019	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	24932	unknown	25131	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unknown	24126	unknown	24228	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unknown	11017	unknown	10917	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unknown	24425	unknown	24328	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	unknown	25129	sat	11216	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateContainsAll.jar-obl-11__terminationS_0_0.smt2	unknown	24631	unknown	24429	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unknown	24228	unknown	24230	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	unknown	24731	sat	11218	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unknown	24231	unknown	24229	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__efegp.t2__p21963_edge_closing_0.smt2	unknown	25130	sat	10919	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unknown	21527	unknown	24125	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unknown	11219	unknown	11216	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	unknown	24128	unknown	24129	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	unknown	24528	unknown	24328	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91test.t2__p3142_terminationG_0.smt2	sat	12721	sat	13319	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__n-5.t2__p4694_edge_closing_0.smt2	unknown	24928	sat	11416	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unknown	24129	unknown	24128	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__queens.t2__term_unfeasibility_1_0.smt2	unknown	24624	sat	10918	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p13494_safety_0.smt2	sat	13418	sat	11815	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unknown	19324	unknown	24129	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p15159_terminationG_0.smt2	unknown	24526	sat	15122	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21995_terminationG_0.smt2	unknown	12821	unknown	13021	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-n1.t2_fixed__p22997_safety_0.smt2	unsat	8313	unsat	8315	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unknown	24530	unknown	24328	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2__p25902_terminationG_0.smt2	unknown	24331	sat	11117	A	sat
QF_NIA/20170427-VeryMax/SAT14/1280.smt2	sat	5310	sat	5413	B	sat
QF_NIA/20170427-VeryMax/SAT14/1738.smt2	unknown	24229	unknown	24230	A	sat
QF_NIA/20170427-VeryMax/SAT14/456.smt2	unknown	16823	unknown	16924	B	sat
QF_NIA/20170427-VeryMax/SAT14/919.smt2	sat	8414	sat	8516	A	sat
QF_NIA/20220315-MathProblems/MS_06.smt2	unknown	24129	unknown	24129	B	sat
QF_NIA/20220315-MathProblems/STC_0459.smt2	sat	4112	sat	4111	A	sat
QF_NIA/20220315-MathProblems/STC_0967.smt2	unknown	24125	unknown	24127	B	unsat
QF_NIA/AProVE/aproveSMT2045146210738691450.smt2	sat	108	sat	107	A	sat
QF_NIA/AProVE/aproveSMT3734122552322670033.smt2	sat	508	sat	508	B	sat
QF_NIA/AProVE/aproveSMT5574282980958522472.smt2	unsat	4110	unsat	4112	A	unsat
QF_NIA/AProVE/aproveSMT7398754856107094872.smt2	sat	9415	sat	9414	B	sat
QF_NIA/AProVE/aproveSMT994105904163423260.smt2	sat	10916	sat	10916	A	sat
QF_NIA/20170427-VeryMax/SAT14/106.smt2	unknown	16222	unknown	16323	B	sat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2	sat	2509	sat	2711	A	sat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__DivWithoutMinus.c__p22517_edge_closing_0.smt2	unknown	25126	sat	11118	B	sat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__MirrorIntervSim.c__p24484_terminationG_0.smt2	unknown	22225	unknown	24132	A	unsat
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	unknown	17323	sat	10817	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__DivMinus.jar-obl-11__p28570_edge_closing_0.smt2	unknown	24232	unknown	24126	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	22527	unknown	24130	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unknown	10913	unknown	10918	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	24225	unknown	24223	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4414_safety_0.smt2	unknown	12018	unknown	11917	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	11018	unknown	10916	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	unknown	11016	unknown	10918	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	unknown	11216	unknown	11117	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unknown	23730	unknown	23530	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unknown	23728	unknown	23523	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unknown	11017	unknown	11018	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unknown	12018	unknown	11919	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unknown	24631	unknown	24231	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unknown	24232	unknown	24129	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10955_edge_closing_0.smt2	unknown	24126	sat	11119	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-accepted.t2__p16321_terminationG_0.smt2	unknown	9818	unknown	10118	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__byron-4.t2__p17594_terminationG_0.smt2	unknown	24225	unknown	24229	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	unknown	25129	sat	11619	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	24131	unknown	24127	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31135_safety_0.smt2	unknown	24225	sat	10816	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__foo.t2__terminationS_32_0.smt2	unknown	23526	unknown	24531	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1346_edge_closing_0.smt2	unknown	24231	sat	11217	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unknown	24531	unknown	24229	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__n-10.t2__p3427_edge_closing_0.smt2	unknown	25132	sat	11017	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5005_terminationG_0.smt2	unknown	24630	unknown	24226	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7110_edge_closing_0.smt2	unknown	25233	unknown	24123	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2	unknown	24130	unknown	25128	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p14253_safety_0.smt2	sat	12517	sat	11217	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18409_safety_0.smt2	unknown	19023	unknown	24126	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	21325	unknown	24127	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2__p22227_terminationG_0.smt2	unknown	11916	unknown	11916	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__small01.t2__p23469_terminationG_0.smt2	unknown	24128	unknown	24125	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__svdcmp.c.i.svdcmp.pl.t2.nor.t2.rlgfixed.t2__p24935_safety_0.smt2	unknown	24630	unknown	24230	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2_fixed__p25888_safety_0.smt2	unknown	20528	unknown	24126	B	unknown
QF_NIA/20170427-VeryMax/SAT14/1395.smt2	sat	7215	sat	7515	A	sat
QF_NIA/20170427-VeryMax/SAT14/1854.smt2	sat	7814	sat	7815	B	sat
QF_NIA/20170427-VeryMax/SAT14/571.smt2	unknown	25129	sat	8716	A	sat
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/array_3-1-O0.smt2	unknown	307	unknown	308	B	unknown
QF_NIA/20220315-MathProblems/STC_0078.smt2	unknown	24129	unknown	24130	A	sat
QF_NIA/20220315-MathProblems/STC_0586.smt2	sat	4112	sat	4212	B	sat
QF_NIA/20230328-sqrtmodinv-hoenicke/sqrtStep6a.smt2	unknown	1509	unknown	1510	A	unsat
QF_NIA/AProVE/aproveSMT2449356678853584219.smt2	sat	14119	sat	13120	B	sat
QF_NIA/AProVE/aproveSMT4225308127115953119.smt2	sat	607	sat	508	A	sat
QF_NIA/AProVE/aproveSMT6025886977398171379.smt2	sat	608	sat	608	B	sat
QF_NIA/AProVE/aproveSMT7795667227375240089.smt2	unknown	12419	unknown	24126	A	unsat
QF_NIA/UltimateLassoRanker/LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2	unknown	24228	unknown	24230	B	unsat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21008_terminationG_0.smt2	unknown	24330	sat	9416	A	sat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GCD.c__p23185_terminationG_0.smt2	unknown	25028	sat	11318	B	sat
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	unknown	21829	unknown	24230	A	sat
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Hanoi_3vars_false-termination.c__terminationQ_13_0.smt2	unsat	3412	unsat	3510	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Et3.jar-obl-9__p28829_terminationG_0.smt2	unknown	24327	sat	12519	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Matrix.jar-obl-16__p10854_edge_closing_0.smt2	unknown	24424	unknown	24328	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	unknown	25131	sat	10917	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14206_terminationG_0.smt2	unknown	20721	sat	11515	B	sat
