file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_S/20230329-automatark-lu/instance06705.smt2	unsat	108	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance07081.smt2	unsat	107	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance07457.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance07833.smt2	sat	107	sat	106	B	sat
QF_S/20230329-automatark-lu/instance08209.smt2	unsat	107	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance08585.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance08961.smt2	unsat	108	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance09337.smt2	unsat	108	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance09713.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance10089.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance10465.smt2	unsat	107	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance10841.smt2	unsat	107	unsat	106	B	unsat
QF_S/20230329-automatark-lu/instance11217.smt2	unsat	307	unsat	307	A	unknown
QF_S/20230329-automatark-lu/instance11593.smt2	sat	106	sat	107	B	sat
QF_S/20230329-automatark-lu/instance11969.smt2	sat	107	sat	106	A	sat
QF_S/20230329-automatark-lu/instance12345.smt2	unsat	107	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance12721.smt2	unsat	106	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance13097.smt2	sat	107	sat	108	B	sat
QF_S/20230329-automatark-lu/instance13473.smt2	unsat	107	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance13849.smt2	sat	106	sat	106	B	sat
QF_S/20230329-automatark-lu/instance14225.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance14601.smt2	unsat	108	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance14977.smt2	unsat	108	unsat	107	A	unknown
QF_S/20230329-automatark-lu/instance15353.smt2	unsat	107	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance15729.smt2	unsat	107	unsat	108	A	unsat
QF_S/20230329-woorpje-lu/track01/01_track_199.smt2	sat	107	sat	106	B	sat
QF_S/2019-Jiang/slog/slog_stranger_1209_sink.smt2	unsat	108	unsat	107	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_1930_sink.smt2	unsat	107	unsat	106	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_2589_sink.smt2	unknown	2609	unknown	2710	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_3544_sink.smt2	unknown	24827	unknown	25028	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_5060_sink.smt2	unknown	25028	unknown	25028	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_997_sink.smt2	unknown	707	unknown	707	B	unknown
QF_S/20230329-automatark-lu/instance00031.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance00407.smt2	sat	107	sat	106	B	sat
QF_S/20230329-automatark-lu/instance00783.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance01159.smt2	sat	106	sat	107	B	sat
QF_S/20230329-automatark-lu/instance01535.smt2	sat	106	sat	108	A	sat
QF_S/20230329-automatark-lu/instance01911.smt2	sat	107	sat	106	B	sat
QF_S/20230329-automatark-lu/instance02287.smt2	sat	106	sat	107	A	sat
QF_S/20230329-automatark-lu/instance02663.smt2	sat	106	sat	106	B	sat
QF_S/20230329-automatark-lu/instance03039.smt2	sat	107	sat	106	A	sat
QF_S/20230329-automatark-lu/instance03415.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance03791.smt2	sat	106	sat	108	A	sat
QF_S/20230329-automatark-lu/instance04167.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance04543.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance04919.smt2	sat	107	sat	106	B	sat
QF_S/20230329-automatark-lu/instance05295.smt2	sat	106	sat	107	A	sat
QF_S/20230329-automatark-lu/instance05671.smt2	sat	106	sat	107	B	sat
QF_S/20230329-automatark-lu/instance06047.smt2	unsat	107	unsat	107	A	unsat
QF_S/20230329-automatark-lu/instance06423.smt2	unsat	106	unsat	106	B	unsat
QF_S/20230329-automatark-lu/instance06799.smt2	unsat	106	unsat	106	A	unsat
QF_S/20230329-automatark-lu/instance07175.smt2	unsat	107	unsat	106	B	unsat
QF_S/20230329-automatark-lu/instance07551.smt2	sat	106	sat	108	A	sat
QF_S/20230329-automatark-lu/instance07927.smt2	sat	106	sat	106	B	sat
QF_S/20230329-automatark-lu/instance08303.smt2	unsat	107	unsat	106	A	unsat
QF_S/20230329-automatark-lu/instance08679.smt2	unsat	106	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance09055.smt2	sat	107	sat	106	A	sat
QF_S/20230329-automatark-lu/instance09431.smt2	unsat	107	unsat	108	B	unsat
QF_S/20230329-automatark-lu/instance09807.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance10183.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance10559.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance10935.smt2	unsat	107	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance11311.smt2	sat	107	sat	108	A	sat
QF_S/20230329-automatark-lu/instance11687.smt2	unsat	107	unsat	106	B	unsat
QF_S/20230329-automatark-lu/instance12063.smt2	unsat	407	unsat	407	A	unsat
QF_S/20230329-automatark-lu/instance12439.smt2	unsat	206	unsat	207	B	unknown
QF_S/20230329-automatark-lu/instance12815.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance13191.smt2	unsat	108	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance13567.smt2	sat	108	sat	107	A	sat
QF_S/20230329-automatark-lu/instance13943.smt2	unsat	107	unsat	107	B	unsat
QF_S/20230329-automatark-lu/instance14319.smt2	sat	106	sat	107	A	sat
QF_S/20230329-automatark-lu/instance14695.smt2	unsat	107	unsat	106	B	unsat
QF_S/20230329-automatark-lu/instance15071.smt2	unsat	107	unsat	108	A	unsat
QF_S/20230329-automatark-lu/instance15447.smt2	sat	107	sat	107	B	sat
QF_S/20230329-automatark-lu/instance15823.smt2	sat	107	sat	107	A	sat
QF_S/20230329-woorpje-lu/track02/02_track_5.smt2	sat	6712	sat	6913	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_1420_sink.smt2	unsat	107	unsat	108	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_2105_sink.smt2	unsat	108	unsat	108	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_2732_sink.smt2	unsat	107	unsat	107	A	unknown
QF_S/2019-Jiang/slog/slog_stranger_3947_sink.smt2	unknown	25022	unknown	25026	B	unknown
QF_S/2019-Jiang/slog/slog_stranger_5360_sink.smt2	unknown	25027	unknown	25027	A	unknown
QF_S/2020-sygus-qgen/queries-no-ree/query3111.smt2	unknown	108	unknown	108	B	unknown
QF_S/20230329-automatark-lu/instance00125.smt2	sat	107	sat	107	A	sat
QF_S/20230329-automatark-lu/instance00501.smt2	sat	108	sat	108	B	sat
QF_S/20230329-automatark-lu/instance00877.smt2	sat	108	sat	108	A	sat
