file	verdict	rc	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	giveup
BV/2017-Preiner-UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.smt2	unknown	0	17	none	q:mbqi-quick	fd:bounded-completeness-unsat	0	1	na	na	na	give-up kind=ResourceLimit detail=finite quantifier domain (_ BitVec 32) exceeds the eager expansion budget
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_1379.smt2	unknown	0	17	none	q:mbqi-quick	fd:bounded-completeness-unsat	1	2	na	na	na	give-up kind=ResourceLimit detail=finite quantifier domain (_ BitVec 32) exceeds the eager expansion budget
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_175.smt2	unknown	0	17	none	q:mbqi-quick	fd:bounded-completeness-unsat	1	2	na	na	na	give-up kind=ResourceLimit detail=finite quantifier domain (_ BitVec 32) exceeds the eager expansion budget
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_378.smt2	unknown	0	17	none	q:mbqi-quick	fd:bounded-completeness-unsat	1	1	na	na	na	give-up kind=ResourceLimit detail=finite quantifier domain (_ BitVec 32) exceeds the eager expansion budget
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_766.smt2	unknown	0	17	none	q:mbqi-quick	fd:bounded-completeness-unsat	1	2	na	na	na	give-up kind=ResourceLimit detail=finite quantifier domain (_ BitVec 32) exceeds the eager expansion budget
BV/2017-Preiner-keymaera/ETCS-essentials-live-range2.proof-node1046.smt2	unknown	0	18	none	q:mbqi	fd:bounded-completeness-unsat	21020	24167	na	na	na	give-up kind=Timeout detail=online UFBV canonical CdclT search exhausted its budget
BV/2017-Preiner-keymaera/controllability-lemma-disturbed-node5255.smt2	unknown	0	19	none	q:mbqi	fd:bounded-completeness-unsat	12716	15861	na	na	na	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
BV/2017-Preiner-keymaera/vsl.proof-node1748.smt2	unknown	0	19	none	q:egraph	fd:bounded-completeness-unsat	405	818	na	na	na	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
BV/2017-Preiner-scholl-smt08/RND/RND_3_1.smt2	unknown	0	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	0	2	na	na	na	give-up kind=Incomplete detail=e-matching: no universal is asserted; the nested quantifiers present are registered, not instantiated
BV/2017-Preiner-scholl-smt08/RND/RND_6_4.smt2	unknown	0	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	653	1295	na	na	na	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
