file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c__p21056_terminationG_0.smt2	unsat	2909	0	unknown	24130	0	A	unsat
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Copenhagen_disj_true-termination.c__p26846_terminationG_0.smt2	unknown	24432	0	unknown	24630	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__TaylorSeriesIte.jar-obl-13__terminationS_4_0.smt2	unknown	10917	0	unknown	10815	0	A	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30150_safety_0.smt2	unknown	24631	0	unknown	24331	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6579_safety_0.smt2	unknown	10917	0	unknown	10918	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9034_terminationG_0.smt2	sat	20828	0	sat	9516	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__dumper.t2__p19136_edge_closing_0.smt2	sat	16320	0	sat	10918	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31845_safety_0.smt2	sat	10717	0	sat	108	0	B	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__p1681_edge_closing_0.smt2	unknown	15118	0	unknown	11518	0	A	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2_fixed__p4944_terminationG_0.smt2	unknown	24230	0	unknown	24230	0	B	unknown
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p14281_safety_0.smt2	sat	11717	0	sat	1008	0	A	sat
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2__p22205_terminationG_0.smt2	unknown	11319	0	unknown	11118	0	B	unsat
QF_NIA/20170427-VeryMax/ITS/From_T2__tqli.c.i.tqli.pl.t2.fixed.t2__p25052_edge_closing_0.smt2	unknown	12319	0	unknown	11616	0	A	sat
QF_NIA/20170427-VeryMax/SAT14/1884.smt2	sat	10119	0	sat	107	0	B	sat
QF_NIA/20220315-MathProblems/STC_0099.smt2	sat	4112	0	sat	108	0	A	sat
QF_NIA/AProVE/aproveSMT2944734536855334991.smt2	unknown	24130	0	unknown	24131	0	B	unsat
QF_NIA/AProVE/aproveSMT9074562597346712446.smt2	sat	13220	0	sat	307	0	A	sat
