file	base	base_ms	arm	arm_ms	first
M830-004__checks__do_checks.adb_23_24_range_check___00.smt2	unsat	111631006	unsat	515117866	arm
N624-020__perm_rem__perm.adb_228_50_precondition4___00.smt2	unsat	412465016	unsat	313372423	base
N902-010__a_stack_no_spark_contracts_with_body.adb_25_18_index_check___00.smt2	unsat	111983546	unsat	110879059	arm
P427-045__iterable_for_proof__test_containers.adb_22_38_precondition___00.smt2	unsat	110622947	unsat	-1610582967787094623	base
QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	unsat	212309525	unsat	1610582968111489062	arm
R509-011__higher_order_proof__why_d70bc5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	111543204	unsat	112731826	base
S702-024__record_attributes_in_allocators__test_constrained.adb_45_22_assert___00.smt2	unknown	111498682	unknown	112787168	arm
riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2	unknown	1771641289609289156	unknown	23931494323	base
L831-003__not_in__lcp.ads_9_54_index_check___00.smt2	unsat	111738975	unsat	111602463	arm
N611-014__split_records__split_records.adb_21_39_discriminant_check___00.smt2	unsat	111987333	unsat	113000501	base
N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	unsat	111768349	unsat	112161955	arm
O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	unknown	24231354449	unknown	-1610583031969010733	base
Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2	unknown	14625087486	unknown	14123829187	arm
R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	112770568	unsat	112601586	base
S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2	unknown	112002732	unknown	111487101	arm
ghc_sort__ghc_sort.ads_33_52_overflow_check___00.smt2	unsat	213917269	unsat	212413717	base
K223-023__search__search.ads_8_9_postcondition___00.smt2	unknown	-1610583102169840483	unknown	24131073863	arm
MA11-009__invariant__kmp.adb_16_17_loop_invariant_preserv___00.smt2	unknown	1610583151334156494	unknown	25032738341	base
N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	unsat	511817019	unsat	512335395	arm
NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	unsat	112584805	unsat	112843451	base
P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	unsat	113270700	unsat	111460342	arm
R125-020__comparison__longest_common_prefix.adb_11_35_overflow_check___00.smt2	unsat	111770163	unsat	112928299	base
R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	24932339397	unknown	24832727046	arm
adacore_u__communication.adb_41_32_overflow_check___00.smt2	unknown	25031617234	unknown	25031332146	base
sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	unsat	212546081	unsat	211502917	arm
LB28-004__loop_variant__p.adb_85_7_loop_variant___00.smt2	unsat	1513285522	unsat	1513394344	base
N613-027__transitive__sorters.adb_59_20_range_check___00.smt2	unsat	-1610583266388631483	unsat	312151060	arm
N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	unknown	2531364918	unknown	1610583314232373013	base
O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	unknown	24229575708	unsat	411861985	arm
Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2	unknown	711578915	unknown	1113206437	base
R509-011__higher_order_proof__why_6b0fea_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	113042679	unsat	111746268	arm
S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2	unknown	111245445	unknown	1771641669710219744	base
n_queens__queen.ads_53_44_index_check___00.smt2	unsat	112405955	unsat	111811770	arm
K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	unknown	24230062825	unknown	25034297225	base
MC06-031__dynamic_discrete__dynamic_ranges.adb_50_17_range_check___00.smt2	unsat	112736846	unsat	112049759	arm
N624-020__perm_rem__perm.adb_261_42_precondition4___00.smt2	unsat	1771641719612074283	unsat	413366289	base
NA29-017__prove_all__sorting.adb_35_16_index_check4___00.smt2	unsat	1610583382013441224	unsat	-1610583381787256933	arm
P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2	unknown	3415262753	unknown	-1610583384784277229	base
R419-026__swap_ranges__swap_ranges.adb_16_14_range_check___00.smt2	unsat	112505368	unsat	1610583388312594453	arm
R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2	unknown	24132139720	unknown	24232567971	base
adacore_u__p_max_array.adb_56_25_index_check___00.smt2	unsat	112778050	unsat	112804580	arm
string_search__string_search.adb_48_94_overflow_check___00.smt2	unsat	-1610583432186884998	unsat	1610583432412601445	base
M318-019__expanded_name__p.adb_8_44_index_check___00.smt2	unsat	112656546	unsat	112456217	arm
