file	base	base_ms	arm	arm_ms	first
L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	unknown	25030010616	unknown	25030312140	arm
N602-053__update__sorters.adb_39_13_loop_invariant_init___00.smt2	unsat	110906610	unsat	110951002	base
N624-020__perm_rem__perm.ads_12_6_postcondition3___00.smt2	unsat	112750220	unsat	112079803	arm
O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	unknown	24028845301	unknown	24031726885	base
Q424-003__if_expression__string_utilities.adb_17_24_index_check___00.smt2	unsat	311821934	unsat	312353315	arm
R509-011__higher_order_proof__why_496459_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	211739685	unsat	-1610583832585518670	base
S108-006__text_io_warnings__text_io_warnings.adb_26_38_overflow_check___00.smt2	unsat	113617799	unsat	1610583832913894069	arm
ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	unknown	25032096718	unknown	25032563663	base
I827-015__oo__instr.adb_7_18_index_check___00.smt2	unsat	112456059	unsat	113775311	arm
M830-004__checks__do_checks.adb_440_30_discriminant_check___00.smt2	unsat	211652229	unsat	-1610583878487332348	base
N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	unsat	-1610583880286332959	unsat	1813152033	arm
N917-051__longest_common_prefix__longest_common_prefix.adb_13_35_index_check___00.smt2	unsat	1610583881512425422	unsat	111987234	base
P518-021__frame_for_max__frame_condition.adb_11_13_range_check___00.smt2	unsat	111778600	unsat	113941788	arm
QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	unknown	2914635080	unknown	3815103861	base
R509-011__higher_order_proof__why_e19b11_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	212759191	unsat	212372036	arm
SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2	unknown	-1610583888085990902	unknown	1610583892814230339	base
riposte__simple_arrays__simple_arrays.adb_674_22_assert___00.smt2	unknown	1610583912619979553	unknown	-1771642281789886882	arm
LB28-004__loop_variant__p.adb_10_12_index_check___00.smt2	unsat	112820360	unsat	113052257	base
N611-014__static_discr__static_discr.adb_78_30_index_check___00.smt2	unsat	-1610583911886953893	unsat	113133538	arm
N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	unknown	1610583936132342776	unknown	24534615257	base
O512-022__prefix_sum__prefixsum.ads_18_32_unreachable_branch___00.smt2	unknown	212889851	unknown	212383177	arm
Q525-025__controlling_result__fixed_string.adb_18_11_length_check___00.smt2	unsat	16824637199	unsat	1771642385366604376	base
R509-011__higher_order_proof__why_610ef4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	-1610583986586745369	unsat	112577663	arm
S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2	unknown	1610583986812436642	unknown	113962226	base
longest_common_prefix__lcp.adb_21_30_loop_invariant_init___00.smt2	unsat	112561964	unsat	112869000	arm
K330-014__loop_entry__while_loops.adb_65_36_loop_invariant_init___00.smt2	unsat	113623491	unsat	112629369	base
MB20-049__old_in_contract_cases__example.ads_7_62_index_check___00.smt2	unsat	-1610583987487541406	unsat	113091831	arm
N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	unknown	1610584011632706272	unknown	25031238908	base
NA29-017__prove_all__sorting.adb_103_22_overflow_check4___00.smt2	unsat	113967406	unsat	111614317	arm
P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	unsat	112479351	unsat	111821458	base
R226-017__image_attribute__test.adb_8_22_range_check___00.smt2	unsat	-1610584032387722458	unsat	213170649	arm
R509-011__higher_order_proof__why_f787ed_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	1610584032711980953	unsat	113024887	base
adacore_u__p.adb_99_42_overflow_check___00.smt2	unknown	22230236084	unknown	22329780387	arm
sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	unsat	1610584073412007919	unsat	312470301	base
M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2	unknown	22928132527	unknown	22929442713	arm
N617-013__vscomp2014__p.adb_9_36_loop_invariant_init___00.smt2	unknown	23930678100	unknown	23930465669	base
N624-020__perm_rem__sort.adb_47_19_precondition3___00.smt2	unsat	113116367	unsat	112915005	arm
O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	unsat	313003113	unsat	312378922	base
Q607-015__quantifiers__search_ter_p.ads_33_25_inconsistent_pre___00.smt2	unknown	24534385152	unknown	24432319502	arm
R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	25031871744	unknown	25031232406	base
S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2	unknown	112995654	unknown	114281735	arm
patience__patience.adb_16_13_loop_invariant_init___00.smt2	unsat	112785205	unsat	113170015	base
K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	unsat	111421811	unsat	412757864	arm
N120-055__perm__sort.adb_48_22_precondition___00.smt2	unknown	24030177410	unknown	24130892381	base
N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	unsat	313094942	unsat	312257248	arm
NA29-017__prove_all__sorting.adb_51_39_overflow_check___00.smt2	unsat	1012956999	unsat	1013791989	base
P607-055__for_loops_on_function_calls__for_loop_iterable.adb_42_11_precondition___01.smt2	unsat	111682512	unsat	111625798	arm
R419-026__swap_ranges__swap_ranges.adb_58_26_overflow_check___00.smt2	unsat	113396973	unsat	112464044	base
R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2	unknown	611606046	unknown	612292222	arm
adacore_u__ring_buffer.adb_27_60_overflow_check___00.smt2	unsat	1771642726343047127	unsat	412428307	base
string_search__string_search.adb_90_64_range_check___00.smt2	unsat	-1610584297086214319	unsat	111199081	arm
M503-001__typinv__aggregates.ads_21_9_invariant_check_on_default_value___00.smt2	unsat	1610584297311597566	unsat	112663842	base
N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	unknown	25031929887	unknown	24831997510	arm
N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	unknown	25031731153	unknown	25032773957	base
O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	unsat	213458414	unsat	313855181	arm
Q719-013__loop_unroll_dyn__loops_static.adb_41_57_overflow_check___00.smt2	unsat	113858337	unsat	-1610584387985701442	base
R509-011__higher_order_proof__why_93e018_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	113964201	unsat	1610584388313475516	arm
S212-028__update__generic_ring_buffer.adb_78_13_tester.adb_9_4_predicate_check___00.smt2	unknown	24230622179	unknown	24132037914	base
patience__patience.ads_92_45_index_check___00.smt2	unsat	-1610584432088419243	unsat	112461471	arm
K627-010__stable_marriage__stable_marriage.adb_33_26_index_check___00.smt2	unsat	1610584432313600952	unsat	113683904	base
N228-005__update_unconstr_array__update_checks_1.adb_51_9_length_check___00.smt2	unsat	212338339	unsat	212858598	arm
N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	unsat	413071550	unsat	313511347	base
NB24-034__flow_spurious_ghost_warning__sorters.adb_51_43_index_check___00.smt2	unsat	112876646	unsat	112346129	arm
P720-007__replay__harness.adb_13_19_assert___00.smt2	unknown	2614016755	unknown	3615826092	base
R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	2531956099	unknown	-1610584436867304328	arm
RB05-005__unsound__main.adb_13_74_main.adb_22_4_range_check___00.smt2	unknown	2531334844	unknown	25030264430	base
evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	unknown	24031243013	unknown	24130265067	arm
tetris__tetris_flow.adb_59_63_index_check___00.smt2	unknown	25134092753	unknown	25133162228	base
M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	unsat	112849587	unsat	112883750	arm
N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	unsat	411893408	unsat	412900917	base
N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	unknown	25031081357	unknown	25031064045	arm
O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	unsat	111714724	unsat	211597343	base
