file	verdict	bound_by	last	attempts	total_ms	giveup_kind	mbqi_exit	mbqi_census	giveup_raw
v10l50062.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	355	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #30; the traversed-field relaxation is incomplete here
v3l80054.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	2	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #90; the traversed-field relaxation is incomplete here
typed_v3l40066.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	3	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #112; the traversed-field relaxation is incomplete here
blocksworld_from_1_14_5_to_17_3_0_negated_goal_bmc_21.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	112	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #2819; the traversed-field relaxation is incomplete here
v2l30021.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #32; the traversed-field relaxation is incomplete here
typed_v5l50069.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	2	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #72; the traversed-field relaxation is incomplete here
blocksworld_from_20_2_0_to_8_7_7_negated_goal_bmc_6.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	39	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #991; the traversed-field relaxation is incomplete here
v3l50096.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #51; the traversed-field relaxation is incomplete here
v5l80028.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #59; the traversed-field relaxation is incomplete here
blocksworld_from_12_7_0_to_14_5_0_negated_goal_bmc_36.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	184	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #4833; the traversed-field relaxation is incomplete here
v1l20087.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #29; the traversed-field relaxation is incomplete here
v3l20095.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #26; the traversed-field relaxation is incomplete here
v5l50027.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #29; the traversed-field relaxation is incomplete here
blocksworld_from_15_6_4_to_10_2_13_negated_goal_bmc_7.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	40	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #1098; the traversed-field relaxation is incomplete here
