file	base	base_ms	arm	arm_ms	first
K506-012__old__old.ads_10_20_postcondition___00.smt2	unsat	110777041	unsat	110232697	arm
K518-029__call_actuals__call_actuals.adb_41_11_range_check___02.smt2	unsat	115506695	unsat	111157480	base
K519-031__subarray__subar.adb_57_7_dead_code___00.smt2	unknown	110662088	unknown	110543240	arm
K624-029__amortize_queue__amortized_queue.adb_15_13_precondition___00.smt2	unknown	7415090942	unknown	4814033210	base
K624-029__amortize_queue__amortized_queue.adb_62_14_postcondition___00.smt2	unknown	8719026119	unknown	7516006159	arm
K624-029__amortize_queue__amortized_queue.adb_94_9_precondition___00.smt2	unknown	9917795090	unknown	3313893394	base
K624-029__search_list__a-cfdlli.ads_1379_20_linked_list.ads_6_4_precondition___00.smt2	unsat	111638539	unsat	111310564	arm
KB29-037__typinv2__main.adb_3_4_predicate_check_on_default_value___00.smt2	unsat	-1610587283289820360	unsat	1610587283510564318	base
KC20-032__succ_pred__p.adb_10_14_postcondition___00.smt2	unsat	111572437	unsat	111400129	arm
L413-031__fullview__a-cfdlli.ads_1349_20_int_list.ads_10_4_precondition___00.smt2	unsat	111621258	unsat	111994526	base
L531-021__discr__basic.adb_13_17_discriminant_check___00.smt2	unknown	6815157439	unknown	6815981498	arm
L719-025__lists_equal__a-cfdlli.ads_1029_43_p.ads_7_4_overflow_check___00.smt2	unknown	-1610587296086639647	unsat	1610587298412396984	base
L719-025__ordered_maps_equal__a-cforma.ads_917_20_p.ads_8_4_precondition2___00.smt2	unsat	112925422	unsat	111816438	arm
L719-025__sorted_lists__a-cofuve.ads_239_30_a-cfdlli.ads_69_7_sorted_lists.ads_14_4_range_check___00.smt2	unsat	111114043	unsat	115285294	base
LC17-035__update_attribute_multidim__update.ads_38_19_postcondition___00.smt2	unknown	22624435543	unknown	22124570585	arm
M123-033__expr_fun__q.adb_10_28_assert___00.smt2	unsat	-1771646073009322532	unsat	1771646073231593446	base
M215-014__expr_fun__p.ads_6_6_postcondition___00.smt2	unsat	111340610	unsat	110520879	arm
M220-043__ghost__semantics.adb_15_40_overflow_check___00.smt2	unknown	110919574	unknown	111294204	base
M412-008__flow_functions_with_depends__foo.adb_126_12_precondition___00.smt2	unknown	112556221	unknown	111464529	arm
M503-001__typinv__globals.ads_17_14_invariant_check___00.smt2	unsat	112982598	unsat	-1610587339988155520	base
M528-033__refinedpost__refined.adb_4_39_overflow_check___00.smt2	unsat	110924393	unsat	1610587340211466583	arm
M823-017__fixed_points__binary_fixed.adb_32_14_overflow_check2___00.smt2	unsat	110588052	unsat	110898094	base
MA29-016__flow_refinement__levels.adb_127_25_refined_post___00.smt2	unknown	-1610587354282030283	unknown	15922345667	arm
MB11-008__flow_use_global_aspect_in_generated_globals__foo.adb_11_14_foo.adb_20_7_overflow_check___00.smt2	unknown	1610587360914264983	unknown	113674133	base
N130-012__flow_consume_proof_ins__test.ads_19_21_postcondition___00.smt2	unsat	112470513	unsat	113642966	arm
N306-009__operators__a-cfdlli.ads_469_49_inst_ext_ax.ads_5_4_overflow_check___00.smt2	unknown	312672184	unknown	312572049	base
N317-015__inlining__incr_expr_fun.adb_18_22_assert___00.smt2	unsat	111941408	unsat	113472130	arm
N317-015__types__ident.adb_52_21_range_check___00.smt2	unsat	113012233	unsat	112774724	base
N502-004__ipstack_effects__aip-net.adb_20_23_overflow_check___00.smt2	unsat	112909643	unsat	112703663	arm
N617-011__mutable_discr__discr.adb_112_27_range_check___00.smt2	unsat	-1610587362486304528	unsat	1610587362712514715	base
N708-013__flow_untangle_untangle__foo.adb_46_33_loop_invariant_preserv___00.smt2	unsat	113640240	unsat	113095887	arm
N711-045__flow_default_init_cond__dic.adb_13_63_overflow_check___00.smt2	unknown	1013806089	unknown	1414399682	base
NA20-055__flow_support_ghost_entities__casper.adb_11_22_assert___00.smt2	unsat	-1610587365186558637	unsat	113064068	arm
NB19-026__flow_formal_vectors__a-cfinve.ads_602_28_indefinite_bounded.ads_6_4_overflow_check___00.smt2	unsat	1610587365413898707	unsat	112476455	base
NB19-026__flow_formal_vectors__indefinite_bounded.adb_37_25_assert___00.smt2	unknown	25030021866	unknown	25131300815	arm
NB19-026__flow_formal_vectors__indefinite_bounded.adb_50_25_precondition___00.smt2	unsat	111693642	unsat	111664347	base
