file	base	base_ms	arm	arm_ms	first
v1l50002.cvc.smt2	unsat	109867918	unsat	110152582	arm
v1l80046.cvc.smt2	unsat	-1610585587689360509	unsat	1610585587909768414	base
v10l30090.cvc.smt2	unknown	111365500	unknown	110129601	arm
v10l70034.cvc.smt2	unsat	112092070	unsat	110633651	base
v2l20078.cvc.smt2	unsat	110587585	unsat	111398561	arm
v2l60022.cvc.smt2	unsat	111661997	unsat	-1610585588588253256	base
v2l90066.cvc.smt2	unsat	109705187	unsat	111867005	arm
v3l50010.cvc.smt2	unsat	111041242	unsat	110331473	base
v3l80054.cvc.smt2	unknown	111553437	unknown	111481083	arm
v5l30098.cvc.smt2	sat	109861886	sat	-1610585589488041736	base
v5l70042.cvc.smt2	unknown	111393643	unknown	1610585589711466166	arm
typed_v1l20086.cvc.smt2	sat	110549174	sat	110474767	base
typed_v1l60030.cvc.smt2	unsat	111487075	unsat	110376976	arm
typed_v1l90074.cvc.smt2	unsat	111175149	unsat	111580386	base
typed_v10l50018.cvc.smt2	unsat	110429704	unsat	1610585590611543830	arm
typed_v10l80062.cvc.smt2	unsat	111040071	unsat	109839215	base
typed_v2l40006.cvc.smt2	sat	111832572	sat	111562634	arm
typed_v2l70050.cvc.smt2	unsat	210379795	unsat	-1610585591289646627	base
typed_v3l20094.cvc.smt2	sat	111536626	sat	1610585591511692614	arm
typed_v3l60038.cvc.smt2	unsat	111490922	unsat	111546414	base
typed_v3l90082.cvc.smt2	unsat	111519956	unsat	111223378	arm
typed_v5l50026.cvc.smt2	sat	110956665	sat	-1771644151419041471	base
typed_v5l80070.cvc.smt2	sat	111819548	sat	1610585592410825243	arm
blocksworld_from_0_18_1_to_17_2_0_negated_goal_bmc_5.smt2	unknown	112144658	unknown	111628756	base
blocksworld_from_5_10_6_to_18_1_2_negated_goal_bmc_39.smt2	unknown	312543379	unknown	310517943	arm
v1l30073.cvc.smt2	sat	112422781	sat	111525566	base
v1l70017.cvc.smt2	unsat	110606650	unsat	111287707	arm
v10l20061.cvc.smt2	sat	110886988	sat	111878266	base
v10l60005.cvc.smt2	sat	-1610585593987324133	sat	111688346	arm
v10l90049.cvc.smt2	sat	1610585594211482717	sat	111887143	base
v2l40093.cvc.smt2	unsat	111417978	unsat	111685661	arm
v2l80037.cvc.smt2	unsat	111734601	unsat	111987648	base
v3l30081.cvc.smt2	sat	-1610585594888338795	sat	110858825	arm
v3l70025.cvc.smt2	sat	1610585595111767582	sat	111798379	base
v5l20069.cvc.smt2	unsat	112696967	unsat	112772446	arm
v5l60013.cvc.smt2	sat	111802136	sat	111713673	base
v5l90057.cvc.smt2	unsat	-1771644155378250351	unsat	111150464	arm
typed_v1l50001.cvc.smt2	unsat	1610585596012197195	unsat	111459224	base
typed_v1l80045.cvc.smt2	unsat	111010195	unsat	111451799	arm
typed_v10l30089.cvc.smt2	sat	110153735	sat	111518602	base
typed_v10l70033.cvc.smt2	sat	112591151	sat	111275474	arm
typed_v2l20077.cvc.smt2	sat	-1610585596688458936	sat	1610585596912584880	base
typed_v2l60021.cvc.smt2	unsat	111138862	unsat	111655686	arm
typed_v2l90065.cvc.smt2	unsat	112798654	unsat	111727869	base
typed_v3l50009.cvc.smt2	unsat	112620436	unsat	112664257	arm
typed_v3l80053.cvc.smt2	unsat	-1610585597588006751	unsat	1610585597811083059	base
typed_v5l30097.cvc.smt2	sat	112051977	sat	113453162	arm
typed_v5l70041.cvc.smt2	unsat	111545733	unsat	111861506	base
vlsat3_b84.smt2	unsat	1610585642432828744	unsat	-1610585595770498492	arm
blocksworld_from_20_2_0_to_8_7_7_negated_goal_bmc_6.smt2	unknown	113519544	unknown	113315448	base
v1l40016.cvc.smt2	unsat	116599397	unsat	112700744	arm
v1l70060.cvc.smt2	unsat	114977924	unsat	-1610585640787093229	base
v10l30004.cvc.smt2	sat	114474879	sat	1610585641013639354	arm
v10l60048.cvc.smt2	sat	113972841	sat	113431942	base
v10l90092.cvc.smt2	unsat	115585566	unsat	112685755	arm
v2l50036.cvc.smt2	unsat	112841762	unsat	-1610585641686331511	base
v2l80080.cvc.smt2	unsat	113293348	unsat	1610585641914314130	arm
v3l40024.cvc.smt2	sat	114969409	sat	113821632	base
v3l70068.cvc.smt2	unknown	115262610	unknown	114013396	arm
v5l30012.cvc.smt2	sat	113427214	sat	-1610585642585558435	base
v5l60056.cvc.smt2	sat	114481099	sat	1610585642813839957	arm
v5l90100.cvc.smt2	unsat	114598415	unsat	113866103	base
typed_v1l50044.cvc.smt2	unsat	116380321	unsat	113972820	arm
typed_v1l80088.cvc.smt2	unsat	114552039	unsat	-1610585643486894358	base
typed_v10l40032.cvc.smt2	unsat	114773586	unsat	1610585643714147953	arm
typed_v10l70076.cvc.smt2	unsat	113302123	unsat	115466677	base
typed_v2l30020.cvc.smt2	unsat	116474927	unsat	113196287	arm
typed_v2l60064.cvc.smt2	unsat	113129244	unsat	-1610585644385128220	base
typed_v3l20008.cvc.smt2	sat	113532508	sat	113300850	arm
typed_v3l50052.cvc.smt2	sat	114381694	sat	115558787	base
