file	base	base_ms	arm	arm_ms	first
KA21-006__funcs__funcs.adb_66_22_assert___00.smt2	unsat	111671876	unsat	1610585208111497224	arm
M314-016__flow_bug_nonunique_tags__segway.adb_16_28_range_check___00.smt2	unsat	111803699	unsat	111634396	base
N617-011__mutable_discr__discr.adb_58_7_precondition___00.smt2	unknown	12421576818	unknown	-1610585207178781209	arm
O512-022__fibonacci__fib.adb_29_42_range_check___00.smt2	unsat	112589057	unsat	112591671	base
P715-019__flow_subprogram_termination__a-cofuse.ads_272_16_formal_cont.ads_26_4_inconsistent_pre___00.smt2	unknown	-1610585232086396892	unknown	1112546169	arm
R509-011__higher_order_proof__why_11e36a_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	112843553	unsat	112263062	base
RM_Examples__up_timer.adb_14_36_overflow_check___00.smt2	unsat	112602732	unsat	1610585235111668078	arm
SC03-021__binary_search_trees__why_61039b_binary_search-T-defqtvc__00.smt2	unknown	3614191777	unknown	2614693801	base
JC17-017__exit__p.adb_17_7_assert___00.smt2	unknown	113351131	unknown	113508422	arm
L926-036__loopinv__counters.adb_18_21_overflow_check___00.smt2	unknown	17425705617	unknown	17423229380	base
MB06-039__private_type_with_a_container_component__a-cofuve.ads_300_52_a-cofove.ads_87_7_fail.ads_14_4_overflow_check___00.smt2	unsat	111906458	unsat	110972095	arm
O120-034__constrained__constrained_attribute.adb_4_26_discriminant_check___00.smt2	unsat	-1610585272687349670	unsat	1610585272911651187	base
P115-039__spark16demo__client_unit.adb_54_10_dead_code___00.smt2	unknown	212377821	unknown	211561284	arm
Q521-001__flow_remote_states__pumpunit.ads_87_61_overflow_check___00.smt2	unsat	111111432	unsat	113114006	base
R509-011__higher_order_proof__why_d9175b_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	1814529307	unsat	1914208287	arm
S716-015__old_counterex__show_failed_proof_attempt.adb_21_17_overflow_check___00.smt2	unsat	112006222	unsat	112744815	base
adacore_u__ints.adb_42_24_overflow_check___00.smt2	unknown	9820052149	unknown	9719651147	arm
L112-039__precond__pre.adb_12_22_assert___00.smt2	unsat	113709485	unsat	113281545	base
M409-046__subtype__main.adb_6_14_predicate_check___00.smt2	unknown	112869556	unknown	112650020	arm
N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	unsat	112413413	unsat	-1610585295187351092	base
O512-022__vscomp2014_partition_rte__a-cofuve.ads_239_30_a-cfdlli.ads_69_7_partition_refinement.ads_15_4_range_check___00.smt2	unsat	112887839	unsat	111666896	arm
P801-002__type_invariant_comp__use_types_with_invariants_no_spark.adb_12_22_assert___00.smt2	unknown	112733053	unknown	111333360	base
R509-011__higher_order_proof__why_360c00_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	1112584288	unsat	1112298019	arm
S305-038__allocators__alloc_range_check.adb_12_12_range_check___00.smt2	unsat	111639296	unsat	-1610585297888124780	base
SC03-021__binary_search_trees__why_f0e6b6_binary_search-T-defqtvc__00.smt2	unknown	112027843	unknown	1610585298211869152	arm
K303-015__named_arguments__substract.adb_4_20_overflow_check___00.smt2	unknown	112705893	unknown	111407938	base
LC17-035__update_attribute_multidim__update_checks.adb_69_44_range_check___00.smt2	unknown	18222655708	unknown	18224829627	arm
MB14-009__for_loops_iterable__for_loops_on_lists.adb_62_54_precondition___00.smt2	unsat	113021596	unsat	112467914	base
O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	unsat	112968948	unsat	112323768	arm
P301-005__pred_rec_decl__preds.adb_22_7_predicate_check_on_default_value___00.smt2	unknown	511990244	unknown	512752841	base
Q828-043__recursive_list_pointers__update_lists_restore.adb_31_45_null_pointer_dereference___00.smt2	unsat	111735342	unsat	113840306	arm
R509-011__higher_order_proof__why_f4cbc4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	-1610585332887132009	unsat	1610585335111841868	base
S903-010__flow_eq__x.adb_210_19_assert___00.smt2	unsat	112597172	unsat	112587765	arm
formal_queue__a-cfdlli.ads_853_39_queue.ads_19_4_precondition___00.smt2	unsat	111031804	unsat	112952368	base
L413-031__fullview__int_list.adb_4_7_precondition___00.smt2	unsat	113029991	unsat	111681543	arm
M503-001__typinv__inside_out.adb_30_15_overflow_check___00.smt2	unsat	111536255	unsat	-1610585335687217826	base
N709-001__dispatch__object.ads_15_31_precondition___00.smt2	unsat	112568139	unsat	112441085	arm
O528-003__atomic_param__user.adb_7_11_overflow_check___00.smt2	unsat	112451323	unsat	112673654	base
PA12-001__DIC__dic_pred.ads_4_9_predicate_check_on_default_value___00.smt2	unknown	1610585340913382949	unknown	-1771643869936696267	arm
R509-011__higher_order_proof__why_52f2a0_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	5115958119	unsat	5116985505	base
S325-002__red_black_trees__red_black_trees.adb_31_33_null_pointer_dereference___00.smt2	unsat	113080044	unsat	113144562	arm
SC03-021__linear_search__linear_search.adb_48_13_loop_invariant_init___00.smt2	unknown	3015371056	unknown	1913720848	base
K519-031__subarray__subar.adb_51_10_dead_code___00.smt2	unknown	112759903	unknown	111827974	arm
M123-033__expr_fun__private_p.adb_11_28_assert___00.smt2	unsat	112298451	unsat	112739525	base
N110-032__list_conversion__a-cofuve.ads_238_59_a-cfdlli.ads_69_7_my_lists.ads_11_4_overflow_check___00.smt2	unsat	112628110	unsat	112754082	arm
O403-015__record_equality__record_equality.adb_29_22_range_check___00.smt2	unsat	112987523	unsat	112611750	base
P405-006__arithmetic_from_dafny__mul_lemmas.adb_224_36_range_check___00.smt2	unsat	-1610585355487387449	unsat	112712606	arm
