file	verdict	bound_by	last	attempts	total_ms	giveup_kind	mbqi_exit	mbqi_census	giveup_raw
v10l30090.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	355	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #18; the traversed-field relaxation is incomplete here
v3l60082.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	2	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #54; the traversed-field relaxation is incomplete here
v5l70042.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	2	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #51; the traversed-field relaxation is incomplete here
blocksworld_from_0_18_1_to_17_2_0_negated_goal_bmc_5.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	40	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #839; the traversed-field relaxation is incomplete here
blocksworld_from_5_10_6_to_18_1_2_negated_goal_bmc_39.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	209	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #5188; the traversed-field relaxation is incomplete here
v5l70085.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #37; the traversed-field relaxation is incomplete here
blocksworld_from_10_7_1_to_8_0_10_negated_goal_bmc_18.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	81	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #2480; the traversed-field relaxation is incomplete here
v3l20052.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	2	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #26; the traversed-field relaxation is incomplete here
v3l70068.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #56; the traversed-field relaxation is incomplete here
typed_v3l70024.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	6	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #224; the traversed-field relaxation is incomplete here
blocksworld_from_25_0_0_to_9_6_10_negated_goal_bmc_20.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	118	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #2850; the traversed-field relaxation is incomplete here
v2l50079.cvc.smt2	unknown	datatype-elim	fd:bounded-completeness-unsat	16	1	Incomplete	NONE	NONE	datatype unfolding produced a candidate that does not satisfy assertion #53; the traversed-field relaxation is incomplete here
