file	division	status	control_verdict	control_ms	control_trail	probe_verdict	probe_ms	probe_trail	winner	winner_own_ms	preamble_ms	arm_ms	confirm_own_ms
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/sal/fischer6-mutex-9.smt2	QF_RDL	STALE-DECIDED	unsat	1395	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/sal/fischer9-mutex-10.smt2	QF_RDL	STALE-DECIDED	unsat	12472	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/sal/fischer9-mutex-11.smt2	QF_RDL	STALE-DECIDED	unsat	13645	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/sal/fischer9-mutex-12.smt2	QF_RDL	TOO-SLOW-ARM	unknown	24209	1	unsat	29459	1	dl-online	29383.5	63.3	29446.8	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/sal/fischer9-mutex-9.smt2	QF_RDL	STALE-DECIDED	unsat	3457	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/abz5_1200.smt2	QF_RDL	STALE-DECIDED	unsat	7404	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/abz7_500.smt2	QF_RDL	STALE-DECIDED	unsat	9160	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb01_900.smt2	QF_RDL	STALE-DECIDED	unsat	6142	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb04_950.smt2	QF_RDL	STALE-DECIDED	unsat	6633	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb06_1100.smt2	QF_RDL	STALE-DECIDED	sat	1681	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb06_900.smt2	QF_RDL	PRIZE	unknown	24032	1	unsat	19700	1	dl-online	19690.4	3.9	19694.3	18706.1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/scheduling/orb07_397.smt2	QF_RDL	STALE-DECIDED	sat	6350	1								
