file	division	status	control_verdict	control_ms	control_trail	probe_verdict	probe_ms	probe_trail	winner	winner_own_ms	preamble_ms	arm_ms	confirm_own_ms
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem_2__023.smt2.slack.smt2	QF_LIA	NO-ROUTE	unknown	24561	1	unknown	120043	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/2019-cmodelsdiff/stillLive/0006-still_live-11-1.smt2	QF_LIA	STALE-DECIDED	sat	1557	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/2019-ezsmt/incrementalScheduling/182-incremental_scheduling-17280-0.smt2	QF_LIA	NO-ROUTE	unknown	24042	1	unknown	120065	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20210219-Dartagnan/ReachSafety-Loops/apache-get-tag-O0.smt2	QF_LIA	NO-ROUTE	unknown	25034	0	unknown	61460	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20210219-Dartagnan/ReachSafety-Loops/jm2006_variant-O0.smt2	QF_LIA	NO-ROUTE-NO-TRAIL	unknown	25130	0	unknown	121023	0					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20220307-SMPT/BART-PT-020/RF-13.smt2	QF_LIA	STALE-DECIDED	sat	9240	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-07.smt2	QF_LIA	NO-ROUTE	unknown	20533	1	unknown	20288	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20220307-SMPT/RwMutex-PT-r0010w0500/RC-09.smt2	QF_LIA	NO-ROUTE-NO-TRAIL	unknown	25037	0	unknown	121006	0					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20220307-SMPT/RwMutex-PT-r0010w2000/RC-11.smt2	QF_LIA	NO-ROUTE-NO-TRAIL	unknown	25053	0	unknown	121009	0					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/20220307-SMPT/RwMutex-PT-r1000w0010/RC-15.smt2	QF_LIA	NO-ROUTE-NO-TRAIL	unknown	25174	0	unknown	121153	0					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/CAV_2009_benchmarks/coef-size/smt/size-100/problem__006.smt2	QF_LIA	NO-ROUTE	unknown	32	1	unknown	15	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/CAV_2009_benchmarks/smt/25-vars/problem_2__034.smt2	QF_LIA	TOO-SLOW-ARM	unknown	24126	1	sat	43893	1	lia-simplex	43881.5	1.0	43882.5	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/CAV_2009_benchmarks/smt/35-vars/problem_2__026.smt2	QF_LIA	NO-ROUTE	unknown	24168	1	unknown	120256	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_random_LIA/ex13800_2600_100.smt2	QF_LIA	NO-ROUTE	unknown	24110	1	unknown	120136	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_random_LIA/ex20400_2600_100.smt2	QF_LIA	NO-ROUTE	unknown	24197	1	unknown	120245	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_random_LIA/ex27000_2600_100.smt2	QF_LIA	NO-ROUTE	unknown	24249	1	unknown	120348	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_random_LIA/ex8500_2600_100.smt2	QF_LIA	TOO-SLOW-ARM	unknown	24295	1	unsat	40118	1	lia-dpll	40053.1	9.3	40062.4	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex5640_2400_100.smt2	QF_LIA	NO-ROUTE	unknown	24239	1	unknown	120050	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex6960_2400_100.smt2	QF_LIA	STALE-DECIDED	sat	21501	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex8280_2400_100.smt2	QF_LIA	STALE-DECIDED	sat	17831	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex9600_2400_100.smt2	QF_LIA	STALE-DECIDED	sat	15778	1								
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/convert/convert-jpg2gif-query-1423.smt2	QF_LIA	NO-ROUTE	unknown	24106	1	unknown	120082	1					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/mathsat/FISCHER10-13-fair.smt2	QF_LIA	NO-ROUTE-NO-TRAIL	unknown	25044	0	unknown	121013	0					
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LIA/nec-smt/med/checkpass_pwd/prp-0-19.smt2	QF_LIA	NO-ROUTE	unknown	24076	1	unknown	120057	1					
