file	declared	reference_verdict	class	last_route	dominant_stage	wall_ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c00.smt2	unsat	unsat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	25039	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c00.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "probe", "
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20220214-RVpredict-BohanLi/RVpredict_13.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	25011	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20220214-RVpredict-BohanLi/RVpredict_13.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome"
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721325133.dat.smt2	unsat	unsat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21129	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721325133.dat.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/ChannelRouting/channelRoute.in9.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21888	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/ChannelRouting/channelRoute.in9.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "p
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/Fastfood/a9.8.11.asp.smt2	unsat	unsat	search-timeout	lia-dpll	lia-dpll	25017	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/Fastfood/a9.8.11.asp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "probe", "det
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/GeneralizedSlitherlink/penrose.34.asp.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21159	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/GeneralizedSlitherlink/penrose.34.asp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcom
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/GeneralizedSlitherlink/trisquares.41.asp.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21241	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/GeneralizedSlitherlink/trisquares.41.asp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "out
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/GraphColouring/graph-colouring-nodes=130-density=0.1-instance=10.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21134	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/GraphColouring/graph-colouring-nodes=130-density=0.1-instance=10.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HamiltonianPath/gryzzles.12.lp.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21083	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HamiltonianPath/gryzzles.12.lp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "pr
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HamiltonianPath/gryzzles.31.lp.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21113	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HamiltonianPath/gryzzles.31.lp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "pr
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HamiltonianPath/gryzzles.7.lp.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21103	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HamiltonianPath/gryzzles.7.lp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "pro
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HierarchicalClustering/xy.12.x.12.r.3.274440616.806497.data_k=3_l=4_sat.gph.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21334	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/HierarchicalClustering/xy.12.x.12.r.3.274440616.806497.data_k=3_l=4_sat.gph.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/MazeGeneration/maze-generation-width=19-height=19-density=0.01-run=5.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	18116	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/MazeGeneration/maze-generation-width=19-height=19-density=0.01-run=5.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempt
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/SchurNumbers/15.3.schur.lp.smt2	sat	sat	admission-decline(lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (ato)	lia-dpll	dl-online	21269	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/asp/SchurNumbers/15.3.schur.lp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "probe"
