file	declared	reference_verdict	class	last_route	dominant_stage	wall_ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/2018-Mann/arbiter_array_cex_w32d32q16n4b34.smt2	sat	sat	search-timeout	array-fast-path	array-fast-path	24424	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/2018-Mann/arbiter_array_cex_w32d32q16n4b34.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outco
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/bmc-arrays/bubbleSort.smt2	unsat	unsat	other(explain-corpus-crash)	n/a	n/a	25079	cli_wall_ms=25079 cli_verdict=unknown; explain_error=explain_corpus: DIAGNOSTIC ONLY -- this is `check_auto_explained` on the FLAT assertion view, not the shipped front door. Measured 2026-08-21 it disagreed with `solve_smtlib` on 134 of 397 committed benchmarks. Every verdict below is prefixed `flat-` or `front-door-` for that reason. For an answer, 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/brummayerbiere/fifo32ia04k08.smt2	sat	sat	search-timeout	array-fast-path	array-fast-path	24098	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/brummayerbiere/fifo32ia04k08.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "probe", 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/brummayerbiere/wchains140se.smt2	sat	sat	other(explain-corpus-crash)	n/a	n/a	25513	cli_wall_ms=25513 cli_verdict=unknown; explain_error=explain_corpus: DIAGNOSTIC ONLY -- this is `check_auto_explained` on the FLAT assertion view, not the shipped front door. Measured 2026-08-21 it disagreed with `solve_smtlib` on 134 of 397 committed benchmarks. Every verdict below is prefixed `flat-` or `front-door-` for that reason. For an answer, 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_md5sum.set_char_quoting.il.dwp.smt2	sat	sat	other(explain-corpus-decided:flat-sat)	array-fast-path	abv-online-cdclt	25029	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_md5sum.set_char_quoting.il.dwp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-sat", "trace": {"schema_version": 1, "attempts": [{"ro
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_ptx.bkm_scale.il.dwp.smt2	sat	sat	other(explain-corpus-decided:flat-sat)	array-fast-path	abv-online-cdclt	25031	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_ptx.bkm_scale.il.dwp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-sat", "trace": {"schema_version": 1, "attempts": [{"route": "pro
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_sum.set_char_quoting.il.dwp.smt2	sat	sat	other(explain-corpus-decided:flat-sat)	array-fast-path	abv-online-cdclt	25026	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_sum.set_char_quoting.il.dwp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-sat", "trace": {"schema_version": 1, "attempts": [{"route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.next_line_num.il.dwp.smt2	sat	sat	other(incomplete:array shape left undecided by the lazy ROW/extensionality path and refused by bo)	qf-abv-array-decline	array-fast-path	8029	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.next_line_num.il.dwp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts":
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_mkfifo.get_quoting_style.il.dwp.smt2	unsat	unsat	other(explain-corpus-crash)	n/a	n/a	25035	cli_wall_ms=25035 cli_verdict=unknown; explain_error=explain_corpus: DIAGNOSTIC ONLY -- this is `check_auto_explained` on the FLAT assertion view, not the shipped front door. Measured 2026-08-21 it disagreed with `solve_smtlib` on 134 of 397 committed benchmarks. Every verdict below is prefixed `flat-` or `front-door-` for that reason. For an answer, 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_stty.visible.il.dwp.smt2	sat	sat	other(incomplete:array shape left undecided by the lazy ROW/extensionality path and refused by bo)	qf-abv-array-decline	array-fast-path	9539	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_stty.visible.il.dwp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"r
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_vdir.strcmp_size.il.dwp.smt2	unsat	unsat	other(incomplete:array shape left undecided by the lazy ROW/extensionality path and refused by bo)	qf-abv-array-decline	array-fast-path	13105	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_vdir.strcmp_size.il.dwp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_env.set_char_quoting.il.dwp.smt2	sat	sat	other(explain-corpus-decided:flat-sat)	array-fast-path	abv-online-cdclt	25028	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_env.set_char_quoting.il.dwp.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-sat", "trace": {"schema_version": 1, "attempts": [{
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/klee-selected-smt2/cu-large-qids/_lbracket-query-052.smt2	sat	sat	search-timeout	array-fast-path	array-fast-path	25050	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/klee-selected-smt2/cu-large-qids/_lbracket-query-052.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "prob
