file	declared	reference_verdict	class	last_route	dominant_stage	wall_ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/parallel/x2015_09_10_16_57_14_271_1048482.smt_in.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 40958 congruence pairs (bound 64): measured ref)	ufbv-declared-sort-lazy	dl-online	25337	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/parallel/x2015_09_10_16_57_14_271_1048482.smt_in.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_49_54_437_992499.smt_in.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 80408 congruence pairs (bound 64): measured ref)	ufbv-declared-sort-lazy	dl-online	5615	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_49_54_437_992499.smt_in.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version"
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_51_44_982_1071529.smt_in.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 86875 congruence pairs (bound 64): measured ref)	ufbv-declared-sort-lazy	dl-online	17228	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_51_44_982_1071529.smt_in.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_50_4.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 16021 congruence pairs (bound 64): measured ref)	ufbv-declared-sort-lazy	dl-online	24134	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_50_4.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"rou
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/grasshopper/uninstantiated/dl_copy_invariant_19_2.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 1754 congruence pairs (bound 64): measured refi)	ufbv-declared-sort-lazy	dl-online	24334	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/grasshopper/uninstantiated/dl_copy_invariant_19_2.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "ou
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/grasshopper/uninstantiated/dl_remove_loop_invariant_35_5.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 1656 congruence pairs (bound 64): measured refi)	ufbv-declared-sort-lazy	dl-online	17126	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/grasshopper/uninstantiated/dl_remove_loop_invariant_35_5.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "prob
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/smtlib.663965.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 67083 congruence pairs (bound 64): measured ref)	ufbv-declared-sort-lazy	dl-online	26370	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/smtlib.663965.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "pr
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.704291.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 90367 congruence pairs (bound 64): measured ref)	ufbv-declared-sort-lazy	dl-online	25337	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.704291.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "probe"
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.813308.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 118859 congruence pairs (bound 64): measured re)	ufbv-declared-sort-lazy	dl-online	24134	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.813308.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "probe"
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.850780.smt2	unsat	unsat	admission-decline(declared-sort lazy CEGAR refuses 107668 congruence pairs (bound 64): measured re)	ufbv-declared-sort-lazy	dl-online	25238	{"file": "/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.850780.smt2", "status": "decided", "oracle": false, "front_door": "solve_smtlib", "verdict": "flat-unknown", "trace": {"schema_version": 1, "attempts": [{"route": "probe", "outcome": "probe"
