file	verdict	rc	wall_ms	exit_kind	rounds	total_ms	giveup
BV/2017-Preiner-scholl-smt08/RND/RND_6_4.smt2	unknown	0	1009	SHAPE	53	880	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 53 rounds (no further instance to admit; more rounds cannot help)
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_33.smt2	unknown	0	4311	SHAPE	1	4178	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 1 rounds (no further instance to admit; more rounds cannot help)
BV/20170501-Heizmann-UltimateAutomizer/jain_4_true-unreach-call_true-no-overflow.i_200.smt2	unknown	0	1110	SHAPE	65	1064	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 65 rounds (no further instance to admit; more rounds cannot help)
BV/20170501-Heizmann-UltimateAutomizer/jain_6_true-unreach-call_true-no-overflow.i_236.smt2	unknown	0	2310	SHAPE	65	2197	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 65 rounds (no further instance to admit; more rounds cannot help)
BV/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_18.smt2	unknown	0	410	SHAPE	65	352	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 65 rounds (no further instance to admit; more rounds cannot help)
BV/20210330-PEak/no-extern-loop_sat_subset/easy1.smt2	unknown	0	23126	CLOCK	6	22920	give-up kind=Incomplete detail=e-matching instantiation stopped after 6 rounds: the remaining budget could not fit another round with growth headroom
BV/20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_7.smt2	unknown	0	1308	SHAPE	65	1247	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 65 rounds (no further instance to admit; more rounds cannot help)
BV/wintersteiger/fmsd13/fixpoint/small-equiv-fixpoint-1.smt2	unknown	0	508	SHAPE	1	406	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 1 rounds (no further instance to admit; more rounds cannot help)
BV/wintersteiger/fmsd13/fixpoint/small-swap1-fixpoint-10.smt2	unknown	0	207	SHAPE	1	78	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 1 rounds (no further instance to admit; more rounds cannot help)
BV/wintersteiger/fmsd13/fixpoint/usb-phy-fixpoint-3.smt2	unknown	0	13517	SHAPE	1	11674	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 1 rounds (no further instance to admit; more rounds cannot help)
NRA/keymaera/to_right-node1083.smt2	unknown	0	409	SHAPE	3	306	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 3 rounds (no further instance to admit; more rounds cannot help)
UFLIA/grasshopper/uninstantiated/sls_insert_loop_check_heap_access_38_6.smt2	unknown	0	17622	OTHER	na	17474	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
