file	a_verdict	a_ms	a_kind	b_verdict	b_ms	b_kind	first	a_giveup	b_giveup
QF_AUFLIA/storecomm/storecomm_invalid_t3_pp_sf_ni_00020_007.cvc.smt2	sat	709	NOGIVEUP	sat	808	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_invalid_t3_pp_sf_ni_00040_005.cvc.smt2	sat	5814	NOGIVEUP	sat	7015	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t1_np_nf_ni_00020_009.cvc.smt2	unsat	908	NOGIVEUP	unsat	909	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t1_np_sf_ni_00020_002.cvc.smt2	unsat	1610	NOGIVEUP	unsat	1610	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t1_np_sf_ni_00030_006.cvc.smt2	unsat	3911	NOGIVEUP	unsat	4313	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t1_np_sf_ni_00060_005.cvc.smt2	unknown	9816	OTHER	unknown	9516	OTHER	A	give-up kind=Incomplete detail=lazy-extensionality refinement did not converge within 64 rounds (round=64, sites=121, array_eq_atoms=1, row_lemmas=106, cong_lemmas=0, diff_skolems=1, working_assertions=108, last_candidate_replay=false(assertion_ordinal=0, term=746, failed_conjunct_ordinal=0, failed_conjunct_term=746, select_repair_candidates=0, select_repair_array_changes=0, select_repair_symbol_changes=0, branch_repair_candidates=0, branch_repair_symbol_changes=0, scalar_repair_candidates=0, scalar_support_candidates=0, scalar_stabilized_trials=0, scalar_rejected_worse_trials=0, scalar_equal_support_repairs=0, scalar_repair_symbol_changes=0, projection_repair_changes=0))	give-up kind=Incomplete detail=lazy-extensionality refinement did not converge within 64 rounds (round=64, sites=121, array_eq_atoms=1, row_lemmas=106, cong_lemmas=0, diff_skolems=1, working_assertions=108, last_candidate_replay=false(assertion_ordinal=0, term=746, failed_conjunct_ordinal=0, failed_conjunct_term=746, select_repair_candidates=0, select_repair_array_changes=0, select_repair_symbol_changes=0, branch_repair_candidates=0, branch_repair_symbol_changes=0, scalar_repair_candidates=0, scalar_support_candidates=0, scalar_stabilized_trials=0, scalar_rejected_worse_trials=0, scalar_equal_support_repairs=0, scalar_repair_symbol_changes=0, projection_repair_changes=0))
QF_AUFLIA/storecomm/storecomm_t1_pp_nf_ai_00020_006.cvc.smt2	unknown	24229	OTHER	unknown	24230	OTHER	B	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy-ROW deadline exceeded before refinement converged
QF_AUFLIA/storecomm/storecomm_t1_pp_nf_ni_00010_005.cvc.smt2	unsat	309	NOGIVEUP	unsat	309	NOGIVEUP	A	none	none
QF_AUFLIA/storecomm/storecomm_t1_pp_nf_ni_00020_006.cvc.smt2	unsat	910	NOGIVEUP	unsat	809	NOGIVEUP	B	none	none
QF_AUFLIA/storecomm/storecomm_t1_pp_nf_ni_00040_001.cvc.smt2	unsat	8517	NOGIVEUP	unsat	8217	NOGIVEUP	A	none	none
