file	verdict	rc	wall_ms	exit_kind	rounds	total_ms	giveup
AUFLIA/20170829-Rodin/smt1091711852231921911.smt2	unknown	0	3413	SHAPE	8	3210	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 8 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt1481896474875423539.smt2	unknown	0	23030	SHAPE	12	22942	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 12 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt1514353444141411009.smt2	unknown	0	12422	SHAPE	6	12230	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 6 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt166962401924695243.smt2	unknown	0	2411	SHAPE	44	2330	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 44 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt2078011795280993964.smt2	unknown	0	6314	SHAPE	22	6152	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 22 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt2213284030338512242.smt2	unknown	0	10119	SHAPE	4	10040	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt224183427884507976.smt2	unknown	0	6815	SHAPE	80	6733	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 80 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt2521923148204718509.smt2	unknown	0	108	SHAPE	3	18	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 3 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt2831037351241848442.smt2	unknown	0	4013	SHAPE	29	3904	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 29 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt292984752017177212.smt2	unknown	0	24135	SHAPE	99	24038	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 99 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt296741703777562894.smt2	unknown	0	6816	SHAPE	21	6663	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 21 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt3221526887094998956.smt2	unknown	0	2712	SHAPE	71	2619	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 71 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt3377599287556543854.smt2	unknown	0	19830	SHAPE	26	19719	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 26 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt3705688776235030600.smt2	unknown	0	8817	SHAPE	4	8683	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt3787735105821395094.smt2	unknown	0	19827	SHAPE	24	19656	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 24 rounds (no further instance to admit; more rounds cannot help)
AUFLIA/20170829-Rodin/smt391595983448729660.smt2	unknown	0	17928	CLOCK	4	17741	give-up kind=Incomplete detail=e-matching instantiation stopped after 4 rounds: the remaining budget could not fit another round with growth headroom
