file	first_arm	shipped_verdict	shipped_ms	shipped_kind	1024_verdict	1024_ms	1024_kind	2048_verdict	2048_ms	2048_kind	4096_verdict	4096_ms	4096_kind
LRA/2010-Monniaux-QE/mjollnir1/formula_001.smt2	shipped	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_013.smt2	1024	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_026.smt2	2048	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_050.smt2	4096	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_087.smt2	shipped	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_099.smt2	1024	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_111.smt2	2048	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_124.smt2	4096	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_136.smt2	shipped	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_148.smt2	1024	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_160.smt2	2048	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_173.smt2	4096	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_185.smt2	shipped	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_197.smt2	1024	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_209.smt2	2048	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_222.smt2	4096	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_234.smt2	shipped	unknown	106	SHAPE	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_246.smt2	1024	unknown	106	SHAPE	unknown	107	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_258.smt2	2048	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_271.smt2	4096	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir1/formula_283.smt2	shipped	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_007.smt2	1024	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	107	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_020.smt2	2048	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_032.smt2	4096	unknown	106	SHAPE	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_044.smt2	shipped	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_056.smt2	1024	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_069.smt2	2048	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_081.smt2	4096	unknown	107	SHAPE	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_093.smt2	shipped	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_118.smt2	1024	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	108	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_130.smt2	2048	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE	unknown	107	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_142.smt2	4096	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_154.smt2	shipped	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_167.smt2	1024	unknown	106	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE	unknown	107	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_179.smt2	2048	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE	unknown	106	SHAPE
LRA/2010-Monniaux-QE/mjollnir2/formula_191.smt2	4096	unknown	107	SHAPE	unknown	106	SHAPE	unknown	107	SHAPE	unknown	106	SHAPE
