file	a_verdict	a_ms	a_kind	b_verdict	b_ms	b_kind	first	a_giveup	b_giveup
BV/2017-Preiner-keymaera/bouncing-ball-inv-node6575.smt2	sat	110	NOGIVEUP	sat	108	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node10808.smt2	sat	109	NOGIVEUP	sat	110	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node17304.smt2	unsat	309	NOGIVEUP	unsat	310	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node2524.smt2	unsat	210	NOGIVEUP	unsat	210	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node35952.smt2	unsat	109	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node4261.smt2	unsat	1011	NOGIVEUP	unsat	1010	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node49571.smt2	sat	109	NOGIVEUP	sat	109	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node6824.smt2	unsat	709	NOGIVEUP	unsat	709	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node10570.smt2	unsat	110	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node111386.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node117774.smt2	unsat	108	NOGIVEUP	unsat	110	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node124208.smt2	unsat	110	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node13023.smt2	unsat	109	NOGIVEUP	unsat	110	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node136847.smt2	unsat	111	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node142738.smt2	unsat	109	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node149745.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node155819.smt2	unsat	109	NOGIVEUP	unsat	110	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node162058.smt2	unsat	107	NOGIVEUP	unsat	110	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node168472.smt2	unsat	109	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node173902.smt2	unsat	109	NOGIVEUP	unsat	110	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node179862.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node186184.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node192767.smt2	unsat	109	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node197834.smt2	unsat	111	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node204753.smt2	unsat	110	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node210818.smt2	unsat	109	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node216886.smt2	unsat	110	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
