file	first_arm	shipped_verdict	shipped_ms	shipped_kind	1024_verdict	1024_ms	1024_kind	2048_verdict	2048_ms	2048_kind	4096_verdict	4096_ms	4096_kind
AUFLIA/20170829-Rodin/smt1091711852231921911.smt2	shipped	unknown	3813	SHAPE	unknown	3714	SHAPE	unknown	3813	SHAPE	unknown	3814	SHAPE
AUFLIA/20170829-Rodin/smt1481896474875423539.smt2	1024	unknown	24237	SHAPE	unknown	24236	SHAPE	unknown	24235	SHAPE	unknown	24234	SHAPE
AUFLIA/20170829-Rodin/smt1514353444141411009.smt2	2048	unknown	14024	SHAPE	unknown	13825	SHAPE	unknown	14126	SHAPE	unknown	14126	SHAPE
AUFLIA/20170829-Rodin/smt166962401924695243.smt2	4096	unknown	3014	SHAPE	unknown	3115	SHAPE	unknown	3114	SHAPE	unknown	3012	SHAPE
AUFLIA/20170829-Rodin/smt2078011795280993964.smt2	shipped	unknown	8018	SHAPE	unknown	8316	SHAPE	unknown	8721	SHAPE	unknown	7419	SHAPE
AUFLIA/20170829-Rodin/smt2213284030338512242.smt2	1024	unknown	10920	SHAPE	unknown	11222	SHAPE	unknown	11222	SHAPE	unknown	11020	SHAPE
AUFLIA/20170829-Rodin/smt224183427884507976.smt2	2048	unknown	7816	SHAPE	unknown	7717	SHAPE	unknown	7617	SHAPE	unknown	7617	SHAPE
AUFLIA/20170829-Rodin/smt2521923148204718509.smt2	4096	unknown	109	SHAPE	unknown	109	SHAPE	unknown	108	SHAPE	unknown	108	SHAPE
AUFLIA/20170829-Rodin/smt2831037351241848442.smt2	shipped	unknown	4714	SHAPE	unknown	4512	SHAPE	unknown	4813	SHAPE	unknown	4913	SHAPE
AUFLIA/20170829-Rodin/smt292984752017177212.smt2	1024	unknown	24128	SHAPE	unknown	24127	SHAPE	unknown	24131	SHAPE	unknown	24127	SHAPE
AUFLIA/20170829-Rodin/smt296741703777562894.smt2	2048	unknown	7717	SHAPE	unknown	7818	SHAPE	unknown	7016	SHAPE	unknown	7417	SHAPE
AUFLIA/20170829-Rodin/smt3221526887094998956.smt2	4096	unknown	3012	SHAPE	unknown	3112	SHAPE	unknown	3112	SHAPE	unknown	2911	SHAPE
AUFLIA/20170829-Rodin/smt3377599287556543854.smt2	shipped	unknown	24337	SHAPE	unknown	24236	SHAPE	unknown	24235	SHAPE	unknown	24336	SHAPE
AUFLIA/20170829-Rodin/smt3705688776235030600.smt2	1024	unknown	9915	SHAPE	unknown	9617	SHAPE	unknown	10220	SHAPE	unknown	10017	SHAPE
AUFLIA/20170829-Rodin/smt3787735105821395094.smt2	2048	unknown	24226	SHAPE	unknown	24225	SHAPE	unknown	24126	SHAPE	unknown	24228	SHAPE
AUFLIA/20170829-Rodin/smt391595983448729660.smt2	4096	unknown	18723	CLOCK	unknown	19124	CLOCK	unknown	18924	CLOCK	unknown	19323	CLOCK
AUFLIA/20170829-Rodin/smt3948512889217949189.smt2	shipped	unknown	5414	SHAPE	unknown	5112	SHAPE	unknown	5011	SHAPE	unknown	5112	SHAPE
AUFLIA/20170829-Rodin/smt4173896851214750436.smt2	1024	unknown	5513	SHAPE	unknown	5413	SHAPE	unknown	5413	SHAPE	unknown	5312	SHAPE
AUFLIA/20170829-Rodin/smt4322886619350589974.smt2	2048	unknown	16622	CLOCK	unknown	15519	CLOCK	unknown	16723	CLOCK	unknown	16422	CLOCK
AUFLIA/20170829-Rodin/smt4572271437139773503.smt2	4096	unknown	207	SHAPE	unknown	207	SHAPE	unknown	207	SHAPE	unknown	208	SHAPE
AUFLIA/20170829-Rodin/smt4762333614958780116.smt2	shipped	unknown	14020	SHAPE	unknown	14219	SHAPE	unknown	14121	SHAPE	unknown	14020	SHAPE
AUFLIA/20170829-Rodin/smt4894097258090423484.smt2	1024	unknown	18621	OTHER	unknown	18423	OTHER	unknown	18321	OTHER	unknown	18721	OTHER
AUFLIA/20170829-Rodin/smt4969880730391362301.smt2	2048	unknown	18122	CLOCK	unknown	17821	CLOCK	unknown	17621	CLOCK	unknown	18222	CLOCK
AUFLIA/20170829-Rodin/smt5014833612115123394.smt2	4096	unknown	6912	SHAPE	unknown	7113	SHAPE	unknown	7013	SHAPE	unknown	6812	SHAPE
AUFLIA/20170829-Rodin/smt5069517085737059294.smt2	shipped	unknown	11216	SHAPE	unknown	11417	SHAPE	unknown	11015	SHAPE	unknown	10814	SHAPE
AUFLIA/20170829-Rodin/smt5142338501095623673.smt2	1024	unknown	207	SHAPE	unknown	207	SHAPE	unknown	207	SHAPE	unknown	207	SHAPE
AUFLIA/20170829-Rodin/smt5411750702888311295.smt2	2048	unknown	10414	SHAPE	unknown	10315	SHAPE	unknown	10115	SHAPE	unknown	10315	SHAPE
AUFLIA/20170829-Rodin/smt5659330507399205750.smt2	4096	unknown	8314	SHAPE	unknown	8615	SHAPE	unknown	8213	SHAPE	unknown	8214	SHAPE
