file	pass	order	base	base_ms	base_rc	arm	arm_ms	arm_rc
UFNIA/2019-Zohar-ic/full/int_check_bvsgt_bvadd_ltr_inv_r.smt2	1	arm-first	unknown	24339	0	unknown	25034	0
UFNIA/2019-Zohar-ic/full/int_check_bvslt_bvurem1_ltr_no_inv.smt2	1	base-first	unknown	24734	0	unknown	24644	0
UFNIA/lahiri-cav09-storm-queries/mqueue_example_2_2_2_4.smt2	1	arm-first	unknown	25057	0	unknown	25134	0
UFNIA/lahiri-cav09-storm-queries/mqueue_example_cegar_2_3_10.smt2	1	base-first	unknown	25051	0	unknown	25037	0
UFNIA/sledgehammer/Hoare/z3.850818.smt2	1	arm-first	unknown	25063	0	unknown	25139	0
UFNIA/spec_sharp/test14-DafnyAst.ssc.30.Microsoft.Dafny.ClassType.Boogie.ContractConsistencyCheck.ToString.smt2	1	base-first	unknown	25040	0	unknown	25030	0
UFNIA/spec_sharp/test14-DafnyAst.ssc.91.Microsoft.Dafny.VarDecl..ctor_Microsoft.Dafny.Token_notnull_System.String_notnull_Microsoft.Dafny.Ty.smt2	1	arm-first	unknown	25042	0	unknown	25038	0
UFNIA/vcc-havoc/havoc-bench_036.1.AddElement.smt2	1	base-first	unknown	25035	0	unknown	25037	0
UFNIA/vcc-havoc/havoc-bench_sum.1.bar.smt2	1	arm-first	unknown	25127	0	unknown	25037	0
UFNIA/2019-Zohar-ic/full/int_check_bvsgt_bvadd_ltr_inv_r.smt2	2	base-first	unknown	24036	0	unknown	24137	0
UFNIA/2019-Zohar-ic/full/int_check_bvslt_bvurem1_ltr_no_inv.smt2	2	arm-first	unknown	25041	0	unknown	25029	0
UFNIA/lahiri-cav09-storm-queries/mqueue_example_2_2_2_4.smt2	2	base-first	unknown	25124	0	unknown	25037	0
UFNIA/lahiri-cav09-storm-queries/mqueue_example_cegar_2_3_10.smt2	2	arm-first	unknown	25030	0	unknown	25037	0
UFNIA/sledgehammer/Hoare/z3.850818.smt2	2	base-first	unknown	25037	0	unknown	24243	0
UFNIA/spec_sharp/test14-DafnyAst.ssc.30.Microsoft.Dafny.ClassType.Boogie.ContractConsistencyCheck.ToString.smt2	2	arm-first	unknown	25038	0	unknown	25035	0
UFNIA/spec_sharp/test14-DafnyAst.ssc.91.Microsoft.Dafny.VarDecl..ctor_Microsoft.Dafny.Token_notnull_System.String_notnull_Microsoft.Dafny.Ty.smt2	2	base-first	unknown	25041	0	unknown	25040	0
UFNIA/vcc-havoc/havoc-bench_036.1.AddElement.smt2	2	arm-first	unknown	25038	0	unknown	25033	0
UFNIA/vcc-havoc/havoc-bench_sum.1.bar.smt2	2	base-first	unknown	25032	0	unknown	25036	0
UFNIA/2019-Zohar-ic/full/int_check_bvsgt_bvadd_ltr_inv_r.smt2	3	arm-first	unknown	24036	0	unknown	24034	0
UFNIA/2019-Zohar-ic/full/int_check_bvslt_bvurem1_ltr_no_inv.smt2	3	base-first	unknown	25034	0	unknown	25044	0
UFNIA/lahiri-cav09-storm-queries/mqueue_example_2_2_2_4.smt2	3	arm-first	unknown	25039	0	unknown	25040	0
UFNIA/lahiri-cav09-storm-queries/mqueue_example_cegar_2_3_10.smt2	3	base-first	unknown	25147	0	unknown	25149	0
UFNIA/sledgehammer/Hoare/z3.850818.smt2	3	arm-first	unknown	25045	0	unknown	25035	0
UFNIA/spec_sharp/test14-DafnyAst.ssc.30.Microsoft.Dafny.ClassType.Boogie.ContractConsistencyCheck.ToString.smt2	3	base-first	unknown	25046	0	unknown	25034	0
UFNIA/spec_sharp/test14-DafnyAst.ssc.91.Microsoft.Dafny.VarDecl..ctor_Microsoft.Dafny.Token_notnull_System.String_notnull_Microsoft.Dafny.Ty.smt2	3	arm-first	unknown	25044	0	unknown	25145	0
UFNIA/vcc-havoc/havoc-bench_036.1.AddElement.smt2	3	base-first	unknown	25041	0	unknown	25034	0
UFNIA/vcc-havoc/havoc-bench_sum.1.bar.smt2	3	arm-first	unknown	25040	0	unknown	25034	0
