file	verdict	rc	ms	bound_by	route_line	phase_in	phase_in_ms	depth	peak_rss_kb	giveup_kind	phase_line
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.008.smt2	unknown	0	24142	q:mbqi-quick	attributed	NO-PHASE-LINE	na	na	253748	ResourceLimit	NO-PHASE-LINE
UFNIA/2019-Preiner/full/t3_rw432.smt2	unknown	0	24149	q:egraph	attributed	NO-PHASE-LINE	na	na	28536	ResourceLimit	NO-PHASE-LINE
UFNIA/2019-Preiner/full/t3_rw737.smt2	unknown	0	24643	q:egraph	attributed	NO-PHASE-LINE	na	na	28860	ResourceLimit	NO-PHASE-LINE
UFNIA/2019-Zohar-ic/full/int_check_bvsgt_bvadd_ltr_inv_r.smt2	unknown	0	25046	NONE	partial	euf:fc-pair-scan	1031	5	105088	Watchdog	; partial phase stack=euf:uf-arith-eager(2171ms)>euf:lazy-arith-overbound(2171ms)>euf:uf-arith-lazy(2170ms)>euf:fc-loop(2170ms)>euf:fc-pair-scan(1031ms) depth=5 in=euf:fc-pair-scan in_ms=1031 deepest=euf:uf-arith-eager>euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-check-auto>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:164,dpll-lia:abstract:17628,dpll-lia:assert-all:204,dpll-lia:finish-sat:32,dpll-lia:initial-lemmas:204,dpll-lia:justified-support:458,dpll-lia:new:220,dpll-lia:prop-assert:17628,dpll-lia:prop-solve:458,dpll-lia:solve:85,dpll-lia:theory-conflicts:988,dpll-lia:unspecified-scan:220,euf:fc-abstract:16,euf:fc-candidates:14,euf:fc-loop:16,euf:fc-pair-scan:15,euf:fc-preseed:16,euf:fc-replay:14,euf:fc-round-solve:16,euf:lazy-arith-overbound:68,euf:offline:59,euf:round-arith-dpll:16,euf:round-check-auto:16,euf:round-incremental-arith:16,euf:uf-arith-eager:58,euf:uf-arith-lazy:16,lia:simplex-capped:948,simplex:run:15929 
UFNIA/2019-Zohar-ic/full/int_check_bvslt_bvurem1_ltr_no_inv.smt2	unknown	0	25139	NONE	partial	euf:fc-pair-scan	2225	4	102664	Watchdog	; partial phase stack=euf:lazy-arith-overbound(3299ms)>euf:uf-arith-lazy(3299ms)>euf:fc-loop(3299ms)>euf:fc-pair-scan(2225ms) depth=4 in=euf:fc-pair-scan in_ms=2225 deepest=euf:uf-arith-eager>euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-check-auto>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:113,dpll-lia:abstract:24911,dpll-lia:assert-all:170,dpll-lia:finish-sat:80,dpll-lia:initial-lemmas:169,dpll-lia:justified-support:110,dpll-lia:new:232,dpll-lia:prop-assert:24910,dpll-lia:prop-solve:110,dpll-lia:solve:84,dpll-lia:theory-conflicts:202,dpll-lia:unspecified-scan:232,euf:fc-abstract:35,euf:fc-candidates:42,euf:fc-lemma-build:31,euf:fc-loop:35,euf:fc-pair-scan:43,euf:fc-preseed:35,euf:fc-replay:11,euf:fc-round-solve:66,euf:lazy-arith-overbound:53,euf:offline:30,euf:round-arith-dpll:62,euf:round-check-auto:62,euf:round-incremental-arith:62,euf:uf-arith-eager:29,euf:uf-arith-lazy:35,lia:simplex-capped:395,simplex:run:23517 
UFNIA/lahiri-cav09-storm-queries/mqueue_example_2_2_2_4.smt2	unknown	0	25148	NONE	partial	euf:offline	20030	6	335136	Watchdog	; partial phase stack=euf:lazy-arith-overbound(20586ms)>euf:uf-arith-lazy(20570ms)>euf:fc-loop(20570ms)>euf:fc-round-solve(20520ms)>euf:round-check-auto(20503ms)>euf:offline(20030ms) depth=6 in=euf:offline in_ms=20030 deepest=euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:4,dpll-lia:abstract:8,dpll-lia:assert-all:8,dpll-lia:new:8,dpll-lia:unspecified-scan:8,euf:fc-abstract:3,euf:fc-loop:3,euf:fc-preseed:3,euf:fc-round-solve:3,euf:lazy-arith-overbound:3,euf:offline:1,euf:round-arith-dpll:3,euf:round-check-auto:3,euf:round-incremental-arith:3,euf:uf-arith-lazy:3,lia:simplex-capped:4 
UFNIA/lahiri-cav09-storm-queries/mqueue_example_cegar_2_3_10.smt2	unknown	0	25153	NONE	partial	euf:offline	19787	6	364052	Watchdog	; partial phase stack=euf:lazy-arith-overbound(20381ms)>euf:uf-arith-lazy(20364ms)>euf:fc-loop(20364ms)>euf:fc-round-solve(20302ms)>euf:round-check-auto(20282ms)>euf:offline(19787ms) depth=6 in=euf:offline in_ms=19787 deepest=euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:4,dpll-lia:abstract:8,dpll-lia:assert-all:8,dpll-lia:new:8,dpll-lia:unspecified-scan:8,euf:fc-abstract:3,euf:fc-loop:3,euf:fc-preseed:3,euf:fc-round-solve:3,euf:lazy-arith-overbound:3,euf:offline:1,euf:round-arith-dpll:3,euf:round-check-auto:3,euf:round-incremental-arith:3,euf:uf-arith-lazy:3,lia:simplex-capped:4 
UFNIA/sledgehammer/Hoare/z3.850818.smt2	unknown	0	25153	NONE	partial	none	na	0	328296	Watchdog	; partial phase stack=none depth=0 in=none in_ms=na deepest=euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:277,dpll-lia:abstract:150,dpll-lia:assert-all:136,dpll-lia:finish-sat:1,dpll-lia:initial-lemmas:10,dpll-lia:justified-support:11,dpll-lia:new:136,dpll-lia:prop-assert:24,dpll-lia:prop-solve:13,dpll-lia:solve:5,dpll-lia:theory-conflicts:18,dpll-lia:unspecified-scan:136,dpll-t:abstract:6,euf:fc-abstract:27,euf:fc-candidates:9,euf:fc-lemma-build:6,euf:fc-loop:27,euf:fc-pair-scan:9,euf:fc-preseed:27,euf:fc-replay:3,euf:fc-round-solve:33,euf:lazy-arith-overbound:43,euf:offline:80,euf:round-arith-dpll:26,euf:round-check-auto:26,euf:round-incremental-arith:26,euf:uf-arith-eager:23,euf:uf-arith-lazy:20,lia:simplex-capped:159,nra:check:7,simplex:run:26422 
UFNIA/spec_sharp/test14-DafnyAst.ssc.30.Microsoft.Dafny.ClassType.Boogie.ContractConsistencyCheck.ToString.smt2	unknown	0	25147	NONE	partial	none	na	0	538620	Watchdog	; partial phase stack=none depth=0 in=none in_ms=na deepest=euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:5,dpll-lia:assert-all:2,dpll-lia:finish-sat:1,dpll-lia:initial-lemmas:1,dpll-lia:justified-support:1,dpll-lia:new:2,dpll-lia:prop-assert:4,dpll-lia:prop-solve:1,dpll-lia:solve:2,dpll-lia:theory-conflicts:4,dpll-lia:unspecified-scan:2,euf:fc-abstract:2,euf:fc-loop:2,euf:fc-preseed:2,euf:fc-round-solve:2,euf:lazy-arith-overbound:2,euf:offline:1,euf:round-incremental-arith:2,euf:uf-arith-lazy:2,lia:simplex-capped:3 
UFNIA/spec_sharp/test14-DafnyAst.ssc.91.Microsoft.Dafny.VarDecl..ctor_Microsoft.Dafny.Token_notnull_System.String_notnull_Microsoft.Dafny.Ty.smt2	unknown	0	25150	NONE	partial	none	na	0	539660	Watchdog	; partial phase stack=none depth=0 in=none in_ms=na deepest=euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:5,dpll-lia:assert-all:2,dpll-lia:finish-sat:1,dpll-lia:initial-lemmas:1,dpll-lia:justified-support:1,dpll-lia:new:2,dpll-lia:prop-assert:4,dpll-lia:prop-solve:1,dpll-lia:solve:2,dpll-lia:theory-conflicts:4,dpll-lia:unspecified-scan:2,euf:fc-abstract:2,euf:fc-loop:2,euf:fc-preseed:2,euf:fc-round-solve:2,euf:lazy-arith-overbound:2,euf:offline:1,euf:round-incremental-arith:2,euf:uf-arith-lazy:2,lia:simplex-capped:3 
