file	status	base	arm	vacuous	shared
QF_UF/2018-Goel-hwbench/QF_UF_leader_filters.2.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_anderson.5.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_sdlx_ab_reg_max.smt2	sat	sat	sat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_leader_filters.1.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_szymanski.1.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_szymanski.2.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_fischer.4.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_fischer.5.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_driving_phils.1.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_lamport.5.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_lamport.6.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_peterson.7.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_gear.1.prop1_ab_reg_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_production_cell.5.prop1_ab_reg_max.smt2	sat	sat	sat	sat	sat
QF_UF/2018-Goel-hwbench/QF_UF_diagonal_v_ab_cti_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_bakery.8.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_gear.2.prop1_ab_reg_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.1.prop1_ab_reg_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.2.prop1_ab_reg_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_anderson.6.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.3.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_mcs.4.prop1_ab_reg_max.smt2	sat	sat	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_driving_phils.2.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_at.3.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_fischer.6.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_fischer.7.prop1_ab_reg_max.smt2	sat	sat	unknown	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_sw_loop_v_ab_cti_max.smt2	sat	sat	unknown	sat	unknown
UFLIA/tokeneer/usertoken/clearidcert-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/auditlog/nextlistindex-4.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/addfailedbio-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/addsuccessfulbio-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/displaystats-2.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/auditlog/theauditalarm-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/displaystats-3.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_lup.1.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_collision.1.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unknown
UFLIA/tokeneer/stats/displaystats-4.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/thealarmthresholdentries-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/VarMapFixPoint_SimpleWhile5.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_h_b05_ab_reg_max.smt2	unsat	unsat	unsat	sat	unknown
UFLIA/tokeneer/bio/poll-2.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/enclave/init-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Lock_LockingExample.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/thealarmthresholdentries-2.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_protocols.3.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unknown
UFLIA/tokeneer/usertoken/poll-2.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/door/init-1.smt2	unsat	unsat	unsat	unsat	unsat
