file	status	base	arm	vacuous	shared
QF_UF/SEQ/SEQ032_size2.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/SEQ/SEQ015_size2.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_h_traffic_light_example_ab_reg_max.smt2	unsat	unsat	unsat	sat	unknown
QF_UF/2018-Goel-hwbench/QF_UF_sw_loop_v_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/SEQ/SEQ050_size2.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_sw_sym_ex_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_sw_state_machine_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/SEQ/SEQ032_size3.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/SEQ/SEQ042_size2.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/spec_sharp/textbook-Find.bpl.2.Main.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/AssumeEnsures_Foo-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/AssumeEnsures_BarGood-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/AssumeEnsures_Proc-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_loyd.1.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unknown
UFLIA/boogie/FormulaTerm2_Q-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_h_b02_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Old_OutParam0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Old_Q-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/FormulaTerm2_P-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/FormulaTerm_plus2-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/B_Q0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Axioms_P-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/B_Q1-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/FormulaTerm_plus-noinfer_2.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Ensures_P-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/B_P0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Ensures_Q-noinfer_6.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Passification_good1-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Ensures_Q-noinfer_5.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Ensures_Q-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/boogie/Ensures_Q-noinfer_7.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/B_P1-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/tokeneer/enclave/presentadminhasdeparted-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Arrays_Q2-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/boogie/Arrays_Q3-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
QF_UF/2018-Goel-hwbench/QF_UF_blocks.2.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Arrays_P0-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/boogie/equiv0_M-infer_e-vc_local.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/SEQ/SEQ015_size3.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_loyd.2.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unknown
UFLIA/spec_sharp/textbook-Find.bpl.1.Find.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/init-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Arrays_Q0-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/boogie/Quantifiers_U0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/equiv1_M-infer_e-vc_local.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_V1-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_Q-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/boogie/Quantifiers_S-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_V2-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_W-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_X0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_U1-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_P-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_V0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_R-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_T-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Quantifiers_X1-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Passification_Loop0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/thesystemmaxfar-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Passification_good0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/equiv7_M-infer_e-vc_local.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_schedule_world.1.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/latch/init-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/certificatestore/serialnumber-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Old_Swap-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Passification_Array0-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/boogie/equiv6_M2-infer_e-vc_local.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/door/thecurrentdoor-1.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_loyd.3.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unknown
UFLIA/boogie/Passification_Array2-noinfer.smt2	unsat	unknown	unknown	unknown	unknown
UFLIA/boogie/Old_OldInCode0-noinfer.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_schedule_world.2.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/thefingerwaitduration-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/thealarmsilentduration-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/thelatchunlockduration-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/Bound_P-infer_p.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/auditlog/nextlistindex-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/auditlog/nextlistindex-2.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/thetokenremovalduration-1.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/SEQ/SEQ035_size4.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/latch/settimeout-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/displaystats-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/auditlog/nextlistindex-3.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/addfailedentry-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/stats/addsuccessfulentry-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/door/thedooralarm-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/display/changedoorunlockedmsg-1.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/PEQ/PEQ018_size4.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_bridge.1.prop1_ab_reg_max.smt2	unsat	unsat	unsat	sat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_collision.2.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unknown
UFLIA/tokeneer/bio/poll-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/theenclaveclearance-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/usertoken/poll-1.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/equiv4_M-infer_e-vc_local.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/enclave/init-2.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/SEQ/SEQ050_size3.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/boogie/equivpoly0_M-infer_ep-vc_local.smt2	unsat	unsat	unsat	unsat	unsat
UFLIA/tokeneer/configdata/validatefile/readfar-1.smt2	unsat	unsat	unsat	unsat	unsat
QF_UF/2018-Goel-hwbench/QF_UF_protocols.4.prop1_ab_reg_max.smt2	unsat	unsat	unsat	unsat	unknown
UFLIA/tokeneer/door/failure-1.smt2	unsat	unsat	unsat	unsat	unsat
