file                                                                     lra_entries   cube_dec cube_collect_ms
Collatz.bpl_Iteration1_Loop_6-phaseTemplate.smt2                                  0          0            0
Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2                               1         30          747
OpposedDisjuncts.bpl_Iteration1_Lasso_2-pieceTemplate.smt2                        1         12          272
TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2                      0          0            0
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate.smt2                        1          0            0
simple-scaled250.bpl_Iteration1_Lasso_6-phaseTemplate.smt2                        1          0            0
yPositive-SIscaled75.bpl_Iteration1_Loop_7-phaseTemplate.smt2                     0          0            0
p5-driverlogNumeric_s9.smt2                                                       0          0            0
clocksynchro_2clocks.main_invar.base.smt2                                         1        127           22
clocksynchro_6clocks.main_invar.base.smt2                                         1        475          214
bouncing-ball-inv-node1886.smt2                                                   0          0            0
water_tank-node23593.smt2                                                         0          0            0
ecoliMILPglycerolYices3-50000.smt2                                                1         28         2379
CMOS-opamp-chunk-0016.smt2                                                        0          0            0
Chua-1-IL-L-chunk-0142.smt2                                                       0          0            0
Chua-1-VC1-L-chunk-0028.smt2                                                      0          0            0
Chua-1-VC2-L-chunk-0008.smt2                                                      0          0            0
Chua-1-VC2-U-chunk-0128.smt2                                                      0          0            0
Chua-2-VC2-L-chunk-0048.smt2                                                      0          0            0
atan-problem-2-weak2-chunk-0014.smt2                                              0          0            0
atan-problem-2-weak2-chunk-0054.smt2                                              0          0            0
atan-problem-2-weak2-chunk-0127.smt2                                              0          0            0
bottom-plate-mixer-chunk-0019.smt2                                                0          0            0
cbrt-problem-3-chunk-0040.smt2                                                    0          0            0
cbrt-problem-3-chunk-0074.smt2                                                    0          0            0
cbrt-problem-3-weak-chunk-0065.smt2                                               0          0            0
polypaver-bench-exp-3d-chunk-0019.smt2                                            0          0            0
polypaver-bench-exp-3d-chunk-0041.smt2                                            0          0            0
polypaver-bench-exp-3d-chunk-0060.smt2                                            0          0            0
polypaver-bench-exp-3d-chunk-0144.smt2                                            0          0            0
sin-problem-7-chunk-0004.smt2                                                     0          0            0
sin-problem-7-chunk-0037.smt2                                                     0          0            0
sin-problem-7-weak-chunk-0007.smt2                                                0          0            0
sin-problem-7-weak-chunk-0026.smt2                                                0          0            0
sin-problem-7-weak-chunk-0046.smt2                                                0          0            0
sin-problem-7-weak-chunk-0065.smt2                                                0          0            0
sin-problem-7-weak2-chunk-0006.smt2                                               0          0            0
sin-problem-7-weak2-chunk-0028.smt2                                               0          0            0
sin-problem-7-weak2-chunk-0048.smt2                                               0          0            0
sin-problem-8-weak-chunk-0009.smt2                                                0          0            0
