file	predicted	our_verdict	wording	mbqi_exit	z3_default	z3_emat_only	z3_mbqi_only	z3_neither	z3_attribution	z3_qi_inst	z3_dt_ctor_ax	z3_dt_acc_ax
O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	71	4	4
O512-022__prefix_sum__prefixsum.ads_18_32_unreachable_branch___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	16	9	9
O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	33	34	54
OA20-032__refinement__patris.adb_121_63_index_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	21	1	1
P115-039__spark16demo__concurrency_example.adb_14_13_dead_code___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
P412-021__conc_discr_dyn__p.adb_6_19_range_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2	W1	unknown	W1	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	103	332	359
P720-007__replay__harness.adb_13_19_assert___00.smt2	W3	unknown	INEXACT	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
PA14-032__dic__bounded_strings.adb_8_19_length_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	36	12	16
Q124-055__no_inlining__array_arith.ads_18_14_postcondition___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
Q328-034__mut_discr__screen_output.adb_70_10_dead_code___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	15	0	0
Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	29	18	20
Q607-015__quantifiers__search_ter_p.ads_33_25_inconsistent_pre___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
Q912-021__codepeer_by_example__assign_arr_unk.adb_4_18_overflow_check___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2	W3	unknown	INEXACT	nested-binder-in-matrix	unsat	unsat	timeout	timeout	EMATCHING	26	18	18
QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	77	3	6
R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	65	4	5
R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	0	4	7
R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	742	9	16
R509-011__higher_order_proof__why_880db6_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	85	7	12
R509-011__higher_order_proof__why_aa8afb_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unknown	unknown	EMATCHING	34	1	4
