file	predicted	our_verdict	wording	mbqi_exit	z3_default	z3_emat_only	z3_mbqi_only	z3_neither	z3_attribution	z3_qi_inst	z3_dt_ctor_ax	z3_dt_acc_ax
AUFDTLIRA_20200306-Kanig_spark2014bench_K223-023__search__search.ads_8_9_postcondition___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2.core.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	4	1	3
AUFDTLIRA_20200306-Kanig_spark2014bench_M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	3	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N120-055__perm__sort.adb_48_22_precondition___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	2	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_N530-032__swap__sorters.adb_60_25_assert___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	14	0	1
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2.core.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	timeout	timeout	EMATCHING	107	4	6
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2.core.smt2	NONE	unsat	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	12	1	8
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2.core.smt2	NONE	unsat	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	0	5	5
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	timeout	timeout	EMATCHING	12	0	3
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	30	13	16
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	99	18	21
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	timeout	timeout	EMATCHING	23	12	15
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	59	16	19
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	timeout	timeout	EMATCHING	18	2	6
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2.core.smt2	NONE	unknown	NONE	quantifier-below-top-level	unsat	unsat	unsat	unsat	GROUND	8	4	4
