file	verdict	bound_by	last	attempts	total_ms	giveup_kind	mbqi_exit	mbqi_census	giveup_raw
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	22	2523	Incomplete	quantifier-below-top-level,quantifier-below-top-level	assertions=1 qf=0 prenex1=0 prenexN=0 nested=0 other=1 max_prenex_width=0 prenex1_representable=0 prenex1_uninterpreted=0	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #4923 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(23), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_adacore_u__communication.adb_41_32_overflow_check___00.smt2.core.smt2	unknown	q:skolem-qf	fd:bounded-completeness-unsat	179	11665	Incomplete	quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level	assertions=1 qf=0 prenex1=0 prenexN=0 nested=0 other=1 max_prenex_width=0 prenex1_representable=0 prenex1_uninterpreted=0	non-bit-vector array sorts are represented in IR, but this shape is outside the current Bool/Int lazy array route
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	22	13039	ResourceLimit	quantifier-below-top-level,quantifier-below-top-level	assertions=1 qf=0 prenex1=0 prenexN=0 nested=0 other=1 max_prenex_width=0 prenex1_representable=0 prenex1_uninterpreted=0	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
adacore_u__communication.adb_41_32_overflow_check___00.smt2	unknown	q:ground-subset	fd:bounded-completeness-unsat	715	23725	ResourceLimit	nested-binder-in-matrix,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,nested-binder-in-matrix	assertions=37 qf=16 prenex1=16 prenexN=3 nested=1 other=1 max_prenex_width=4 prenex1_representable=4 prenex1_uninterpreted=12	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	unknown	NONE	NONE	0	0	Watchdog	nested-binder-in-matrix,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level	assertions=16 qf=5 prenex1=5 prenexN=3 nested=2 other=1 max_prenex_width=4 prenex1_representable=1 prenex1_uninterpreted=4	watchdog fired before the worker thread returned
KB25-003__slices__pack.adb_65_22_assert___00.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	22	11408	Incomplete	nested-binder-in-matrix,nested-binder-in-matrix	assertions=10 qf=0 prenex1=5 prenexN=2 nested=2 other=1 max_prenex_width=4 prenex1_representable=1 prenex1_uninterpreted=4	e-matching instantiation stopped after 12 rounds: the remaining budget could not fit another round with growth headroom
N120-055__perm__sort.adb_48_22_precondition___00.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	563	24053	ResourceLimit	nested-binder-in-matrix,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level	assertions=21 qf=4 prenex1=10 prenexN=5 nested=1 other=1 max_prenex_width=4 prenex1_representable=2 prenex1_uninterpreted=7	quantified solve time budget exhausted after MBQI and the finite-model finder
N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	unknown	q:skolem-qf	fd:bounded-completeness-unsat	1303	24425	ResourceLimit	nested-binder-in-matrix,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level	assertions=28 qf=6 prenex1=12 prenexN=5 nested=4 other=1 max_prenex_width=4 prenex1_representable=2 prenex1_uninterpreted=8	quantified solve time budget exhausted after MBQI and the finite-model finder
N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	unknown	NONE	NONE	0	0	Watchdog	nested-binder-in-matrix,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level	assertions=29 qf=5 prenex1=13 prenexN=3 nested=7 other=1 max_prenex_width=4 prenex1_representable=2 prenex1_uninterpreted=9	watchdog fired before the worker thread returned
N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	unknown	NONE	NONE	0	0	Watchdog	nested-binder-in-matrix,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level,quantifier-below-top-level	assertions=29 qf=5 prenex1=14 prenexN=4 nested=5 other=1 max_prenex_width=4 prenex1_representable=2 prenex1_uninterpreted=10	watchdog fired before the worker thread returned
