file	default	emat_only	mbqi_only	neither	attribution	qi_inst	max_gen	num_checks	dt_ctor_ax	dt_acc_ax	conflicts	z3_total_s
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	32	2	1	0	0	5	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_K223-023__search__search.ads_8_9_postcondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	0	0	0	0	0	0	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N530-032__swap__sorters.adb_60_25_assert___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	14	1	1	0	1	7	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2.core.smt2	unsat	unsat	timeout	timeout	EMATCHING	12	1	1	0	3	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	59	5	1	16	19	1	0.02
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	3	1	1	34	54	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	3	1	1	0	0	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	12	6	1	3	4	4	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_aa8afb_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	unsat	unknown	unknown	EMATCHING	14	3	1	1	4	1	0.01
AUFDTLIRA_20200306-Kanig_spark2014bench_R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2.core.smt2	unsat	unsat	unsat	unsat	GROUND	0	0	1	5	5	3	0.01
