file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_paper_v3_ab_cti_max.smt2	shipped	sat	0	111	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_paper_v3_ab_cti_max.smt2	preadr	sat	0	111	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pipeline_ab_reg_max.smt2	shipped	unsat	0	110	5	ufbv-online-cdclt	ufbv-online-cdclt	1	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pipeline_ab_reg_max.smt2	preadr	unsat	0	110	5	ufbv-online-cdclt	ufbv-online-cdclt	1	2	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_protocols.5.prop1_ab_reg_max.smt2	shipped	unsat	0	309	5	ufbv-online-cdclt	dl-online	211	222	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_protocols.5.prop1_ab_reg_max.smt2	preadr	unsat	0	311	5	ufbv-online-cdclt	dl-online	222	233	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_rushhour.2.prop1_ab_reg_max.smt2	shipped	unknown	0	911	14	none	dl-online	739	801	give-up kind=NodeBudget detail=online UFBV input has 21367 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_rushhour.2.prop1_ab_reg_max.smt2	preadr	unknown	0	1010	14	none	dl-online	897	961	give-up kind=NodeBudget detail=online UFBV input has 21367 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_sym_ex_ab_reg_max.smt2	shipped	unsat	0	111	4	qf-bv	dl-online	7	8	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sw_sym_ex_ab_reg_max.smt2	preadr	unsat	0	110	4	qf-bv	dl-online	7	8	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_telephony.2.prop1_ab_cti_max.smt2	shipped	sat	0	19224	9	ufbv-online-cdclt	ufbv-online-cdclt	13950	19168	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_telephony.2.prop1_ab_cti_max.smt2	preadr	unknown	0	811	14	none	dl-online	690	720	give-up kind=ResourceLimit detail=online UFBV has 1978 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_Huffman_enc_ab_reg_max.smt2	shipped	unsat	0	111	5	ufbv-online-cdclt	dl-online	2	5	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_Huffman_enc_ab_reg_max.smt2	preadr	unsat	0	111	5	ufbv-online-cdclt	dl-online	2	4	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_at.3.prop1_ab_reg_max.smt2	shipped	unsat	0	2712	5	ufbv-online-cdclt	ufbv-online-cdclt	1962	2631	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_at.3.prop1_ab_reg_max.smt2	preadr	unknown	0	711	14	none	dl-online	644	669	give-up kind=ResourceLimit detail=online UFBV has 1398 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_bridge.2.prop1_ab_reg_max.smt2	shipped	unsat	0	2212	5	ufbv-online-cdclt	ufbv-online-cdclt	1446	2154	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_bridge.2.prop1_ab_reg_max.smt2	preadr	unknown	0	710	14	none	dl-online	654	678	give-up kind=ResourceLimit detail=online UFBV has 1292 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_cache_coherence_three_ab_reg_max.smt2	shipped	unsat	0	211	4	qf-bv	dl-online	98	103	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_cache_coherence_three_ab_reg_max.smt2	preadr	unsat	0	210	4	qf-bv	dl-online	96	100	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_counter_ab_cti_max.smt2	shipped	unsat	0	110	5	ufbv-online-cdclt	dl-online	1	2	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_counter_ab_cti_max.smt2	preadr	unsat	0	110	5	ufbv-online-cdclt	dl-online	1	2	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_elevator.5.prop1_ab_reg_max.smt2	shipped	unsat	0	2611	5	ufbv-online-cdclt	ufbv-online-cdclt	1919	2553	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_elevator.5.prop1_ab_reg_max.smt2	preadr	unknown	0	711	14	none	dl-online	621	647	give-up kind=ResourceLimit detail=online UFBV has 1507 semantic atoms, exceeding the cap of 1024	no
