file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_AR_ab_cti_max.smt2	shipped	sat	0	310	5	ufbv-online-cdclt	ufbv-online-cdclt	151	191	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_AR_ab_cti_max.smt2	preadr	sat	0	211	5	ufbv-online-cdclt	ufbv-online-cdclt	140	160	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	shipped	sat	0	10122	9	ufbv-online-cdclt	ufbv-online-cdclt	8085	10011	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	preadr	unknown	0	2113	18	ufbv-online-cdclt	dl-online	1038	2043	give-up kind=ResourceLimit detail=online UFBV has 1499 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bridge.1.prop1_ab_reg_max.smt2	shipped	unsat	0	1211	5	ufbv-online-cdclt	dl-online	835	1109	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bridge.1.prop1_ab_reg_max.smt2	preadr	unsat	0	1413	5	ufbv-online-cdclt	dl-online	1002	1314	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cache_coherence_three_ab_cti_max.smt2	shipped	sat	0	1012	8	ufbv-online-cdclt	ufbv-online-cdclt	835	991	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cache_coherence_three_ab_cti_max.smt2	preadr	sat	0	1011	8	ufbv-online-cdclt	ufbv-online-cdclt	830	986	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.6.prop1_ab_reg_max.smt2	shipped	unsat	0	14225	5	ufbv-online-cdclt	ufbv-online-cdclt	13129	14144	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.6.prop1_ab_reg_max.smt2	preadr	unknown	0	1112	14	none	dl-online	995	1031	give-up kind=ResourceLimit detail=online UFBV has 1466 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_elevator_planning.1.prop1_ab_reg_max.smt2	shipped	unsat	0	311	5	ufbv-online-cdclt	dl-online	213	225	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_elevator_planning.1.prop1_ab_reg_max.smt2	preadr	unsat	0	310	5	ufbv-online-cdclt	dl-online	209	221	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_extinction.4.prop1_ab_reg_max.smt2	shipped	unknown	0	24137	14	none	ufbv-online-cdclt	22880	24064	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] online UFBV canonical CdclT search exhausted its budget	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_extinction.4.prop1_ab_reg_max.smt2	preadr	unknown	0	1412	14	none	dl-online	1305	1377	give-up kind=ResourceLimit detail=online UFBV has 3425 semantic atoms, exceeding the cap of 1024	no
