file	verdict	wall_ms	euf_online_outcome	euf_online_ms	decided_by	bound_by	atoms_line
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/20190906-CLEARSY/0001/00435.smt2	unsat	108	decided	3	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/20190906-CLEARSY/0023/00913.smt2	unsat	108	decided	0	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/NEQ/NEQ033_size6.smt2	unsolved	24624	declined	23838			euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/PEQ/PEQ013_size5.smt2	unsat	11415	decided	11338	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/dead_dnd015.smt2	unsat	2609	decided	2489	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/gensys_brn034.smt2	sat	309	decided	170	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/gensys_brn071.smt2	sat	109	decided	54	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/gensys_icl002.smt2	unsat	108	decided	52	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/gensys_icl039.smt2	unsat	208	decided	111	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/gensys_icl076.smt2	unsat	309	decided	172	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/iso_brn004.smt2	sat	109	decided	38	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/iso_brn041.smt2	sat	108	decided	41	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/iso_brn078.smt2	unsat	408	decided	272	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/iso_icl009.smt2	unsat	209	decided	127	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/iso_icl046.smt2	unsat	309	decided	207	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/iso_icl083.smt2	unsat	309	decided	222	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/dead_dnd011.smt2	unsat	4011	decided	3942	euf-online		euf-online-atoms policy=sliced entered=1 abstracted_queries=0 abstracted_atoms=0 refused=0
