subset	verdict	bound_by	last	attempts	total_ms	giveup_kind	giveup_raw
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	1156	6104	Incomplete	mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022); and no rung below the datatype route decided it either: term #6 uses unsupported pure-Rust BV operator DtConstruct { constructor: ConstructorId(11), datatype: DatatypeId(11) }
AUFDTLIRA_20200306-Kanig_spark2014bench_OA20-032__refinement__patris.adb_121_63_index_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	130	20383	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
AUFDTLIRA_20200306-Kanig_spark2014bench_P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	303	Incomplete	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #1832 has sort (Datatype 13) that the pure-Rust BV backend cannot bit-blast
AUFDTLIRA_20200306-Kanig_spark2014bench_PA14-032__dic__bounded_strings.adb_8_19_length_check___00.smt2.core.smt2	unknown	uf-arith-online	fd:bounded-completeness-unsat	26	361	Incomplete	congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022); and no rung below the datatype route decided it either: non-bit-vector array sorts are represented in IR, but this shape is outside the current Bool/Int lazy array route
AUFDTLIRA_20200306-Kanig_spark2014bench_Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	603	Incomplete	e-matching: no universal is asserted; the nested quantifiers present are registered, not instantiated
AUFDTLIRA_20200306-Kanig_spark2014bench_Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2.core.smt2	unknown	fd:parse	q:uf-fmf-probe	6	2	Error	backend failure: operands must share a sort: Int vs (_ BitVec 32)
AUFDTLIRA_20200306-Kanig_spark2014bench_Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	80	Incomplete	mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022); and no rung below the datatype route decided it either: term #52 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(17), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	47	24012	ResourceLimit	quantified solve time budget exhausted after e-matching
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	76	24468	ResourceLimit	quantified solve time budget exhausted after e-matching
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	44	24021	ResourceLimit	quantified solve time budget exhausted after e-matching
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	21	1820	Incomplete	e-matching instantiation reached fixpoint without refuting after 39 rounds (no further instance to admit; more rounds cannot help)
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_880db6_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	57	24428	ResourceLimit	quantified solve time budget exhausted after e-matching
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_aa8afb_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:ground-subset	fd:bounded-completeness-unsat	229	22486	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_b5aa01_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	12094	ResourceLimit	combined theories: eager Ackermann elimination would emit 14561 congruence constraints, exceeding the deterministic admission bound of 64 (the O(k²) expansion and its downstream solve run unbounded; this needs a lazy/CEGAR route)
