subset	verdict	bound_by	last	attempts	total_ms	giveup_kind	giveup_raw
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2.core.smt2	unknown	nia-linearize	fd:bounded-completeness-unsat	21	10773	EncodingBudget	estimated 126546621 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24044	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	20	24092	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	19	24199	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24030	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24073	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	19	24158	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	20	24077	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__agafp.t2_fixed__terminationS_0_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24145	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__db2.t2_fixed__terminationS_29_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24029	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__ex19.t2__p22319_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	20	24029	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__ex36.t2__p29986_safety_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24069	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__firewire.t2__terminationS_13_0.smt2.core.smt2	unknown	nia-linearize	fd:bounded-completeness-unsat	21	10838	EncodingBudget	estimated 160056558 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
QF_NIA_20170427-VeryMax_ITS_From_T2__fun1b.t2__terminationS_11_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24036	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24056	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24372	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__hqr.t2_fixed__terminationS_36_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24017	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	20	24048	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	19	24120	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24032	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__s1.t2__p18409_safety_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24048	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24020	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__small17.t2__p23845_edge_closing_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	20	24024	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_T2__streamserver.bug.t2__terminationS_1_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24021	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20210219-Dartagnan_ReachSafety-Loops_geo1-u_valuebound2-O0.smt2.core.smt2	unknown	int-real-relax	fd:bounded-completeness-unsat	22	4577	Incomplete	integer constant 4294967295 does not fit the bounded width 32; widen the bound
QF_NIA_20210219-Dartagnan_ReachSafety-Loops_ps2-ll_unwindbound50-O0.smt2.core.smt2	unknown	int-real-relax	fd:bounded-completeness-unsat	44	13776	Incomplete	no model within the bounded integer width 32; widen the bound
QF_NIA_20230328-sqrtmodinv-hoenicke_sqrtStep6a.smt2.core.smt2	unknown	nia-linearize	fd:bounded-completeness-unsat	21	7	Incomplete	integer constant 462408296549760 does not fit the bounded width 32; widen the bound
QF_NIA_AProVE_aproveSMT4687047739446499948.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24038	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_AProVE_aproveSMT5048239408100334127.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24016	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_AProVE_aproveSMT6461796824751951221.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24047	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_AProVE_aproveSMT7795667227375240089.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	21	24010	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_UltimateLassoRanker_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	19	24034	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
UFDTLIRA_20200306-Kanig_spark2014bench_K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	21	138	Incomplete	mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable, a constructor application, nor another uninterpreted function's result (ADR-0022); and no rung below the datatype route decided it either: term #29 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(8), index: 0 }
UFDTLIRA_20200306-Kanig_spark2014bench_K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	1330	Incomplete	mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022); and no rung below the datatype route decided it either: term #1555 uses unsupported pure-Rust BV operator DtConstruct { constructor: ConstructorId(13), datatype: DatatypeId(13) }
UFDTLIRA_20200306-Kanig_spark2014bench_L719-025__lists_equal__p.adb_25_7_precondition___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	328	444	Incomplete	mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022); and no rung below the datatype route decided it either: term #181 uses unsupported pure-Rust BV operator DtConstruct { constructor: ConstructorId(12), datatype: DatatypeId(12) }
UFDTLIRA_20200306-Kanig_spark2014bench_O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	48	Incomplete	mbqi declined an unsupported fragment: term #125 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast; and no rung below the datatype route decided it either: term #11 uses unsupported pure-Rust BV operator DtConstruct { constructor: ConstructorId(10), datatype: DatatypeId(10) }
UFDTLIRA_20200306-Kanig_spark2014bench_PB21-057__formal_containers__a-cfdlli.ads_1029_43_instances.ads_13_4_overflow_check___00.smt2.core.smt2	unknown	q:mbqi-quick	fd:bounded-completeness-unsat	110	87	Incomplete	mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022); and no rung below the datatype route decided it either: term #11 uses unsupported pure-Rust BV operator DtConstruct { constructor: ConstructorId(10), datatype: DatatypeId(10) }
UFDTLIRA_20200306-Kanig_spark2014bench_Q327-014__no_pre__dispatch.adb_24_24_overflow_check___00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	80	56	Incomplete	no model within the bounded integer width 32; widen the bound
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	unsat	q:mbqi	q:egraph	35	14681	NONE	NONE
UFDTLIRA_20200306-Kanig_spark2014bench_S415-012__early_exit__early_exits.adb_10_64_null_pointer_dereference___00.smt2.core.smt2	unknown	q:mbqi	q:nat-induction	196	8723	Error	backend failure: operands must share a sort: (_ BitVec 4) vs Int
UFDTLIRA_20200306-Kanig_spark2014bench_S415-012__iterate_list__list_ex_pledge.ads_19_35_precondition___00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	40	123	Incomplete	mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable, a constructor application, nor another uninterpreted function's result (ADR-0022); and no rung below the datatype route decided it either: term #132 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(16), index: 1 }
UFDTLIRA_20200306-Kanig_spark2014bench_S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	889	24074	ResourceLimit	quantified solve time budget exhausted after e-matching
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	3	NONE	NONE
UFDTLIRA_20200306-Kanig_spark2014bench_SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	164	1231	Incomplete	mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022); and no rung below the datatype route decided it either: term #7 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(8), index: 0 }
UFDTLIRA_20200306-Kanig_spark2014bench_SC03-021__binary_search_trees__why_f0e6b6_binary_search-T-defqtvc__00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	21	69	Incomplete	mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable, a constructor application, nor another uninterpreted function's result (ADR-0022); and no rung below the datatype route decided it either: term #54 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(8), index: 0 }
UFDTLIRA_20200306-Kanig_spark2014bench_SC03-021__linear_search__linear_search.adb_48_13_loop_invariant_init___00.smt2.core.smt2	unknown	q:bool-skeleton	q:uf-fmf-probe	6	22	Error	backend failure: operands must share a sort: (_ BitVec 32) vs Int
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24853	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	94	NONE	NONE
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24078	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	q:forall-exists-witness	fd:bounded-completeness-unsat	18	24014	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	18964	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	14090	Incomplete	e-matching instantiation reached fixpoint without refuting after 265 rounds (no further instance to admit; more rounds cannot help)
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	23546	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24015	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	22852	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24015	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	14	NONE	NONE
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	q:mbqi-quick	q:egraph	8	2555	NONE	NONE
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	3255	ResourceLimit	combined theories: eager Ackermann elimination would emit 398989 congruence constraints, exceeding the deterministic admission bound of 64 (the O(k²) expansion and its downstream solve run unbounded; this needs a lazy/CEGAR route)
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	155	NONE	NONE
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	14294	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	135	NONE	NONE
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	19507	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	q:bool-skeleton	q:bool-skeleton	3	43	NONE	NONE
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13923	Incomplete	e-matching instantiation stopped after 83 rounds: the remaining budget could not fit another round with growth headroom
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	181	NONE	NONE
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	14584	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	21799	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24215	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	20403	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	16266	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	22886	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	q:mbqi-quick	fd:bounded-completeness-unsat	18	24088	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unknown	q:bool-skeleton	fd:bounded-completeness-unsat	18	24559	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	19889	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	15309	Incomplete	e-matching instantiation reached fixpoint without refuting after 9 rounds (no further instance to admit; more rounds cannot help)
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unknown	q:bool-skeleton	fd:bounded-completeness-unsat	18	24461	ResourceLimit	quantified solve time budget exhausted after e-matching
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	16425	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	600	NONE	NONE
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	13682	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	19186	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	q:mbqi	q:mbqi	9	4919	NONE	NONE
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	q:bool-skeleton	fd:bounded-completeness-unsat	20	11	Incomplete	mbqi declined an unsupported fragment: term #74 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	7	12024	NONE	NONE
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	77	Incomplete	mbqi declined an unsupported fragment: term #83 has sort (Uninterpreted 6) that the pure-Rust BV backend cannot bit-blast
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	11	NONE	NONE
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	q:uf-fmf-probe	q:egraph	8	12035	NONE	NONE
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	20	1537	Incomplete	mbqi declined an unsupported fragment: term #161 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	3	NONE	NONE
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	q:bool-skeleton	q:mbqi-quick	7	4	NONE	NONE
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	39	NONE	NONE
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12792	Incomplete	mbqi declined an unsupported fragment: term #379 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24894	ResourceLimit	quantified solve time budget exhausted after e-matching
UFNIA_2019-Preiner_combined_f2_rw160.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12798	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_combined_t3_rw899.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12782	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_combined_t3_rw96.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12783	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_full_f2_rw120.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12962	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_full_t3_rw25.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12792	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_full_t3_rw493.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	12775	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFNIA_2019-Preiner_partial_f2_rw58.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	18	24144	ResourceLimit	quantified solve time budget exhausted after e-matching
