subset	verdict	rc	ms	host	core
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.rel3.smt2	unsat	0	109	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.small1.smt2	sat	0	111	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.small10.smt2	sat	0	110	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.small2.smt2	sat	0	111	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.small25.smt2	unknown	0	6214	server7	2
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.small5.smt2	sat	0	111	server7	3
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.suffix1.smt2	unknown	0	14222	server5	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.suffix10.smt2	unknown	0	709	server6	3
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.suffix2.smt2	unknown	0	7714	server7	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.suffix25.smt2	unknown	0	6214	server7	1
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.suffix5.smt2	unknown	0	1612	server7	2
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.prefix1.smt2	unknown	0	112	server7	3
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.prefix10.smt2	unknown	0	108	server5	1
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.prefix2.smt2	unknown	0	111	server6	3
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.prefix5.smt2	unknown	0	109	server7	0
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.rel0.smt2	sat	0	110	server7	1
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.rel1.smt2	sat	0	111	server7	2
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.rel2.smt2	sat	0	112	server7	3
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.rel3.smt2	sat	0	108	server5	1
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.small1.smt2	sat	0	112	server6	3
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.small10.smt2	unknown	0	1710	server7	0
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.small2.smt2	sat	0	110	server7	1
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.small5.smt2	unknown	0	111	server7	2
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.suffix1.smt2	unsat	0	110	server7	3
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.suffix10.smt2	unknown	0	25027	server5	1
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.suffix2.smt2	unsat	0	111	server6	3
AUFLIRA_nasa_fol_simplify_arithmetics_gauss_init_0191.fof.smt2.suffix5.smt2	unknown	0	24827	server7	0
AUFLIRA_why_smtlibc3263d.smt2.prefix1.smt2	sat	0	110	server7	1
AUFLIRA_why_smtlibc3263d.smt2.prefix10.smt2	unknown	0	5213	server7	2
AUFLIRA_why_smtlibc3263d.smt2.prefix2.smt2	sat	0	110	server7	3
AUFLIRA_why_smtlibc3263d.smt2.prefix25.smt2	unknown	0	24128	server5	1
AUFLIRA_why_smtlibc3263d.smt2.prefix5.smt2	unknown	0	112	server6	3
AUFLIRA_why_smtlibc3263d.smt2.prefix50.smt2	unknown	0	24128	server7	0
AUFLIRA_why_smtlibc3263d.smt2.rel0.smt2	unsat	0	109	server7	1
AUFLIRA_why_smtlibc3263d.smt2.rel1.smt2	unsat	0	110	server7	2
AUFLIRA_why_smtlibc3263d.smt2.rel2.smt2	unsat	0	111	server7	3
AUFLIRA_why_smtlibc3263d.smt2.rel3.smt2	unsat	0	108	server5	1
AUFLIRA_why_smtlibc3263d.smt2.small1.smt2	sat	0	113	server6	3
AUFLIRA_why_smtlibc3263d.smt2.small10.smt2	unsat	0	110	server7	0
AUFLIRA_why_smtlibc3263d.smt2.small2.smt2	sat	0	110	server7	1
AUFLIRA_why_smtlibc3263d.smt2.small25.smt2	unknown	0	110	server7	2
AUFLIRA_why_smtlibc3263d.smt2.small5.smt2	unsat	0	112	server7	3
AUFLIRA_why_smtlibc3263d.smt2.small50.smt2	unknown	0	109	server5	1
AUFLIRA_why_smtlibc3263d.smt2.suffix1.smt2	unsat	0	111	server6	3
AUFLIRA_why_smtlibc3263d.smt2.suffix10.smt2	unsat	0	110	server7	0
AUFLIRA_why_smtlibc3263d.smt2.suffix2.smt2	unsat	0	110	server7	1
AUFLIRA_why_smtlibc3263d.smt2.suffix25.smt2	unsat	0	111	server7	2
AUFLIRA_why_smtlibc3263d.smt2.suffix5.smt2	unsat	0	111	server7	3
AUFLIRA_why_smtlibc3263d.smt2.suffix50.smt2	unknown	0	209	server5	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.prefix1.smt2	unknown	0	110	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.prefix10.smt2	unknown	0	909	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.prefix2.smt2	unknown	0	109	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.prefix25.smt2	unknown	0	23027	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.prefix5.smt2	unknown	0	111	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.prefix50.smt2	unknown	0	24328	server5	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.rel0.smt2	unknown	0	19124	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.rel1.smt2	unknown	0	24128	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.rel2.smt2	unknown	0	24127	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.rel3.smt2	unknown	0	24128	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.small1.smt2	sat	0	111	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.small10.smt2	sat	0	109	server5	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.small2.smt2	sat	0	114	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.small25.smt2	sat	0	110	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.small5.smt2	sat	0	109	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.small50.smt2	unknown	0	24127	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.suffix1.smt2	unknown	0	19124	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.suffix10.smt2	unknown	0	24128	server5	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.suffix2.smt2	unknown	0	24128	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.suffix25.smt2	unknown	0	24128	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.suffix5.smt2	unknown	0	24127	server7	1
UFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.suffix50.smt2	unknown	0	24229	server7	2
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.prefix1.smt2	unknown	0	110	server7	3
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.prefix10.smt2	unknown	0	12817	server5	1
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.prefix2.smt2	unknown	0	112	server6	3
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.prefix25.smt2	unknown	0	2512	server7	0
UFDTLIRA_20200306-Kanig_spark2014bench_S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2.prefix5.smt2	unknown	0	110	server7	1
