file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	base	unknown	0	24129	13	none	qf-bv	24052	24062	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	no
QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	a4096	unknown	0	24131	13	none	qf-bv	24063	24073	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	no
QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	n65536	unknown	0	24131	13	none	qf-bv	24052	24062	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	no
QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	n262144	unknown	0	24227	13	none	qf-bv	24083	24093	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	no
QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	bothmid	unknown	0	24131	13	none	qf-bv	24069	24078	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	no
QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	bothmax	unknown	0	24131	13	none	qf-bv	24054	24064	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	no
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	base	unsat	0	109	4	qf-bv	qf-bv	5	6	none	no
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	a4096	unsat	0	109	4	qf-bv	qf-bv	5	6	none	no
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	n65536	unsat	0	109	4	qf-bv	qf-bv	5	6	none	no
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	n262144	unsat	0	109	4	qf-bv	qf-bv	5	6	none	no
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	bothmid	unsat	0	108	4	qf-bv	qf-bv	5	6	none	no
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_746.smt2	bothmax	unsat	0	108	4	qf-bv	qf-bv	5	6	none	no
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution.t1.i16.e7c172b6.smt2	base	sat	0	209	4	qf-bv	dl-online	120	133	none	no
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution.t1.i16.e7c172b6.smt2	a4096	sat	0	209	4	qf-bv	dl-online	120	133	none	no
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution.t1.i16.e7c172b6.smt2	n65536	sat	0	208	4	qf-bv	dl-online	121	133	none	no
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution.t1.i16.e7c172b6.smt2	n262144	sat	0	209	4	qf-bv	dl-online	121	134	none	no
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution.t1.i16.e7c172b6.smt2	bothmid	sat	0	209	4	qf-bv	dl-online	124	137	none	no
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution.t1.i16.e7c172b6.smt2	bothmax	sat	0	209	4	qf-bv	dl-online	120	134	none	no
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i25.63566545.smt2	base	sat	0	109	4	qf-bv	dl-online	20	30	none	no
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i25.63566545.smt2	a4096	sat	0	109	4	qf-bv	dl-online	20	30	none	no
