file	axeyum	z3	cvc5	status	agree
x2015_09_10_17_04_36_539_2003877.smt_in.smt2	unsat	unsat	unsat	unsat	ok
x2015_09_10_17_05_36_652_2082452.smt_in.smt2	unsat	unsat	unsat	unsat	ok
x2015_09_10_16_48_38_877_1117356.smt_in.smt2	unsat	unsat	unsat	unsat	ok
