file	A1	A2	A3	B1	B2	B3	verdict
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Middle.c__p24288_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8063_safety_0.smt2	sat/0	sat/0	sat/0	sat/0	sat/0	sat/0	BOTH-DECIDE
QF_NIA/20170427-VeryMax/ITS/From_T2__cover.t2_fixed__term_unfeasibility_5_0.smt2	unknown/0	unknown/0	sat/0	sat/0	sat/0	sat/0	UNSTABLE
QF_NIA/20170427-VeryMax/SAT14/529.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/2019-Preiner/full/f2_rw322.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/2019-Zohar-ic/combined/int_check_bvule_bvudiv1_rtl.smt2	unsat/0	unsat/0	unsat/0	unsat/0	unsat/0	unsat/0	BOTH-DECIDE
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c__p21056_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex3b.c__p26036_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8422_safety_0.smt2	sat/0	sat/0	sat/0	sat/0	sat/0	sat/0	BOTH-DECIDE
QF_NIA/20170427-VeryMax/ITS/From_T2__polyrank2.t2__p7393_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/SAT14/738.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/2019-Preiner/full/f2_rw73.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.1003977.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24047_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Hanoi_2vars_false-termination.c__p26907_terminationG_0.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8830_safety_0.smt2	sat/0	sat/0	sat/0	sat/0	sat/0	sat/0	BOTH-DECIDE
QF_NIA/20170427-VeryMax/SAT14/1304.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/2019-Preiner/combined/f2_rw330.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
UFNIA/2019-Zohar-alive/combined/combined_Select:700_values_123.smt2	unsat/0	unsat/0	unsat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
