file	mut	arm	rep	verdict	wall_ms	decisions	dec_per_s	learned	mean_len	mean_premin
jobshop20-2-10-10-4-4-16	nomin	intact	1	unknown	21130	80291	3799	1042	6.875	6.880
jobshop20-2-10-10-4-4-16	nomin	mutant	1	unknown	21133	81699	3865	1058	6.862	6.862
jobshop26-2-13-13-4-4-16	nomin	intact	1	unknown	21130	31359	1484	636	7.492	7.494
jobshop26-2-13-13-4-4-16	nomin	mutant	1	unknown	21132	31457	1488	638	7.483	7.483
RVpredict_13	nomin	intact	1	sat	1813	2364618	1304257	3415	6.291	6.292
RVpredict_13	nomin	mutant	1	sat	1814	2364618	1303538	3415	6.292	6.292
edge-matching-width=7-height=7-col	nomin	intact	1	unknown	22533	2598360	115313	18187	12.332	12.500
edge-matching-width=7-height=7-col	nomin	mutant	1	unknown	22534	2965530	131602	24230	14.115	14.115
a7.3.0.tweaked.3.asp	nomin	intact	1	unknown	22232	230093	10349	1529	126.296	163.813
a7.3.0.tweaked.3.asp	nomin	mutant	1	unknown	22232	330803	14879	1139	55.659	55.659
jobshop20-2-10-10-4-4-16	noheap	intact	1	unknown	21132	79650	3769	1038	6.888	6.893
jobshop20-2-10-10-4-4-16	noheap	mutant	1	unknown	21133	72919	3450	987	6.944	6.949
jobshop26-2-13-13-4-4-16	noheap	intact	1	unknown	21130	31282	1480	634	7.475	7.476
jobshop26-2-13-13-4-4-16	noheap	mutant	1	unknown	21130	28714	1358	613	7.488	7.489
RVpredict_13	noheap	intact	1	sat	1812	2364618	1304976	3415	6.291	6.292
RVpredict_13	noheap	mutant	1	sat	15928	2364618	148456	3415	6.291	6.292
edge-matching-width=7-height=7-col	noheap	intact	1	unknown	22534	2591471	115002	18185	12.333	12.501
edge-matching-width=7-height=7-col	noheap	mutant	1	unknown	22534	89881	3988	5262	13.693	13.902
a7.3.0.tweaked.3.asp	noheap	intact	1	unknown	22233	230910	10385	1536	125.729	163.076
a7.3.0.tweaked.3.asp	noheap	mutant	1	unknown	22231	77087	3467	334	71.284	79.805
jobshop20-2-10-10-4-4-16	nomin	intact	2	unknown	21132	80323	3801	1046	6.887	6.892
jobshop20-2-10-10-4-4-16	nomin	mutant	2	unknown	21132	81744	3868	1058	6.862	6.862
jobshop26-2-13-13-4-4-16	nomin	intact	2	unknown	21131	31315	1481	634	7.475	7.476
jobshop26-2-13-13-4-4-16	nomin	mutant	2	unknown	21130	31652	1497	643	7.470	7.470
RVpredict_13	nomin	intact	2	sat	1811	2364618	1305697	3415	6.291	6.292
RVpredict_13	nomin	mutant	2	sat	1813	2364618	1304257	3415	6.292	6.292
edge-matching-width=7-height=7-col	nomin	intact	2	unknown	22533	2586249	114776	18184	12.334	12.502
edge-matching-width=7-height=7-col	nomin	mutant	2	unknown	22533	2879086	127771	23907	14.222	14.222
a7.3.0.tweaked.3.asp	nomin	intact	2	unknown	22232	230976	10389	1537	125.649	162.971
a7.3.0.tweaked.3.asp	nomin	mutant	2	unknown	22232	331408	14906	1140	55.612	55.612
jobshop20-2-10-10-4-4-16	noheap	intact	2	unknown	21129	80291	3800	1042	6.875	6.880
jobshop20-2-10-10-4-4-16	noheap	mutant	2	unknown	21131	71714	3393	972	6.971	6.976
jobshop26-2-13-13-4-4-16	noheap	intact	2	unknown	21130	31386	1485	637	7.485	7.487
jobshop26-2-13-13-4-4-16	noheap	mutant	2	unknown	21130	28762	1361	613	7.488	7.489
RVpredict_13	noheap	intact	2	sat	1813	2364618	1304257	3415	6.291	6.292
RVpredict_13	noheap	mutant	2	sat	15526	2364618	152300	3415	6.291	6.292
edge-matching-width=7-height=7-col	noheap	intact	2	unknown	22533	2603524	115542	18189	12.331	12.499
edge-matching-width=7-height=7-col	noheap	mutant	2	unknown	22530	90590	4020	5262	13.693	13.902
a7.3.0.tweaked.3.asp	noheap	intact	2	unknown	22233	230279	10357	1530	126.214	163.707
a7.3.0.tweaked.3.asp	noheap	mutant	2	unknown	22231	77169	3471	334	71.284	79.805
