file	base	base_giveup	guard	guard_giveup	status
JC17-017__exit__p.adb_17_7_assert___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
JC17-017__subtype__p.adb_16_34_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
K113-024__satsub__sat.ads_7_10_postcondition___00.smt2	unsat	none	unsat	none	unsat
K228-011__local__localcst.ads_4_20_postcondition___00.smt2	unsat	none	unsat	none	unsat
K303-015__named_arguments__substract.adb_4_20_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
K322-009__int10-20__inrange.adb_21_7_precondition___00.smt2	unsat	none	unsat	none	unsat
K412-014__param__pack.adb_39_22_assert___00.smt2	sat	none	sat	none	sat
K518-029__call_actuals__call_actuals.adb_41_11_range_check___00.smt2	unsat	none	unsat	none	unsat
K519-031__subarray__subar.adb_51_10_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
K609-028__parent__ext_pack.adb_10_20_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__amortize_queue__amortized_queue.adb_18_16_loop_invariant_preserv___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__amortize_queue__amortized_queue.adb_65_41_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__amortize_queue__amortized_queue.ads_18_20_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__amortize_queue__amortized_queue.ads_55_17_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__amortize_queue__amortized_queue.ads_72_6_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K624-029__search_list__a-cfdlli.ads_853_28_linked_list.ads_6_4_overflow_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
K719-020__flight__flight_manager.adb_23_20_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
K912-024__effects__using.ads_6_43_unreachable_branch___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
KA11-021__fixedpoint__pack.adb_6_25_overflow_check___00.smt2	unsat	none	unsat	none	unsat
KA21-006__funcs__funcs.adb_66_22_assert___00.smt2	unsat	none	unsat	none	unsat
KA21-006__funcs__funcs.adb_90_22_precondition___00.smt2	unsat	none	unsat	none	unsat
KB27-003__color__p.ads_15_20_postcondition___00.smt2	sat	none	sat	none	sat
KB29-039__session__a.adb_6_24_overflow_check___00.smt2	unsat	none	unsat	none	unsat
L112-039__precond__pre.adb_12_22_assert___00.smt2	unsat	none	unsat	none	unsat
L320-006__deferred__user.adb_9_22_assert___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L413-031__fullview__a-cfdlli.ads_1379_20_int_list.ads_10_4_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L413-031__fullview__int_list.adb_12_13_loop_invariant_preserv___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L413-031__fullview__int_list.adb_4_7_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat	none	unsat
L503-008__iterators__a-cfdlli.ads_1394_20_p.ads_15_4_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L503-008__iterators__p.adb_28_19_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown
L531-021__discr__subty.adb_12_35_discriminant_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
L608-022__minmax__minmax.adb_64_16_range_check___00.smt2	unsat	none	unsat	none	unsat
L625-016__assert_and_cut__proc.adb_28_14_overflow_check___00.smt2	unsat	none	unsat	none	unsat
L719-025__hashed_sets_key__a-cofuse.ads_243_22_a-cfhase.ads_90_7_p.ads_12_4_overflow_check___00.smt2	unsat	none	unsat	none	unsat
L719-025__lists_equal__a-cfdlli.ads_610_49_p.ads_7_4_overflow_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
L719-025__lists_equal__p.adb_25_7_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L719-025__ordered_maps_equal__a-cofuve.ads_237_63_a-cforma.ads_112_7_p.ads_8_4_range_check2___00.smt2	unsat	none	unsat	none	unsat
L719-025__ordered_sets_equal__a-cforse.ads_1337_20_p.ads_10_4_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L719-025__ordered_sets_equal__p.adb_17_7_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L719-025__ordered_sets_key__a-cforse.ads_1382_20_p.ads_13_4_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L719-025__sorted_lists__a-cfdlli.ads_1029_43_sorted_lists.ads_14_4_overflow_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L719-025__sorted_lists__a-cofuve.ads_238_59_a-cfdlli.ads_69_7_sorted_lists.ads_14_4_overflow_check___00.smt2	unsat	none	unsat	none	unsat
L719-025__sorted_lists__sorted_lists.ads_31_46_precondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L719-025__sorted_vectors__sorted_vectors.adb_14_31_range_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
L719-025__vectors_equal__a-cofuve.ads_237_63_a-cofove.ads_87_7_p.ads_9_4_range_check___00.smt2	unsat	none	unsat	none	unsat
L926-036__loopinv__counters.adb_18_21_overflow_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown
LC17-035__update_attribute__records.ads_21_19_postcondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
LC17-035__update_attribute_multidim__update_checks.adb_101_34_range_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: term #824 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
LC17-035__update_attribute_multidim__update_checks.adb_135_44_range_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: term #861 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
LC17-035__update_attribute_multidim__update_checks.adb_69_44_range_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: term #723 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
LC17-035__update_attribute_multidim__update_checks.ads_27_64_range_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: term #937 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M123-014__loops__loops.adb_9_33_loop_invariant_init___00.smt2	unsat	none	unsat	none	unsat
M123-033__expr_fun__p.adb_39_28_assert___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown
M123-033__expr_fun__private_p.adb_11_28_assert___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
M123-033__expr_fun__private_p.ads_9_43_overflow_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
M123-033__expr_fun__private_q.ads_7_38_overflow_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
M123-033__expr_fun__q.adb_8_28_assert___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
M123-033__expr_fun__reorder_p.adb_35_28_assert___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
