file	base	base_giveup	guard	guard_giveup	status
x2015_09_10_16_59_33_621_1039748.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_59_48_329_1055507.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_17_00_02_323_1069308.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
x2015_09_10_17_00_16_023_1083819.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unsat
x2015_09_10_17_00_30_240_1098389.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
x2015_09_10_17_00_45_190_1114779.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
x2015_09_10_17_00_58_080_1129868.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
x2015_09_10_17_01_10_952_1145961.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
x2015_09_10_16_52_50_482_1017227.smt_in.smt2	unknown	give-up kind=Error detail=unsupported by backend: an uninterpreted function applied to a datatype argument (congruence over expanded datatype arguments is not in this fragment) (ADR-0022)	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
