file	base	base_giveup	guard	guard_giveup	status
M823-017__fixed_points__decimal_fixed.adb_49_16_range_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M823-017__fixed_points__decimal_fixed.adb_67_14_division_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M823-017__fixed_points__decimal_fixed.adb_70_52_overflow_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
M823-017__fixed_points__decimal_fixed.adb_89_16_range_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M823-017__fixed_points__dynamic_fixed.adb_7_19_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M823-017__fixed_points__ordinary_fixed.adb_107_27_overflow_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M823-017__fixed_points__ordinary_fixed.adb_48_22_assert2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M823-017__fixed_points__ordinary_fixed.adb_64_17_overflow_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
M823-017__fixed_points__ordinary_fixed.adb_70_22_assert2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
M823-017__fixed_points__ordinary_fixed.adb_85_22_range_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
M823-017__fixed_points__ordinary_fixed.adb_94_17_range_check2___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
MA29-016__flow_refinement__fruit-pub_child.adb_20_30_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
MA29-016__flow_refinement__fruit-pub_child.adb_28_7_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
N401-026__variant__loop_tutorial.adb_11_40_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
N401-026__variant__loop_tutorial.adb_39_19_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
N709-037__operator_renames_function__main.adb_4_16_postcondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
N918-004__flow_no_effect_main__main.adb_25_62_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unknown
NA14-043__refined_post__pf.adb_23_14_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
