file	base	base_giveup	guard	guard_giveup	status
x2015_09_10_16_59_33_621_1039748.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_17_00_22_297_1090463.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_01_14_404_1150262.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_53_11_421_1041162.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_53_56_537_1094926.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_16_51_06_177_1165813.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown
x2015_09_10_16_52_38_347_1246149.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_54_53_962_1372467.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_55_51_081_1423271.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_56_49_581_1468798.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_16_57_47_544_1522663.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_16_58_55_174_1583194.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
x2015_09_10_16_59_50_619_1635445.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_00_37_157_1687977.smt_in.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unsat
x2015_09_10_17_01_24_430_1743988.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_02_01_325_1794353.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_02_44_169_1850576.smt_in.smt2	sat	none	sat	none	sat
x2015_09_10_17_03_24_482_1905427.smt_in.smt2	unsat	none	unsat	none	unsat
x2015_09_10_17_04_05_259_1960786.smt_in.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unsat
x2015_09_10_17_05_03_974_2039882.smt_in.smt2	unsat	none	unsat	none	unsat
