file	base	base_giveup	guard	guard_giveup	status
I827-015__oo__instr.adb_7_18_index_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
K210-007__for_loop__s.adb_6_33_loop_invariant_preserv___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
K223-023__search__search.ads_5_55_index_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
K330-014__loop_entry__for_loops.adb_16_33_loop_invariant_preserv___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
K330-014__loop_entry__while_loops.adb_63_40_dead_code___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
K519-031__subarray__subar.adb_18_26_index_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
K606-027__slice__fb20a00.adb_35_15_length_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
K607-022__unconstrained_array__simple_unc_arrays.adb_13_16_loop_invariant_preserv___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
K607-022__unconstrained_array__simple_unc_arrays.adb_45_26_index_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
K607-022__unconstrained_array__simple_unc_arrays.ads_22_53_overflow_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
K609-008__arrays__arrays.adb_9_19_assert___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("idx")])])	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("idx")])])	unsat
K627-010__stable_marriage__stable_marriage.adb_208_51_index_check___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("group2_id")])])	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("group2_id")])])	unsat
K627-010__stable_marriage__stable_marriage.adb_30_13_loop_invariant_preserv___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat
K627-010__stable_marriage__stable_marriage.adb_383_13_loop_invariant_init___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("group2_id")])])	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("group2_id")])])	unsat
K627-010__stable_marriage__stable_marriage.adb_79_28_index_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
K628-017__single_files__s.adb_27_34_index_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
K908-018__eq__pack.ads_11_19_postcondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
KA20-075__constant__const.adb_23_22_assert___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported (ADR-0022)	unsat
KB04-004__quantified__data.adb_20_60_index_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
KB10-018__cursor_location__cursor_location.ads_18_10_postcondition___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unknown
KB25-003__slices__pack.adb_46_41_range_check___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination	unsat	none	unsat
