file	verdict	rc	ms	rss_kb	status	bucket	cause	attempts	bound_by	atoms	online_probe	cube_matrices	cube_simplex_calls
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	unknown	0	24032	44388	unsat	Timeout/Incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	14	nra	0	model-did-not-replay	0	0
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	unknown	0	24031	39424	unsat	Timeout/Timeout	timeout in the online CDCL(T) LRA driver	14	nra	0	took	0	0
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	unknown	0	24038	46088	unsat	Timeout/Incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	14	nra	0	model-did-not-replay	0	0
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	none	134	5887	7824744	unknown	ABORT/oom	process aborted: memory allocation of N bytes failed	NONE	NONE	NONE	NONE	NONE	NONE
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	unknown	0	24126	64208	unsat	Timeout/Incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	14	nra	0	model-did-not-replay	0	0
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	unknown	0	24127	147492	unsat	Timeout/ResourceLimit	DENSE SIMPLEX spent the budget (cube_simplex_calls>0, cube_matrices=0) -- the `Fourier-Motzkin` label is WRONG	14	nra	1839	admission-screen	0	908
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	unknown	0	24833	2830084	unsat	Timeout/ResourceLimit	DENSE SIMPLEX spent the budget (cube_simplex_calls>0, cube_matrices=0) -- the `Fourier-Motzkin` label is WRONG	14	nra	7546	admission-screen	0	43
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	unknown	0	24034	38024	unsat	Timeout/Incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	14	nra	0	model-did-not-replay	0	0
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	unknown	0	25340	7410832	unknown	Watchdog/-	watchdog fired before the worker thread returned	NONE	NONE	NONE	NONE	NONE	NONE
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	unknown	0	25139	7434036	unknown	Watchdog/-	watchdog fired before the worker thread returned	NONE	NONE	NONE	NONE	NONE	NONE
QF_LRA/2019-ezsmt/blending/1.smt2	unsat	0	4218	37848	unknown	DECIDED	-	5	nra	0	took	0	0
QF_LRA/2019-ezsmt/blending/17.smt2	sat	0	111	19100	unknown	DECIDED	-	5	nra	0	took	0	0
QF_LRA/2019-ezsmt/blending/24.smt2	sat	0	2612	28768	unknown	DECIDED	-	5	nra	0	took	0	0
QF_LRA/2019-ezsmt/blending/5.smt2	unsat	0	4014	38628	unknown	DECIDED	-	5	nra	0	took	0	0
QF_LRA/2019-ezsmt/robotics/1_4.smt2	unsat	0	113	11424	unknown	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/2019-ezsmt/robotics/4_3.smt2	unsat	0	113	11484	unknown	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	sat	0	213	20916	unknown	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	sat	0	2113	77480	unknown	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	unknown	0	24236	835700	unknown	Timeout/ResourceLimit	DENSE SIMPLEX spent the budget (cube_simplex_calls>0, cube_matrices=0) -- the `Fourier-Motzkin` label is WRONG	14	dl-online	4314	admission-screen	0	19
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	sat	0	4615	89600	unknown	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	sat	0	3819	84460	unknown	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	sat	0	114	12072	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	sat	0	112	12800	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	sat	0	112	13160	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	sat	0	110	14776	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-tempo-depth-9.smt2	sat	0	111	12384	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	sat	0	1214	42528	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	sat	0	1115	69328	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	sat	0	112	14880	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A10.smt2	sat	0	112	13008	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	sat	0	110	11656	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	sat	0	112	15360	sat	DECIDED	-	3	dl-online	0	not-probed	0	0
