# binary ./smtcomp_cli.base sha256 dd41ddfe31cab52922ad5fd05773c42246d58a47f88e7af15885d0fdc7fd62ca
# policy <default>
# host server6 loadavg-at-start 0.00 0.03 0.52
file	wall_ms	verdict
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-05-16-1-5-4-3.smt2	111	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-06-10-1-4-2-5.smt2	111	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-05-5-2-3-5.smt2	111	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-16-2-4-3-5.smt2	209	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-11-4-3-2-2.smt2	609	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-06-1-5-3-2.smt2	210	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-17-2-1-4-1.smt2	1010	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-10-12-4-1-1-4.smt2	311	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-07-3-4-2-3.smt2	312	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-11-18-3-3-4-1.smt2	3815	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-12-11-1-4-4-3.smt2	608	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-06-1-1-2-4.smt2	710	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-13-16-3-1-4-1.smt2	711	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-14-10-3-4-2-2.smt2	810	sat
