file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
UFDTNIRA/20200306-Kanig/spark2014bench/J506-016__scaled_value__spark-arithmetic_lemmas.ads_123_38_spark-long_integer_arithmetic_lemmas.ads_31_1_division_check___00.smt2	unknown	0	24128	12	none	q:timeout	fd:bounded-completeness-unsat	24046	24047	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/KB29-037__subtype__main.adb_6_13_predicate_check___00.smt2	unknown	0	24232	12	none	q:timeout	fd:bounded-completeness-unsat	24014	24077	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/M115-016__reatim__pck.adb_58_37_overflow_check___00.smt2	unknown	0	24129	12	none	q:timeout	fd:bounded-completeness-unsat	24033	24034	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/M219-040__flow_IFA_error_messages__test.adb_41_25_division_check___00.smt2	unknown	0	24129	12	none	q:timeout	fd:bounded-completeness-unsat	24057	24062	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/M314-004__flow_block_statements__test.adb_59_17_overflow_check___00.smt2	unknown	0	24226	18	none	q:mbqi	fd:bounded-completeness-unsat	21018	24127	na	na	na	egraph@3.107:declined;(+15 segments of other stages dropped)	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact bounded integer blast
UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__binary_fixed.adb_101_25_assert2___00.smt2	unknown	0	24126	12	none	q:timeout	fd:bounded-completeness-unsat	24063	24064	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__binary_fixed.adb_49_16_overflow_check2___00.smt2	unknown	0	24222	12	none	q:timeout	fd:bounded-completeness-unsat	24012	24074	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__binary_fixed.adb_70_33_overflow_check2___00.smt2	unknown	0	24128	12	none	q:timeout	fd:bounded-completeness-unsat	24033	24034	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__decimal_fixed.adb_102_25_assert2___00.smt2	unknown	0	24127	12	none	q:timeout	fd:bounded-completeness-unsat	24048	24049	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__decimal_fixed.adb_49_16_range_check2___00.smt2	unknown	0	24128	12	none	q:timeout	fd:bounded-completeness-unsat	24062	24063	na	na	na	na	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
