file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
AUFDTLIRA/20200306-Kanig/spark2014bench/I827-015__oo__instr.adb_7_18_index_check___00.smt2	unknown	0	24124	153	q:checked-fast-path	q:egraph	fd:bounded-completeness-unsat	7565	24003	na	na	na	egraph@0.665:declined;egraph@0.036:declined;egraph@0.097:declined;egraph@0.093:declined;egraph@0.290:declined;egraph@0.057:declined;egraph@0.720:declined;egraph@0.046:declined;egraph@0.824:declined;egraph@0.042:declined;egraph@8.237:declined;egraph@2.850:declined;egraph@1.021:declined;egraph@0.345:declined;egraph@0.054:declined;egraph@23.989:declined;(+154 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFDTLIRA/20200306-Kanig/spark2014bench/K223-023__search__search.ads_8_9_postcondition___00.smt2	unknown	0	24127	17	none	q:egraph	fd:bounded-completeness-unsat	22501	24021	na	na	na	egraph@24.016:declined;(+455 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	unknown	0	107	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	16	40	na	na	na	egraph@0.015:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	unknown	0	506	20	none	q:egraph	fd:bounded-completeness-unsat	373	386	na	na	na	egraph@0.374:declined;(+277 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
AUFDTLIRA/20200306-Kanig/spark2014bench/M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2	unknown	0	22931	19	none	q:egraph	fd:bounded-completeness-unsat	20258	22902	na	na	na	egraph@21.787:declined;(+401 segments of other stages dropped)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	unknown	0	208	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	37	105	na	na	na	egraph@0.045:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	unknown	0	108	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	25	72	na	na	na	egraph@0.030:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
AUFDTLIRA/20200306-Kanig/spark2014bench/N120-055__perm__sort.adb_48_22_precondition___00.smt2	unknown	0	24033	87	none	q:mbqi	fd:bounded-completeness-unsat	3169	24005	na	na	na	egraph@2.827:declined;egraph@1.209:declined;egraph@2.659:declined;egraph@0.249:declined;egraph@2.367:declined;egraph@0.116:declined;egraph@2.290:declined;egraph@0.348:declined;egraph@23.989:declined;(+84 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFDTLIRA/20200306-Kanig/spark2014bench/N530-032__swap__sorters.adb_60_25_assert___00.smt2	unknown	0	24026	75	none	q:mbqi	fd:bounded-completeness-unsat	9740	24004	na	na	na	egraph@0.572:declined;egraph@1.500:declined;egraph@0.436:declined;egraph@8.046:declined;egraph@0.129:declined;egraph@0.061:declined;egraph@0.495:declined;egraph@23.990:declined;(+145 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	unknown	0	25029	99	none	q:mbqi	q:uf-fmf-probe	3843	20345	q:uf-fmf-probe	4654	euf:uf-arith-eager>euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	egraph@1.242:declined;egraph@0.439:declined;egraph@0.426:declined;egraph@0.302:declined;egraph@0.200:declined;egraph@0.034:declined;egraph@0.376:declined;egraph@0.393:declined;egraph@1.711:declined;egraph@3.597:declined;(+105 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
