file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
UFDTLIRA/20200306-Kanig/spark2014bench/JC17-017__exit__p.adb_17_7_assert___00.smt2	unknown	0	106	19	none	q:forall-exists-witness	fd:bounded-completeness-unsat	1	5	na	na	na	egraph@0.002:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/K303-015__named_arguments__substract.adb_4_20_overflow_check___00.smt2	unknown	0	105	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	2	5	na	na	na	egraph@0.003:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/K519-031__subarray__subar.adb_51_10_dead_code___00.smt2	unknown	0	107	19	none	q:forall-exists-witness	fd:bounded-completeness-unsat	1	3	na	na	na	egraph@0.001:declined;(+28 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 1 rounds (no further instance to admit; more rounds cannot help)
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	10	na	na	na	egraph@0.004:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable, a constructor application, nor another uninterpreted function's result (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	unknown	0	107	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	4	18	na	na	na	egraph@0.008:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	unknown	0	106	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	4	18	na	na	na	egraph@0.008:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.ads_55_17_precondition___00.smt2	unknown	0	106	20	none	q:egraph	fd:bounded-completeness-unsat	17	28	na	na	na	egraph@0.022:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__search_list__a-cfdlli.ads_853_28_linked_list.ads_6_4_overflow_check___00.smt2	unknown	0	106	20	none	q:egraph	fd:bounded-completeness-unsat	3	11	na	na	na	egraph@0.005:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/K912-024__effects__using.ads_6_43_unreachable_branch___00.smt2	unknown	0	606	19	none	q:egraph	fd:bounded-completeness-unsat	586	592	na	na	na	egraph@0.588:declined;(+93 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/L413-031__fullview__a-cfdlli.ads_1379_20_int_list.ads_10_4_precondition___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	3	9	na	na	na	egraph@0.004:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__lists_equal__p.adb_25_7_precondition___00.smt2	unknown	0	106	20	none	q:egraph	fd:bounded-completeness-unsat	3	15	na	na	na	egraph@0.007:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__ordered_sets_equal__a-cforse.ads_1337_20_p.ads_10_4_precondition___00.smt2	unknown	0	107	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	3	13	na	na	na	egraph@0.005:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__ordered_sets_key__a-cforse.ads_1382_20_p.ads_13_4_precondition___00.smt2	unknown	0	107	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	5	22	na	na	na	egraph@0.009:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__sorted_vectors__sorted_vectors.adb_14_31_range_check___00.smt2	unknown	0	105	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	3	13	na	na	na	egraph@0.005:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/M213-022__flow_loops__test.adb_134_17_range_check___00.smt2	unknown	0	107	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	1	5	na	na	na	egraph@0.003:declined;(+28 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 1 rounds (no further instance to admit; more rounds cannot help)
UFDTLIRA/20200306-Kanig/spark2014bench/M301-035__flow__interprocedural_analysis_tests__single_compilation_unit.adb_94_17_overflow_check___00.smt2	unknown	0	106	19	none	q:forall-exists-witness	fd:bounded-completeness-unsat	0	2	na	na	na	egraph@0.001:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/M409-046__subtype__main.adb_6_14_predicate_check___00.smt2	unknown	0	106	19	none	q:forall-exists-witness	fd:bounded-completeness-unsat	0	2	na	na	na	egraph@0.001:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__a-cofove.ads_709_23_list.ads_9_4_precondition___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	6	na	na	na	egraph@0.002:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/M801-016__flow_contract_cases__contract_cases.adb_19_38_contract_case___00.smt2	unknown	0	108	19	none	q:egraph	fd:bounded-completeness-unsat	1	3	na	na	na	egraph@0.002:declined;(+28 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 1 rounds (no further instance to admit; more rounds cannot help)
UFDTLIRA/20200306-Kanig/spark2014bench/MA07-042__flow_formal_container_hack__a-cofove.ads_745_14_formal_list.ads_8_4_precondition___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	6	na	na	na	egraph@0.002:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/MA28-033__flow_null_calls_ineffective__p.adb_117_32_overflow_check___00.smt2	unknown	0	106	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	0	3	na	na	na	egraph@0.002:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/MA29-016__flow_refinement__levels.adb_127_61_overflow_check___00.smt2	unknown	0	11616	19	none	q:egraph	fd:bounded-completeness-unsat	6766	11534	na	na	na	egraph@7.710:declined;(+238 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 23 rounds (no further instance to admit; more rounds cannot help)
UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	4	14	na	na	na	egraph@0.006:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/MB27-015__record_default_init__fsb.adb_24_16_overflow_check___00.smt2	unknown	0	106	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	3	7	na	na	na	egraph@0.004:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	unknown	0	108	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	9	na	na	na	egraph@0.004:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/N519-003__flow_warning__warn.adb_4_11_overflow_check___00.smt2	unknown	0	106	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	3	7	na	na	na	egraph@0.004:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_102_22_assert___00.smt2	unknown	0	105	19	none	q:forall-exists-witness	fd:bounded-completeness-unsat	1	6	na	na	na	egraph@0.002:unsupported->decline;(+15 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	3	10	na	na	na	egraph@0.004:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	5	na	na	na	egraph@0.002:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	1	3	na	na	na	egraph@0.001:unsupported->decline;(+10 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	unknown	0	105	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	7	25	na	na	na	egraph@0.013:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	unknown	0	107	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	15	48	na	na	na	egraph@0.025:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	unknown	0	107	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	4	na	na	na	egraph@0.001:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	4	na	na	na	egraph@0.001:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	unknown	0	105	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	8	na	na	na	egraph@0.004:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	unknown	0	108	20	none	q:egraph	fd:bounded-completeness-unsat	4	15	na	na	na	egraph@0.007:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/O429-046__flow_prot_subpr_contracts__prot.adb_25_29_overflow_check___00.smt2	unknown	0	107	19	none	q:mbqi-quick	fd:bounded-completeness-unsat	0	3	na	na	na	egraph@0.002:declined;(+14 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	2	11	na	na	na	egraph@0.005:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2	unknown	0	206	20	none	q:mbqi	fd:bounded-completeness-unsat	39	106	na	na	na	egraph@0.062:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #713 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
UFDTLIRA/20200306-Kanig/spark2014bench/O901-014__formal_vectors__aida-containers-formal_vectors.adb_144_55_hnco-test2.ads_8_4_range_check___00.smt2	unknown	0	106	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	5	9	na	na	na	egraph@0.002:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDTLIRA/20200306-Kanig/spark2014bench/P115-039__spark16demo__client_unit.adb_54_10_dead_code___00.smt2	unknown	0	206	19	none	q:egraph	fd:bounded-completeness-unsat	74	136	na	na	na	egraph@0.104:declined;(+66 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)
UFDTLIRA/20200306-Kanig/spark2014bench/P715-007__termination__term.ads_7_14_postcondition___00.smt2	unknown	0	107	19	none	q:egraph	fd:bounded-completeness-unsat	17	31	na	na	na	egraph@0.024:declined;(+221 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 24 rounds (no further instance to admit; more rounds cannot help)
UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__r.adb_26_13_dead_code___00.smt2	unknown	0	206	19	none	q:egraph	fd:bounded-completeness-unsat	74	146	na	na	na	egraph@0.097:declined;(+32 segments of other stages dropped)	give-up kind=ResourceLimit detail=combined theories: eager Ackermann elimination would emit 110 congruence constraints, exceeding the deterministic admission bound of 64 (the O(k²) expansion and its downstream solve run unbounded; this needs a lazy/CEGAR route)
