file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
AUFDTLIRA/20200306-Kanig/spark2014bench/I827-015__oo__instr.adb_7_18_index_check___00.smt2	unknown	0	24124	153	q:checked-fast-path	q:egraph	fd:bounded-completeness-unsat	7565	24003	na	na	na	egraph@0.665:declined;egraph@0.036:declined;egraph@0.097:declined;egraph@0.093:declined;egraph@0.290:declined;egraph@0.057:declined;egraph@0.720:declined;egraph@0.046:declined;egraph@0.824:declined;egraph@0.042:declined;egraph@8.237:declined;egraph@2.850:declined;egraph@1.021:declined;egraph@0.345:declined;egraph@0.054:declined;egraph@23.989:declined;(+154 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFDTLIRA/20200306-Kanig/spark2014bench/K223-023__search__search.ads_8_9_postcondition___00.smt2	unknown	0	24127	17	none	q:egraph	fd:bounded-completeness-unsat	22501	24021	na	na	na	egraph@24.016:declined;(+455 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFDTLIRA/20200306-Kanig/spark2014bench/K330-014__loop_entry__while_loops.adb_65_36_loop_invariant_init___00.smt2	unsat	0	106	7	q:mbqi-quick	q:valid-universal-qf	q:mbqi-quick	55	64	na	na	na	(+9 segments of other stages dropped)	none
AUFDTLIRA/20200306-Kanig/spark2014bench/K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	unknown	0	25133	136	none	q:mbqi-quick	q:uf-fmf-probe	2373	23392	q:uf-fmf-probe	1607	euf:uf-arith-eager>euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	egraph@0.534:declined;egraph@0.549:declined;egraph@0.143:declined;egraph@0.206:declined;egraph@0.158:declined;egraph@0.196:declined;egraph@0.291:declined;egraph@0.425:declined;egraph@0.475:declined;egraph@0.648:declined;egraph@1.314:declined;egraph@2.338:declined;egraph@1.974:declined;(+603 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	unknown	0	107	20	none	q:valid-universal-qf	fd:bounded-completeness-unsat	16	40	na	na	na	egraph@0.015:unsupported->decline;(+21 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.adb_111_34_index_check___00.smt2	unsat	0	107	6	q:mbqi-quick	q:forall-exists-witness	q:mbqi-quick	5	8	na	na	na	(+9 segments of other stages dropped)	none
AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.adb_33_26_index_check___00.smt2	unsat	0	107	6	q:mbqi-quick	q:forall-exists-witness	q:mbqi-quick	12	16	na	na	na	(+9 segments of other stages dropped)	none
AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.ads_21_14_postcondition___00.smt2	unknown	0	16321	19	none	q:mbqi	fd:bounded-completeness-unsat	7788	16272	na	na	na	egraph@8.458:declined;(+156 segments of other stages dropped)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
AUFDTLIRA/20200306-Kanig/spark2014bench/K930-012__post__p.ads_6_36_index_check___00.smt2	unsat	0	107	6	q:mbqi-quick	q:mbqi-quick	q:mbqi-quick	7	11	na	na	na	(+9 segments of other stages dropped)	none
AUFDTLIRA/20200306-Kanig/spark2014bench/KB04-013__expr_action__search.adb_13_61_overflow_check___00.smt2	unsat	0	107	6	q:mbqi-quick	q:mbqi-quick	q:mbqi-quick	9	13	na	na	na	(+9 segments of other stages dropped)	none
AUFDTLIRA/20200306-Kanig/spark2014bench/KB25-003__slices__pack.adb_65_22_assert___00.smt2	unknown	0	11917	19	none	q:mbqi	fd:bounded-completeness-unsat	9571	11881	na	na	na	egraph@2.298:declined;(+772 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 165 rounds (no further instance to admit; more rounds cannot help)
AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	unknown	0	506	20	none	q:egraph	fd:bounded-completeness-unsat	373	386	na	na	na	egraph@0.374:declined;(+277 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
AUFDTLIRA/20200306-Kanig/spark2014bench/L831-003__not_in__lcp.ads_9_54_index_check___00.smt2	unsat	0	107	7	q:mbqi-quick	q:valid-universal-qf	q:mbqi-quick	15	25	na	na	na	(+9 segments of other stages dropped)	none
