driver,driver_sha256,index,check_id,query_sha256,purpose,outcome,warm_execution,active_constraint_count,query_occurrences_per_run,cold_total_nanos,cold_unattributed_nanos,warm_total_nanos,warm_unattributed_nanos,cold_aig_nodes,cold_cnf_variables,cold_cnf_clauses,warm_aig_nodes_added,warm_cnf_variables_added,warm_cnf_clauses_added,cold_arena_create_nanos,cold_translation_nanos,cold_solver_create_nanos,cold_word_rewrite_nanos,cold_bit_blast_nanos,cold_cnf_encode_nanos,cold_solve_nanos,cold_model_lift_nanos,cold_replay_nanos,cold_model_extract_nanos,warm_session_create_nanos,warm_translation_nanos,warm_word_rewrite_nanos,warm_bit_blast_nanos,warm_cnf_encode_nanos,warm_solve_nanos,warm_model_lift_nanos,warm_replay_nanos,warm_model_extract_nanos
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,0,check-0,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,address-concretization,sat,warm-created,0,18,54410,10913,68120,12888,1,0,0,0,0,0,3832,322,31777,0,0,0,4377,2582,412,195,52423,0,0,0,0,1792,747,151,119
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,1,check-1,677bf2cc8a3bcb0e5986bd86d364bc751811f0c45f82802b5817931ff658cca8,address-concretization,sat,warm-retained,1,1,72702,9612,47167,18983,1,1,2,0,2,2,97,15327,8962,0,16715,5576,2666,877,12719,151,0,5916,0,11039,2519,4286,671,3597,156
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,2,check-2,02c1112cba8d5bb5e5c3ed06c22d1f1594950101277de2f8b3b5978f67f02c0a,concrete-evaluation,sat,warm-retained,2,1,89136,14703,100701,60410,1,1,2,0,1,1,243,13510,6794,0,27520,8160,6532,1912,9392,370,0,8530,0,4150,5083,8664,2357,11067,440
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,3,check-3,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,concrete-evaluation,sat,warm-created,0,18,55205,8138,88675,39111,1,0,0,0,0,0,350,274,34570,0,0,0,7519,3237,638,479,36633,0,0,0,0,8437,3280,752,462
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,4,check-4,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,concrete-evaluation,sat,warm-created,0,18,60124,8298,115899,35473,1,0,0,0,0,0,355,264,38750,0,0,0,7933,3351,696,477,67883,0,0,0,0,8550,2924,551,518
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,5,check-5,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,concrete-evaluation,sat,warm-created,0,18,53357,7624,91130,35033,1,0,0,0,0,0,433,264,33702,0,0,0,7310,2966,614,444,43569,0,0,0,0,8524,2859,606,539
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,6,check-6,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,concrete-evaluation,sat,warm-created,0,18,69651,7750,90490,35690,1,0,0,0,0,0,337,252,49971,0,0,0,7269,3060,593,419,43177,0,0,0,0,7495,2956,551,621
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,7,check-7,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,address-concretization,sat,warm-created,0,18,59921,14565,80450,35309,1,0,0,0,0,0,324,253,33575,0,0,0,7089,3016,653,446,32841,0,0,0,0,8135,3082,595,488
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,8,check-8,8d16e01d236082781c4601f339bcd71fd4a1160aff27e99516ac9f4ae05331a5,address-concretization,sat,warm-retained,1,1,118899,18970,139171,51157,1,1,2,0,2,2,348,18983,9931,0,33875,11869,8546,2892,12995,490,0,18311,0,33812,8136,13110,2583,11490,572
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,9,check-9,5f265a205dae39a71baeaa26cc594785750b441fa7fa9bc498febc86c3529598,address-concretization,sat,warm-retained,2,1,117549,20600,96264,51099,1,1,2,0,1,1,401,18613,9675,0,34264,11532,7648,2560,11801,455,0,9168,0,4328,5623,10710,2606,12233,497
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,10,check-10,580c391dbdddf36b9a3c7841596ee83b64a794431f5b5668d1ba1eb78629a621,address-concretization,sat,warm-retained,3,1,148626,23167,128938,49964,1,1,2,0,1,1,425,25173,9094,0,51336,10993,8888,2634,16412,504,0,15991,0,25458,5857,11576,2521,17039,532
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,11,check-11,69b8bfeed43af74d0112d2f193371a704d911b1205ab798ee06b3d9ecdae19bc,concrete-evaluation,sat,warm-retained,4,1,178496,28115,126916,51960,1,1,2,0,1,1,335,30228,10107,0,66072,11997,8050,2624,20505,463,0,12870,0,22295,6281,10088,2598,20294,530
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,12,check-12,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,address-concretization,sat,warm-created,0,18,58242,7633,92944,35829,1,0,0,0,0,0,330,254,38509,0,0,0,7247,3128,659,482,45967,0,0,0,0,7182,2851,605,510
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,13,check-13,2e9409e253dc75d54f4b6087dcd5863ab4ecacb4ceee34fb32db6c81cd54a4b2,address-concretization,sat,warm-retained,1,3,130991,15879,137888,50224,1,1,2,0,2,2,510,17660,32342,0,30052,11330,7922,2674,12144,478,0,18201,0,32601,8001,13660,2653,12036,512
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,14,check-14,068c2872e022bc5b9f13e3206d72824123329da32fd97f4e36f7c8ca562198c0,address-concretization,sat,warm-retained,2,3,148920,20561,151268,50087,1,1,2,0,1,1,363,27537,9105,0,51936,10729,9236,2530,16428,495,0,17905,0,47829,5609,9237,2724,17360,517
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,15,check-15,8f2ff85946ce2b5328f6f8c7faf8e334c973acd9c2af7521222f0387321b6930,address-concretization,sat,warm-retained,3,3,178355,24976,132067,49769,1,1,2,0,1,1,324,28513,10308,0,71564,11841,7777,2574,19968,510,0,14062,0,27336,5476,9989,2555,22396,484
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,16,check-16,b091591308aaa9f4a54e1096605c931560edbeb34434bf0d7e51b6d943b96918,address-concretization,sat,warm-retained,4,1,230057,29793,175845,63156,1,1,2,0,1,1,328,39646,9424,0,102946,11852,7705,2754,25156,453,0,22994,0,34150,6870,12412,3083,32575,605
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,17,check-17,441b771f677c2d93101be12e2e39d0f6479c2c473b9bbd37dbf3b2e738335e02,address-concretization,sat,warm-retained,5,1,84461,12174,48726,18390,1,1,2,0,1,1,106,14118,3408,0,36575,4062,2830,970,10074,144,0,5375,0,6996,2328,4249,846,10403,139
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,18,check-18,e5dbd482839f3381a030901ef50503af5fa7355f3078edf4bca1c67767a20dd8,address-concretization,sat,warm-retained,6,1,244189,31980,135391,45327,1,1,2,0,1,1,277,40067,7180,0,105108,9420,7438,2037,40322,360,0,13724,0,27728,5008,10706,2362,30063,473
windows-update-intel-audio-IntcSST.sys,f7c8e4f106baa5b2a1a18e60731ad42a6f734aee1d049576eaf6d123d5629750,19,check-19,a49dd390789c941e26725ae80c6ecc4de4981fa8e866aa887db624857b890673,finding-reachability,sat,warm-retained,7,2,314516,45910,136992,57491,1,1,2,0,1,1,266,55514,10697,0,144170,12962,7711,2880,33873,533,0,13053,0,4213,6911,13041,3322,38409,552
