index	colours	verdict	solve_s	steps	adds	check	check_s
1	1,1,1,1,2	unsat	0.005	1	1	passed	0.006
2	1,1,1,1,3	unsat	0.006	1	1	passed	0.006
0	1,1,1,1,1	unsat	0.006	1	1	passed	0.007
3	1,1,1,1,4	unsat	0.004	1	1	passed	0.008
4	1,1,1,2,1	unsat	0.004	1	1	passed	0.008
5	1,1,1,2,2	unsat	0.004	1	1	passed	0.007
6	1,1,1,2,3	unsat	0.004	1	1	passed	0.006
8	1,1,1,3,1	unsat	0.003	1	1	passed	0.005
7	1,1,1,2,4	unsat	0.011	1	1	passed	0.006
9	1,1,1,3,2	unsat	0.002	1	1	passed	0.005
10	1,1,1,3,3	unsat	0.002	1	1	passed	0.006
11	1,1,1,3,4	unsat	0.002	1	1	passed	0.006
12	1,1,1,4,1	unsat	0.003	1	1	passed	0.006
13	1,1,1,4,2	unsat	0.003	1	1	passed	0.005
14	1,1,1,4,3	unsat	0.002	1	1	passed	0.006
15	1,1,1,4,4	unsat	0.002	1	1	passed	0.005
17	1,1,2,1,2	unsat	70.341	2836333	1435562	deferred	0.000
19	1,1,2,1,4	unsat	0.003	1	1	passed	0.008
20	1,1,2,2,1	unsat	31.779	1519522	773066	deferred	0.000
21	1,1,2,2,2	unsat	25.715	1279486	647978	deferred	0.000
18	1,1,2,1,3	unsat	136.112	4931204	2485356	deferred	0.000
23	1,1,2,2,4	unsat	0.003	1	1	passed	0.008
22	1,1,2,2,3	unsat	19.440	1046609	533003	deferred	0.000
16	1,1,2,1,1	unsat	162.146	5384527	2719105	deferred	0.000
25	1,1,2,3,2	unsat	47.328	2211900	1119293	deferred	0.000
26	1,1,2,3,3	unsat	126.691	4729123	2388996	deferred	0.000
28	1,1,2,4,1	unsat	0.003	1	1	passed	0.008
29	1,1,2,4,2	unsat	0.003	1	1	passed	0.008
30	1,1,2,4,3	unsat	0.003	1	1	passed	0.008
31	1,1,2,4,4	unsat	0.003	1	1	passed	0.008
32	1,1,3,1,1	unsat	0.003	1	1	passed	0.008
33	1,1,3,1,2	unsat	0.003	1	1	passed	0.008
34	1,1,3,1,3	unsat	0.003	1	1	passed	0.008
35	1,1,3,1,4	unsat	0.003	1	1	passed	0.008
36	1,1,3,2,1	unsat	0.003	1	1	passed	0.008
37	1,1,3,2,2	unsat	0.003	1	1	passed	0.008
38	1,1,3,2,3	unsat	0.003	1	1	passed	0.008
39	1,1,3,2,4	unsat	0.003	1	1	passed	0.008
40	1,1,3,3,1	unsat	0.003	1	1	passed	0.008
41	1,1,3,3,2	unsat	0.003	1	1	passed	0.008
42	1,1,3,3,3	unsat	0.003	1	1	passed	0.008
43	1,1,3,3,4	unsat	0.003	1	1	passed	0.008
44	1,1,3,4,1	unsat	0.003	1	1	passed	0.008
45	1,1,3,4,2	unsat	0.003	1	1	passed	0.008
46	1,1,3,4,3	unsat	0.003	1	1	passed	0.008
47	1,1,3,4,4	unsat	0.003	1	1	passed	0.008
48	1,1,4,1,1	unsat	0.003	1	1	passed	0.008
49	1,1,4,1,2	unsat	0.003	1	1	passed	0.008
50	1,1,4,1,3	unsat	0.003	1	1	passed	0.008
51	1,1,4,1,4	unsat	0.003	1	1	passed	0.008
52	1,1,4,2,1	unsat	0.003	1	1	passed	0.008
53	1,1,4,2,2	unsat	0.003	1	1	passed	0.008
54	1,1,4,2,3	unsat	0.003	1	1	passed	0.008
55	1,1,4,2,4	unsat	0.003	1	1	passed	0.008
56	1,1,4,3,1	unsat	0.003	1	1	passed	0.008
57	1,1,4,3,2	unsat	0.003	1	1	passed	0.008
58	1,1,4,3,3	unsat	0.003	1	1	passed	0.008
59	1,1,4,3,4	unsat	0.003	1	1	passed	0.008
60	1,1,4,4,1	unsat	0.003	1	1	passed	0.008
61	1,1,4,4,2	unsat	0.003	1	1	passed	0.008
62	1,1,4,4,3	unsat	0.003	1	1	passed	0.008
63	1,1,4,4,4	unsat	0.003	1	1	passed	0.008
64	1,2,1,1,1	unsat	0.003	1	1	passed	0.005
65	1,2,1,1,2	unsat	0.003	1	1	passed	0.005
66	1,2,1,1,3	unsat	0.003	1	1	passed	0.005
67	1,2,1,1,4	unsat	0.003	1	1	passed	0.005
68	1,2,1,2,1	unsat	0.003	1	1	passed	0.005
69	1,2,1,2,2	unsat	0.003	1	1	passed	0.006
70	1,2,1,2,3	unsat	0.003	1	1	passed	0.005
71	1,2,1,2,4	unsat	0.003	1	1	passed	0.005
72	1,2,1,3,1	unsat	0.003	1	1	passed	0.006
73	1,2,1,3,2	unsat	0.003	1	1	passed	0.006
74	1,2,1,3,3	unsat	0.003	1	1	passed	0.006
75	1,2,1,3,4	unsat	0.003	1	1	passed	0.005
76	1,2,1,4,1	unsat	0.003	1	1	passed	0.005
77	1,2,1,4,2	unsat	0.003	1	1	passed	0.005
78	1,2,1,4,3	unsat	0.003	1	1	passed	0.005
79	1,2,1,4,4	unsat	0.003	1	1	passed	0.006
27	1,1,2,3,4	unsat	107.631	4152846	2095698	deferred	0.000
81	1,2,2,1,2	unsat	0.003	1	1	passed	0.005
24	1,1,2,3,1	unsat	177.081	6132621	3086426	deferred	0.000
83	1,2,2,1,4	unsat	0.003	1	1	passed	0.009
80	1,2,2,1,1	unsat	47.230	2166790	1092626	deferred	0.000
85	1,2,2,2,2	unsat	0.003	1	1	passed	0.006
84	1,2,2,2,1	unsat	26.875	1365118	692377	deferred	0.000
87	1,2,2,2,4	unsat	0.003	1	1	passed	0.008
86	1,2,2,2,3	unsat	15.427	814405	418046	deferred	0.000
89	1,2,2,3,2	unsat	0.003	1	1	passed	0.005
82	1,2,2,1,3	unsat	53.204	2428010	1223845	deferred	0.000
88	1,2,2,3,1	unsat	43.648	2004280	1017501	deferred	0.000
92	1,2,2,4,1	unsat	0.003	1	1	passed	0.008
93	1,2,2,4,2	unsat	0.003	1	1	passed	0.005
94	1,2,2,4,3	unsat	0.003	1	1	passed	0.008
95	1,2,2,4,4	unsat	0.003	1	1	passed	0.008
91	1,2,2,3,4	unsat	29.903	1489390	758400	deferred	0.000
90	1,2,2,3,3	unsat	50.279	2314976	1166974	deferred	0.000
98	1,2,3,1,3	unsat	56.439	2502177	1261928	deferred	0.000
96	1,2,3,1,1	unsat	199.039	6559985	3301417	deferred	0.000
97	1,2,3,1,2	unsat	202.071	6614235	3323160	deferred	0.000
99	1,2,3,1,4	unsat	131.251	4606216	2319016	deferred	0.000
102	1,2,3,2,3	unsat	38.816	1831088	927560	deferred	0.000
101	1,2,3,2,2	unsat	128.569	4892534	2473342	deferred	0.000
100	1,2,3,2,1	unsat	146.115	5388738	2720853	deferred	0.000
103	1,2,3,2,4	unsat	127.236	4730930	2391017	deferred	0.000
104	1,2,3,3,1	unsat	42.932	2041945	1038372	deferred	0.000
105	1,2,3,3,2	unsat	30.476	1519790	773284	deferred	0.000
107	1,2,3,3,4	unsat	15.717	925647	472823	deferred	0.000
106	1,2,3,3,3	unsat	37.253	1859153	941045	deferred	0.000
110	1,2,3,4,3	unsat	31.512	1579317	803046	deferred	0.000
109	1,2,3,4,2	unsat	115.318	4300085	2167974	deferred	0.000
112	1,2,4,1,1	unsat	0.003	1	1	passed	0.008
113	1,2,4,1,2	unsat	0.003	1	1	passed	0.008
114	1,2,4,1,3	unsat	0.003	1	1	passed	0.008
115	1,2,4,1,4	unsat	0.003	1	1	passed	0.008
116	1,2,4,2,1	unsat	0.003	1	1	passed	0.008
117	1,2,4,2,2	unsat	0.003	1	1	passed	0.008
118	1,2,4,2,3	unsat	0.003	1	1	passed	0.008
119	1,2,4,2,4	unsat	0.003	1	1	passed	0.008
120	1,2,4,3,1	unsat	0.003	1	1	passed	0.008
121	1,2,4,3,2	unsat	0.003	1	1	passed	0.008
122	1,2,4,3,3	unsat	0.003	1	1	passed	0.008
123	1,2,4,3,4	unsat	0.003	1	1	passed	0.008
124	1,2,4,4,1	unsat	0.003	1	1	passed	0.008
125	1,2,4,4,2	unsat	0.003	1	1	passed	0.008
126	1,2,4,4,3	unsat	0.003	1	1	passed	0.008
127	1,2,4,4,4	unsat	0.003	1	1	passed	0.008
128	1,3,1,1,1	unsat	0.003	1	1	passed	0.005
129	1,3,1,1,2	unsat	0.003	1	1	passed	0.006
130	1,3,1,1,3	unsat	0.003	1	1	passed	0.005
131	1,3,1,1,4	unsat	0.003	1	1	passed	0.005
132	1,3,1,2,1	unsat	0.003	1	1	passed	0.005
133	1,3,1,2,2	unsat	0.003	1	1	passed	0.006
134	1,3,1,2,3	unsat	0.003	1	1	passed	0.006
135	1,3,1,2,4	unsat	0.003	1	1	passed	0.005
136	1,3,1,3,1	unsat	0.003	1	1	passed	0.005
137	1,3,1,3,2	unsat	0.003	1	1	passed	0.006
138	1,3,1,3,3	unsat	0.003	1	1	passed	0.006
139	1,3,1,3,4	unsat	0.003	1	1	passed	0.006
140	1,3,1,4,1	unsat	0.003	1	1	passed	0.005
141	1,3,1,4,2	unsat	0.004	1	1	passed	0.008
142	1,3,1,4,3	unsat	0.003	1	1	passed	0.006
143	1,3,1,4,4	unsat	0.003	1	1	passed	0.005
144	1,3,2,1,1	unsat	0.003	1	1	passed	0.008
145	1,3,2,1,2	unsat	0.003	1	1	passed	0.008
146	1,3,2,1,3	unsat	0.003	1	1	passed	0.008
147	1,3,2,1,4	unsat	0.003	1	1	passed	0.008
148	1,3,2,2,1	unsat	0.003	1	1	passed	0.008
