index	colours	verdict	solve_s	steps	adds	check	check_s
0	1,1,1,1,1,1	unsat	0	1	1	passed	0.080
1	1,1,1,1,1,2	unsat	0	1	1	passed	0.080
2	1,1,1,1,1,3	unsat	0	1	1	passed	0.069
3	1,1,1,1,1,4	unsat	0	1	1	passed	0.077
4	1,1,1,1,2,1	unsat	0	1	1	passed	0.080
5	1,1,1,1,2,2	unsat	0	1	1	passed	0.080
6	1,1,1,1,2,3	unsat	0	1	1	passed	0.079
7	1,1,1,1,2,4	unsat	0	1	1	passed	0.062
8	1,1,1,1,3,1	unsat	0	1	1	passed	0.081
9	1,1,1,1,3,2	unsat	0	1	1	passed	0.053
10	1,1,1,1,3,3	unsat	0	1	1	passed	0.080
11	1,1,1,1,3,4	unsat	0	1	1	passed	0.068
12	1,1,1,1,4,1	unsat	0	1	1	passed	0.080
13	1,1,1,1,4,2	unsat	0	1	1	passed	0.069
14	1,1,1,1,4,3	unsat	0	1	1	passed	0.081
15	1,1,1,1,4,4	unsat	0	1	1	passed	0.062
16	1,1,1,2,1,1	unsat	0	1	1	passed	0.070
17	1,1,1,2,1,2	unsat	0	1	1	passed	0.068
18	1,1,1,2,1,3	unsat	0	1	1	passed	0.067
19	1,1,1,2,1,4	unsat	0	1	1	passed	0.072
20	1,1,1,2,2,1	unsat	0	1	1	passed	0.069
21	1,1,1,2,2,2	unsat	0	1	1	passed	0.053
22	1,1,1,2,2,3	unsat	0	1	1	passed	0.069
23	1,1,1,2,2,4	unsat	0	1	1	passed	0.067
24	1,1,1,2,3,1	unsat	0	1	1	passed	0.068
25	1,1,1,2,3,2	unsat	0	1	1	passed	0.067
26	1,1,1,2,3,3	unsat	0	1	1	passed	0.068
27	1,1,1,2,3,4	unsat	0	1	1	passed	0.067
28	1,1,1,2,4,1	unsat	0	1	1	passed	0.053
29	1,1,1,2,4,2	unsat	0	1	1	passed	0.055
30	1,1,1,2,4,3	unsat	0	1	1	passed	0.065
31	1,1,1,2,4,4	unsat	0	1	1	passed	0.068
32	1,1,1,3,1,1	unsat	0	1	1	passed	0.064
33	1,1,1,3,1,2	unsat	0	1	1	passed	0.067
34	1,1,1,3,1,3	unsat	0	1	1	passed	0.068
35	1,1,1,3,1,4	unsat	0	1	1	passed	0.065
36	1,1,1,3,2,1	unsat	0	1	1	passed	0.071
37	1,1,1,3,2,2	unsat	0	1	1	passed	0.066
38	1,1,1,3,2,3	unsat	0	1	1	passed	0.067
39	1,1,1,3,2,4	unsat	0	1	1	passed	0.071
40	1,1,1,3,3,1	unsat	0	1	1	passed	0.067
41	1,1,1,3,3,2	unsat	0	1	1	passed	0.054
42	1,1,1,3,3,3	unsat	0	1	1	passed	0.051
43	1,1,1,3,3,4	unsat	0	1	1	passed	0.067
44	1,1,1,3,4,1	unsat	0	1	1	passed	0.070
45	1,1,1,3,4,2	unsat	0	1	1	passed	0.061
46	1,1,1,3,4,3	unsat	0	1	1	passed	0.065
47	1,1,1,3,4,4	unsat	0	1	1	passed	0.070
48	1,1,1,4,1,1	unsat	0	1	1	passed	0.068
49	1,1,1,4,1,2	unsat	0	1	1	passed	0.069
50	1,1,1,4,1,3	unsat	0	1	1	passed	0.067
51	1,1,1,4,1,4	unsat	0	1	1	passed	0.067
52	1,1,1,4,2,1	unsat	0	1	1	passed	0.068
53	1,1,1,4,2,2	unsat	0	1	1	passed	0.068
54	1,1,1,4,2,3	unsat	0	1	1	passed	0.070
55	1,1,1,4,2,4	unsat	0	1	1	passed	0.068
56	1,1,1,4,3,1	unsat	0	1	1	passed	0.055
57	1,1,1,4,3,2	unsat	0	1	1	passed	0.060
58	1,1,1,4,3,3	unsat	0	1	1	passed	0.065
59	1,1,1,4,3,4	unsat	0	1	1	passed	0.055
60	1,1,1,4,4,1	unsat	0	1	1	passed	0.068
61	1,1,1,4,4,2	unsat	0	1	1	passed	0.067
62	1,1,1,4,4,3	unsat	0	1	1	passed	0.069
63	1,1,1,4,4,4	unsat	0	1	1	passed	0.066
64	1,1,2,1,1,1	unsat	0	1	1	passed	0.068
65	1,1,2,1,1,2	unsat	0	1	1	passed	0.066
66	1,1,2,1,1,3	unsat	0	1	1	passed	0.069
67	1,1,2,1,1,4	unsat	0	1	1	passed	0.068
68	1,1,2,1,2,1	unsat	0	1	1	passed	0.069
69	1,1,2,1,2,2	unsat	0	1	1	passed	0.070
70	1,1,2,1,2,3	unsat	0	1	1	passed	0.069
71	1,1,2,1,2,4	unsat	0	1	1	passed	0.052
72	1,1,2,1,3,1	unsat	0	1	1	passed	0.055
73	1,1,2,1,3,2	unsat	0	1	1	passed	0.068
74	1,1,2,1,3,3	unsat	0	1	1	passed	0.059
75	1,1,2,1,3,4	unsat	0	1	1	passed	0.054
76	1,1,2,1,4,1	unsat	0	1	1	passed	0.059
77	1,1,2,1,4,2	unsat	0	1	1	passed	0.067
78	1,1,2,1,4,3	unsat	0	1	1	passed	0.067
79	1,1,2,1,4,4	unsat	0	1	1	passed	0.069
80	1,1,2,2,1,1	unsat	0	1	1	passed	0.067
81	1,1,2,2,1,2	unsat	0	1	1	passed	0.067
