file	z3s6	z3s6_ms	z3s2	z3s2_ms	cvc5	cvc5_ms
QF_LRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	timeout	24031	timeout	24032	none	26214
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2	sat	3411	sat	3811	sat	10417
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2	timeout	24130	timeout	24032	none	26222
QF_LRA/LassoRanker/CooperatingT2/sumit.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	timeout	24032	timeout	24031	none	26209
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_4-nestedTemplate.smt2	sat	13521	sat	12517	none	26317
QF_LRA/LassoRanker/SV-COMP/BradleyMannaSipma-2005CAV-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2	timeout	24132	timeout	24127	none	26818
QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2	timeout	24133	timeout	24126	none	26312
QF_LRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	unsat	23532	unsat	19823	none	26313
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Loop_7-phaseTemplate.smt2	timeout	24027	timeout	24030	none	26226
QF_LRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Loop_5-phaseTemplate.smt2	unsat	5315	unsat	5214	none	26225
QF_LRA/LassoRanker/Ultimate/2013POPL-BenAmGen-Ex4.2.bpl_Iteration1_Lasso_4-pieceTemplate.smt2	timeout	24032	timeout	24032	none	26220
QF_LRA/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	timeout	24026	timeout	24032	none	26217
QF_LRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Loop_6-phaseTemplate.smt2	timeout	24128	timeout	24135	none	26315
QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	sat	1509	sat	1709	sat	4813
QF_LRA/LassoRanker/Ultimate/OpposedDisjuncts.bpl_Iteration1_Lasso_2-pieceTemplate.smt2	unsat	4012	unsat	5814	unsat	19826
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_7-nestedTemplate.smt2	sat	15620	sat	16525	none	26236
QF_LRA/LassoRanker/Ultimate/SyntaxSupportBooleans5.bpl_Iteration1_Loop_4-pieceTemplate.smt2	sat	3612	sat	3613	sat	15827
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2	timeout	24132	timeout	24133	none	26213
QF_LRA/latendresse/ecoliFBAyicesTest-3875-4.smt2	sat	310	timeout	24032	none	26205
QF_LRA/miplib/fixnet-5000.smt2	timeout	24030	timeout	24032	none	26207
QF_LRA/miplib/pp08a-1000.smt2	unsat	608	unsat	4112	unsat	1008
QF_LRA/miplib/vpm2-5.smt2	unsat	709	unsat	308	unsat	2109
QF_LRA/sal/pursuit/pursuit-safety-16.smt2	unsat	107	unsat	108	unsat	208
QF_LRA/sal/tgc/tgc_io-safe-20.smt2	sat	108	sat	108	sat	208
QF_LRA/sc/sc-13.base.cvc.smt2	unsat	408	unsat	408	unsat	1410
QF_LRA/sc/sc-17.base.cvc.smt2	unsat	1509	unsat	707	unsat	4210
QF_LRA/sc/sc-21.base.cvc.smt2	unsat	2110	unsat	1509	unsat	7114
QF_LRA/sc/sc-25.base.cvc.smt2	unsat	2712	unsat	3312	unsat	16420
QF_LRA/sc/sc-29.base.cvc.smt2	unsat	3411	unsat	3211	unsat	19426
QF_LRA/sc/sc-33.base.cvc.smt2	unsat	5213	unsat	3912	none	26205
QF_LRA/sc/sc-37.base.cvc.smt2	unsat	6914	unsat	5713	none	26805
QF_LRA/sc/sc-7.base.cvc.smt2	unsat	108	unsat	108	unsat	207
QF_LRA/TM/p7-driverlogNumeric_s8.smt2	sat	1308	sat	1709	sat	6513
