file	rc	verdict	channel	bucket	detail	bound_by	modelprobe	alloc_bytes	decisions	theory_conflicts	theory_propagations	bound_scan_calls	bound_scan_atoms	simplex_pivots	simplex_rows	simplex_columns	final_check_core_literals	theory_propagate_ms	theory_final_check_ms	boolean_propagate_ms	fill_nnz_sum	fill_samples
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	0	unknown	trail	incomplete/incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	nra	simplex-declined|lra_theory:no-model-reconstructed	n/a	2434105	18149	74	2452380	345771339	126740	530	591	243192	6570	11204	929	85110147	18150
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	134	none	abort	alloc-failure	memory allocation of 626400 bytes failed	n/a	n/a	626400	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	0	unknown	trail	budget/other	lra: the deadline had already passed when the conjunctive decider was entered (an expired budget or a portfolio stop); no constraint was collected and neither engine ran	nra	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	0	unknown	trail	incomplete/incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	nra	simplex-declined|lra_theory:no-model-reconstructed	n/a	2578891	20725	87	2599784	384751604	154875	535	617	318204	7436	13816	1134	97645497	20720
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	0	unknown	trail	not-applicable/unnamed		dl-online	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 633344 bytes failed	n/a	n/a	633344	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 4256096 bytes failed	n/a	n/a	4256096	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 2193280 bytes failed	n/a	n/a	2193280	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 824960 bytes failed	n/a	n/a	824960	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 1669440 bytes failed	n/a	n/a	1669440	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 2565216 bytes failed	n/a	n/a	2565216	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 1431488 bytes failed	n/a	n/a	1431488	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 1405920 bytes failed	n/a	n/a	1405920	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 611744 bytes failed	n/a	n/a	611744	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 952544 bytes failed	n/a	n/a	952544	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 1317120 bytes failed	n/a	n/a	1317120	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 2939648 bytes failed	n/a	n/a	2939648	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	134	none	abort	alloc-failure	memory allocation of 1776608 bytes failed	n/a	n/a	1776608	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
