file	z3s6	z3s6_ms	z3s2	z3s2_ms	cvc5	cvc5_ms
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	unsat	1208	unsat	3910	unsat	1108
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	timeout	24029	timeout	24025	none	26205
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	timeout	24027	timeout	24028	none	26205
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	unsat	709	unsat	1809	unsat	1310
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	sat	5913	sat	4011	sat	21428
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unsat	5513	unsat	11819	unsat	12218
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	timeout	24129	timeout	24129	none	26332
QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	unsat	1408	unsat	15321	none	26230
QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	timeout	24030	timeout	24029	none	26223
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	timeout	24030	timeout	24031	none	26206
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	sat	16621	sat	8917	none	26206
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	timeout	24031	timeout	24031	none	26206
QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	timeout	24131	sat	11218	none	26221
QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	sat	7314	sat	4712	none	26205
QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	sat	1609	sat	1209	sat	23629
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	timeout	24132	timeout	24032	none	26220
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	timeout	24133	timeout	24131	none	26315
QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	sat	17325	sat	22329	none	26218
QF_LRA/LassoRanker/SV-COMP/Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	unsat	8114	unsat	6013	none	26209
QF_LRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	timeout	24132	unsat	17122	none	26216
QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration1_Loop_7-phaseTemplate.smt2	sat	1109	sat	7916	sat	18327
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2	timeout	24031	timeout	24030	none	26217
QF_LRA/LassoRanker/SV-COMP/Masse_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	unsat	12220	unsat	6014	none	26210
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	timeout	24133	timeout	24133	none	26321
QF_LRA/LassoRanker/Ultimate/bound-scaled600.bpl_Iteration1_Loop_7-phaseTemplate.smt2	timeout	24132	timeout	24126	none	26323
QF_LRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unsat	3712	unsat	6516	none	26216
QF_LRA/LassoRanker/Ultimate/Gcd.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	timeout	24030	timeout	24034	none	26221
QF_LRA/LassoRanker/Ultimate/Lobnya-Boolean-Reordered.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unsat	9716	timeout	24027	none	26230
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	timeout	24231	timeout	24331	none	26309
QF_LRA/LassoRanker/Ultimate/simple-scaled250.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	timeout	24129	timeout	24129	none	26310
QF_LRA/LassoRanker/Ultimate/TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2	timeout	24128	timeout	24127	none	26210
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_7-phaseTemplate.smt2	timeout	24131	timeout	24127	none	26203
QF_LRA/miplib/danoint-266.smt2	sat	2309	timeout	24028	sat	17023
QF_LRA/miplib/opt1217--57.smt2	timeout	24025	timeout	24029	none	26206
QF_LRA/miplib/pp08a-7349.smt2	timeout	24022	timeout	24028	none	26205
QF_LRA/sal/carpark/Carpark2-ausgabe-8.smt2	sat	109	sat	108	sat	108
QF_LRA/sal/tgc/tgc_io-safe-13.smt2	unsat	107	unsat	108	unsat	108
QF_LRA/sc/sc-11.base.cvc.smt2	unsat	308	unsat	207	unsat	1008
QF_LRA/sc/sc-15.base.cvc.smt2	unsat	608	unsat	709	unsat	3211
QF_LRA/sc/sc-19.base.cvc.smt2	unsat	2010	unsat	1210	unsat	8316
QF_LRA/sc/sc-23.base.cvc.smt2	unsat	2009	unsat	1608	unsat	12119
QF_LRA/sc/sc-27.base.cvc.smt2	unsat	2911	unsat	2911	unsat	21428
QF_LRA/sc/sc-31.base.cvc.smt2	unsat	4411	unsat	4511	none	26204
QF_LRA/sc/sc-35.base.cvc.smt2	unsat	6314	unsat	5613	none	26210
QF_LRA/sc/sc-39.base.cvc.smt2	unsat	12420	unsat	7615	none	26218
QF_LRA/sc/sc-9.base.cvc.smt2	unsat	108	unsat	208	unsat	608
