file	rc	ms	verdict	probes	capture
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	0	24131	unknown	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_2017-Heizmann-UltimateInvariantSynthesis__count_by_k.i_3_3_2.bpl_7.smt2.out
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	134	6302	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_2017-Heizmann-UltimateInvariantSynthesis__sanfoundry_10_ground.i_6_3_3.bpl_13.smt2.out
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	0	24132	unknown	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_2017-Heizmann-UltimateInvariantSynthesis__standard_init5_ground.i_3_2_2.bpl_7.smt2.out
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	0	24032	unknown	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_2017-Heizmann-UltimateInvariantSynthesis__standard_two_index_06.i_3_2_2.bpl_7.smt2.out
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	0	25140	unknown	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_2019-ezsmt_Labyrinth_SCC_Strong_0132-labyrinth-12-0.smt2.out
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	134	6115	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	134	14606	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	134	9907	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	134	6012	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	134	7405	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	134	7899	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	134	7394	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	134	8297	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	134	6009	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	134	6900	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	134	7649	none	1	/nas3/data/axeyum/harness/lra-trace/out/captures-s00/QF_LRA_LassoRanker_CooperatingT2_sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2.out
