run	index	choices	verdict	solve_s	steps	adds	check	check_s
b1	21	1,1,1	unsat	0.056	1	1	passed	0.586
b1	22	1,1,2	unsat	0.053	1	1	passed	0.552
b1	23	1,1,3	unsat	0.062	1	1	passed	0.656
b1	24	1,1,4	unsat	0.076	1	1	passed	0.616
b1	25	1,2,1	unsat	0.059	1	1	passed	0.585
b1	26	1,2,2	unsat	0.075	1	1	passed	0.694
b1	27	1,2,3	unsat	0.069	1	1	passed	0.611
b1	28	1,2,4	unsat	0.060	1	1	passed	0.582
b1	29	1,3,1	unsat	0.057	1	1	passed	0.560
b1	30	1,3,2	unsat	0.072	1	1	passed	0.479
b1	31	1,3,3	unsat	0.062	1	1	passed	0.607
b1	32	1,3,4	unsat	0.075	1	1	passed	0.683
b1	33	1,4,1	unsat	0.066	1	1	passed	0.609
b1	34	1,4,2	unsat	0.064	1	1	passed	0.617
b1	35	1,4,3	unsat	0.057	1	1	passed	0.570
b1	36	1,4,4	unsat	0.066	1	1	passed	0.656
b4	234	3,2,2,2	unsat	0.042	1	1	passed	0.642
c4b	287	4,1,3,3	unsat	0.060	1	1	passed	0.547
c4b	295	4,2,1,3	unsat	0.024	1	1	passed	0.509
c4b	297	4,2,2,1	unsat	0.024	1	1	passed	0.453
c4b	298	4,2,2,2	unsat	0.024	1	1	passed	0.459
c4b	299	4,2,2,3	unsat	0.027	1	1	passed	0.460
c4b	300	4,2,2,4	unsat	0.025	1	1	passed	0.465
c4b	303	4,2,3,3	unsat	0.030	1	1	passed	0.455
c4b	307	4,2,4,3	unsat	0.022	1	1	passed	0.506
c4b	319	4,3,3,3	unsat	0.025	1	1	passed	0.503
c4b	335	4,4,3,3	unsat	0.025	1	1	passed	0.514
b1	597	2,1,1,1,1	unsat	8.461	281815	146384	passed	7.719
b1	598	2,1,1,1,2	unsat	0.025	1	1	passed	0.506
b3	602	2,1,1,2,2	unsat	0.022	1	1	passed	0.453
b3	605	2,1,1,3,1	unsat	9.026	296642	154386	passed	7.542
b3	606	2,1,1,3,2	unsat	0.023	1	1	passed	0.461
b3	607	2,1,1,3,3	unsat	8.188	232306	121001	passed	5.863
b3	608	2,1,1,3,4	unsat	7.298	280963	145169	passed	7.021
b3	609	2,1,1,4,1	unsat	9.536	323530	168012	passed	9.023
b3	610	2,1,1,4,2	unsat	0.024	1	1	passed	0.440
b3	612	2,1,1,4,4	unsat	7.261	217618	112017	passed	5.983
b1	614	2,1,2,1,2	unsat	0.022	1	1	passed	0.530
b3	618	2,1,2,2,2	unsat	0.023	1	1	passed	0.445
b3	621	2,1,2,3,1	unsat	7.019	242694	125442	passed	6.754
b3	622	2,1,2,3,2	unsat	0.024	1	1	passed	0.524
b3	623	2,1,2,3,3	unsat	14.783	379759	195164	passed	12.134
b3	624	2,1,2,3,4	unsat	4.209	195407	101123	passed	4.240
b3	626	2,1,2,4,2	unsat	0.024	1	1	passed	0.483
b3	628	2,1,2,4,4	unsat	11.436	377527	193437	passed	11.297
b1	629	2,1,3,1,1	unsat	9.267	282514	146663	passed	7.925
b3	630	2,1,3,1,2	unsat	0.024	1	1	passed	0.505
b3	633	2,1,3,2,1	unsat	6.673	184175	95034	passed	5.434
b3	634	2,1,3,2,2	unsat	0.021	1	1	passed	0.449
b3	636	2,1,3,2,4	unsat	5.159	240390	123283	passed	5.129
b3	637	2,1,3,3,1	unsat	12.177	349505	179513	passed	11.897
b3	638	2,1,3,3,2	unsat	0.023	1	1	passed	0.507
b3	639	2,1,3,3,3	unsat	4.789	164475	85546	passed	4.156
b3	640	2,1,3,3,4	unsat	3.549	165383	86533	passed	3.844
b3	641	2,1,3,4,1	unsat	2.881	188587	99340	passed	4.359
b3	642	2,1,3,4,2	unsat	0.024	1	1	passed	0.520
b3	643	2,1,3,4,3	unsat	4.572	198561	104225	passed	4.660
b3	644	2,1,3,4,4	unsat	1.805	88208	47603	passed	1.991
b3	646	2,1,4,1,2	unsat	0.026	1	1	passed	0.527
b3	647	2,1,4,1,3	unsat	8.135	307984	159033	passed	8.130
b3	650	2,1,4,2,2	unsat	0.026	1	1	passed	0.524
b3	651	2,1,4,2,3	unsat	5.460	242719	125551	passed	4.905
b3	653	2,1,4,3,1	unsat	5.254	234169	122762	passed	5.629
b3	654	2,1,4,3,2	unsat	0.024	1	1	passed	0.497
b3	655	2,1,4,3,3	unsat	2.306	100423	52336	passed	1.875
b3	656	2,1,4,3,4	unsat	4.960	197557	103232	passed	4.628
b3	657	2,1,4,4,1	unsat	11.324	349717	179933	passed	11.748
b3	658	2,1,4,4,2	unsat	0.065	1	1	passed	0.626
b3	660	2,1,4,4,4	unsat	8.622	257777	134396	passed	7.349
b1	661	2,2,1,1,1	unsat	13.008	352745	182922	passed	11.906
b1	662	2,2,1,1,2	unsat	0.030	1	1	passed	0.490
b3	666	2,2,1,2,2	unsat	0.035	1	1	passed	0.504
b3	669	2,2,1,3,1	unsat	11.161	333689	170708	passed	9.604
b3	670	2,2,1,3,2	unsat	0.025	1	1	passed	0.505
b3	671	2,2,1,3,3	unsat	9.187	322624	166896	passed	8.544
b3	674	2,2,1,4,2	unsat	0.049	1	1	passed	0.501
b3	675	2,2,1,4,3	unsat	10.112	379470	195266	passed	10.534
b3	676	2,2,1,4,4	unsat	8.917	297596	155342	passed	8.176
b1	678	2,2,2,1,2	unsat	0.025	1	1	passed	0.507
b1	682	2,2,2,2,2	unsat	0.028	1	1	passed	0.458
b1	686	2,2,2,3,2	unsat	0.024	1	1	passed	0.510
b1	690	2,2,2,4,2	unsat	0.023	1	1	passed	0.484
b1	694	2,2,3,1,2	unsat	0.024	1	1	passed	0.494
b1	696	2,2,3,1,4	unsat	7.527	298122	155648	passed	8.213
b1	698	2,2,3,2,2	unsat	0.024	1	1	passed	0.538
b1	702	2,2,3,3,2	unsat	0.023	1	1	passed	0.542
