file	verdict	rc	wall_s	kind	detail	decided_by	bound_by	last	bound_ms	total_ms	attempts	phase	truth	cause	mode
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13415	24102	19	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23483_edge_closing_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13322	24030	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	sat	0	21.6	none	none	int-blast-ladder	int-blast-ladder	int-blast-ladder	12080	21574	11	none	sat	OTHER: none	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Sunset.c__terminationQ_0_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	23205	24029	20	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13462	24157	19	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13341	24017	19	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unknown	0	10.9	EncodingBudget	estimated 151163361 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6701	10818	21	none	unsat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13067	24088	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13977	24041	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13370	24072	19	none	unsat	ladder-clock	no-model
