file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	a2048	sat	0	609	5	ufbv-online-cdclt	ufbv-online-cdclt	484	534	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	a4096	sat	0	610	5	ufbv-online-cdclt	ufbv-online-cdclt	464	510	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	a8192	sat	0	609	5	ufbv-online-cdclt	ufbv-online-cdclt	466	514	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	n32768	sat	0	610	5	ufbv-online-cdclt	ufbv-online-cdclt	471	518	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	n65536	sat	0	610	5	ufbv-online-cdclt	ufbv-online-cdclt	501	551	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	n262144	sat	0	610	5	ufbv-online-cdclt	ufbv-online-cdclt	487	536	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	bothmid	sat	0	610	5	ufbv-online-cdclt	ufbv-online-cdclt	477	525	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	bothmax	sat	0	610	5	ufbv-online-cdclt	ufbv-online-cdclt	480	529	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.2.prop1_ab_cti_max.smt2	base	sat	0	609	5	ufbv-online-cdclt	ufbv-online-cdclt	484	532	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	bothmid	sat	0	109	4	qf-bv	qf-bv	1	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	bothmax	sat	0	110	4	qf-bv	dl-online	1	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	base	sat	0	109	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	a2048	sat	0	109	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	a4096	sat	0	110	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	a8192	sat	0	110	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	n32768	sat	0	112	4	qf-bv	dl-online	1	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	n65536	sat	0	110	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bit-vector_ab_cti_max.smt2	n262144	sat	0	109	4	qf-bv	dl-online	0	1	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cambridge.2.prop1_ab_cti_max.smt2	n32768	unknown	0	1210	14	none	dl-online	1065	1105	give-up kind=ResourceLimit detail=online UFBV has 2139 semantic atoms, exceeding the cap of 1024	no
